序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
137,臺北市,2014/06/11,大同,2.8,1.7,-,-,36,8,72.81,43.14,29.67,-,-,-
138,臺北市,2014/06/11,萬華,1.6,0.54,-,16.9,19,8,28.14,6.25,21.89,1.75,25.73,84.71
139,臺北市,2014/06/11,陽明,0.5,0.13,393.77,36.8,5,1,1.45,0.81,0.59,-,20.01,99.0
140,臺北市,2014/06/11,士林,0.9,0.34,-,23.6,20,8,15.96,2.67,13.28,1.7,25.26,82.44
141,臺北市,2014/06/10,松山,1.0,0.37,433.86,20.9,14,9,19.52,6.1,13.42,1.78,26.55,84.31
142,臺北市,2014/06/10,古亭,1.3,0.43,-,19.1,19,7,22.61,6.45,16.16,1.92,26.75,87.65
143,臺北市,2014/06/10,中山,1.9,0.61,-,16.6,36,7,31.54,11.01,20.53,1.71,26.94,84.89
144,臺北市,2014/06/10,大同,3.5,2.41,-,-,38,6,94.37,64.77,29.6,-,-,-
145,臺北市,2014/06/10,萬華,2.1,0.64,-,16.6,13,7,30.13,8.23,21.91,1.5,26.69,86.01
146,臺北市,2014/06/10,陽明,1.3,0.1,380.34,35.1,5,3,2.01,0.7,1.28,-,21.54,99.0
147,臺北市,2014/06/10,士林,1.7,0.45,-,19.2,16,6,22.05,4.47,17.58,1.63,26.43,83.29
148,臺北市,2014/06/09,松山,-,-,-,-,-,-,-,-,-,-,-,-
149,臺北市,2014/06/09,古亭,1.8,0.47,-,19.1,21,9,23.58,7.74,15.84,2.04,27.06,90.9
150,臺北市,2014/06/09,中山,2.3,0.67,-,17.8,39,10,34.3,12.79,21.53,1.86,27.24,86.89
151,臺北市,2014/06/09,大同,3.3,1.72,-,-,36,7,71.15,41.31,29.84,-,-,-
152,臺北市,2014/06/09,萬華,1.9,0.55,-,19.3,19,9,26.3,6.71,19.57,2.1,27.06,87.65
153,臺北市,2014/06/09,陽明,1.3,0.13,382.85,34.5,5,3,2.34,0.95,1.38,-,21.96,99.0
154,臺北市,2014/06/09,士林,1.8,0.42,-,21.3,21,6,19.43,4.01,15.42,1.38,26.61,85.34
155,臺北市,2014/06/08,古亭,2.2,0.48,-,16.7,23,9,24.71,5.28,19.43,1.48,26.63,91.04
156,臺北市,2014/06/08,中山,3.8,0.56,-,14.1,32,9,30.83,6.95,23.89,1.59,26.41,88.84
157,臺北市,2014/06/08,大同,3.8,1.27,-,-,33,7,71.98,41.43,30.55,-,-,-
158,臺北市,2014/06/08,萬華,3.2,0.51,-,14.6,17,10,32.49,7.18,25.31,1.66,26.51,87.9
159,臺北市,2014/06/08,陽明,1.2,0.12,388.5,33.8,5,4,2.81,1.04,1.78,-,21.53,99.0
160,臺北市,2014/06/08,士林,1.8,0.4,-,19.6,19,7,18.98,1.44,17.53,1.24,25.61,87.26
161,臺北市,2014/06/07,古亭,2.7,0.69,-,13.5,38,15,35.36,8.46,26.91,1.14,26.23,91.34
162,臺北市,2014/06/07,中山,4.4,0.81,-,10.1,53,18,43.97,11.85,32.13,1.24,26.45,86.87
163,臺北市,2014/06/07,大同,4.5,1.64,-,-,49,15,80.03,43.2,36.84,-,-,-
164,臺北市,2014/06/07,萬華,3.5,0.8,-,10.5,29,17,43.11,9.47,33.64,1.01,26.43,86.88
165,臺北市,2014/06/07,陽明,1.4,0.11,392.45,32.2,13,8,5.24,1.88,3.36,-,21.42,97.42
166,臺北市,2014/06/07,士林,2.5,0.57,-,17.0,23,18,30.94,7.2,23.74,1.21,25.82,84.53
167,臺北市,2014/06/06,松山,-,-,-,-,-,-,-,-,-,-,-,-
168,臺北市,2014/06/06,古亭,3.3,0.7,-,30.8,48,27,33.74,6.03,27.7,1.31,25.42,87.64
169,臺北市,2014/06/06,中山,4.7,0.89,-,28.6,64,28,48.56,11.93,36.63,1.63,25.51,83.68
170,臺北市,2014/06/06,大同,6.3,1.81,-,-,59,27,98.32,51.67,46.65,-,-,-
171,臺北市,2014/06/06,萬華,4.6,0.81,-,31.0,39,27,44.36,8.54,35.82,1.55,25.57,83.38
172,臺北市,2014/06/06,陽明,1.3,0.16,-,48.0,8,6,3.3,0.77,2.49,-,20.76,98.41
173,臺北市,2014/06/06,士林,3.3,0.55,-,39.4,33,21,24.93,3.0,21.94,1.27,25.0,83.23
174,臺北市,2014/06/05,松山,3.2,0.63,434.48,24.8,39,27,31.53,4.23,27.3,1.41,26.19,82.06
175,臺北市,2014/06/05,古亭,2.3,0.74,-,20.9,49,27,33.52,6.84,26.68,1.31,26.98,82.64
176,臺北市,2014/06/05,中山,3.2,0.93,-,20.9,68,28,44.06,12.41,31.64,1.51,27.23,81.4
177,臺北市,2014/06/05,大同,3.7,1.5,-,-,60,20,71.92,34.38,37.54,-,-,-
178,臺北市,2014/06/05,萬華,3.0,0.81,-,24.7,40,27,39.46,8.16,31.3,1.31,27.28,80.69
179,臺北市,2014/06/05,陽明,1.3,0.22,395.62,47.6,20,17,6.09,1.97,4.12,-,21.56,98.95
180,臺北市,2014/06/05,士林,1.9,0.52,-,36.3,34,24,22.84,3.35,19.48,1.31,26.69,80.85
181,臺北市,2014/06/04,松山,4.5,0.53,421.46,35.5,45,24,25.77,3.12,22.64,1.6,26.89,73.38
182,臺北市,2014/06/04,古亭,4.7,0.64,-,29.5,62,26,29.98,3.68,26.29,1.31,27.87,73.05
