序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
24,臺北市,2016/11/10,中山,1.7,0.63,-,15.7,19,10,40.61,13.65,26.96,2.115,0.215,1.901,1.64,1.28,20.12,-,-,91.46,-
25,臺北市,2016/11/10,大同,3.4,1.62,-,-,38,7,95.39,62.25,33.13,2.608,0.524,2.085,-,-,-,-,-,-,-
26,臺北市,2016/11/10,萬華,2.3,0.51,-,16.6,22,8,33.8,7.86,25.94,-,-,-,1.61,1.28,20.47,-,-,86.17,-
27,臺北市,2016/11/10,陽明,1.4,0.13,409.3,42.5,5,1,1.69,0.26,1.38,-,-,-,-,-,14.05,0.89,4.71,99.38,29.28
28,臺北市,2016/11/10,士林,1.4,0.38,-,21.1,19,9,32.66,10.96,21.7,-,-,-,1.24,1.12,19.69,-,-,85.04,-
29,臺北市,2016/11/09,松山,2.1,0.31,414.47,24.6,30,10,23.84,5.42,18.42,1.961,0.104,1.857,1.75,1.26,18.96,-,-,79.46,-
30,臺北市,2016/11/09,古亭,1.5,0.32,-,29.9,26,13,16.57,3.17,13.4,1.946,0.077,1.869,2.49,2.31,19.4,-,-,78.47,-
31,臺北市,2016/11/09,中山,1.8,0.5,-,21.5,28,11,32.26,9.85,22.41,1.981,0.146,1.835,2.3,1.95,20.31,-,-,78.98,-
32,臺北市,2016/11/09,大同,2.8,1.1,-,-,44,8,71.44,40.97,30.49,2.354,0.368,1.986,-,-,-,-,-,-,-
33,臺北市,2016/11/09,萬華,1.8,0.36,-,23,28,11,25.06,4.78,20.28,-,-,-,2.43,2.2,20.58,-,-,74.2,-
34,臺北市,2016/11/09,陽明,1,0.14,408.95,42.4,8,3,1.48,0.33,1.06,-,-,-,-,-,12.77,1.32,4.31,98.29,140.56
35,臺北市,2016/11/09,士林,1.3,0.21,-,36.4,22,7,10.4,2.19,8.21,-,-,-,2.22,1.67,20.04,-,-,71.39,-
36,臺北市,2016/11/08,松山,1.5,0.56,430.69,23.3,28,14,26.46,6.66,19.8,2.06,0.173,1.887,1.95,1.58,22.43,-,-,77.63,-
37,臺北市,2016/11/08,古亭,1.6,0.53,-,21.4,26,15,25.47,6.05,19.41,2.038,0.152,1.887,2.09,1.58,22.57,-,-,77.64,-
38,臺北市,2016/11/08,中山,1.4,0.73,-,17.9,28,18,34.93,9.78,25.15,2.151,0.235,1.917,1.75,0.81,23.74,-,-,77.9,-
39,臺北市,2016/11/08,大同,3.5,1.75,-,-,48,14,77.45,43.55,33.9,2.682,0.558,2.124,-,-,-,-,-,-,-
40,臺北市,2016/11/08,萬華,2.7,0.69,-,16,33,17,31.82,6.45,25.37,-,-,-,1.45,0.75,23.8,-,-,76.95,-
41,臺北市,2016/11/08,陽明,1.5,0.23,414.81,41.8,12,7,3.51,0.64,2.86,-,-,-,-,-,16.2,4.07,4.53,96.16,41.76
42,臺北市,2016/11/08,士林,1.8,0.47,-,23.7,25,14,24.73,7.56,17.17,-,-,-,1.73,1.17,22.86,-,-,76.34,-
43,臺北市,2016/11/07,松山,2.5,0.52,423.24,23.5,24,8,28.79,11.23,17.56,2.012,0.172,1.84,1.23,0.86,25.54,-,-,62.1,-
44,臺北市,2016/11/07,古亭,1.6,0.42,-,26.6,20,10,22.32,6.28,16.04,1.962,0.113,1.849,1.9,1.81,25.92,-,-,62.69,-
45,臺北市,2016/11/07,中山,1.6,0.56,-,21.6,24,9,33.22,10.99,22.23,2.002,0.178,1.824,2.02,1.8,26.52,-,-,65.45,-
46,臺北市,2016/11/07,大同,2.8,1.63,-,-,35,12,86.89,55.9,30.99,2.513,0.529,1.984,-,-,-,-,-,-,-
47,臺北市,2016/11/07,萬華,1.5,0.43,-,23.9,26,11,24.12,4.94,19.17,-,-,-,1.95,1.67,26.84,-,-,62.82,-
48,臺北市,2016/11/07,陽明,2,0.16,407.5,39.2,11,9,3.51,0.45,3.01,-,-,-,-,-,18.82,0,0,86.64,0
49,臺北市,2016/11/07,士林,1.4,0.29,-,32,19,10,14.29,2.41,11.88,-,-,-,2.19,2.08,25.85,-,-,63.93,-
50,臺北市,2016/11/06,松山,3.7,0.34,424.75,20.5,33,14,21.31,4.7,16.61,2,0.118,1.883,1.02,0.77,24.54,-,-,74.22,-
51,臺北市,2016/11/06,古亭,2.3,0.4,-,22.2,27,14,20.2,5.23,14.98,1.972,0.1,1.872,1.91,1.65,24.65,-,-,70.41,-
52,臺北市,2016/11/06,中山,2.7,0.5,-,19.1,26,16,27.41,7.04,20.38,2.062,0.159,1.903,1.7,1.32,25.53,-,-,75.08,-
53,臺北市,2016/11/06,大同,2.8,1.08,-,-,45,13,56.44,29.4,27.04,2.385,0.324,2.061,-,-,-,-,-,-,-
54,臺北市,2016/11/06,萬華,1.1,0.43,-,20.1,27,12,23.63,4.74,18.89,-,-,-,1.95,1.58,25.81,-,-,68.5,-
55,臺北市,2016/11/06,陽明,3.1,0.14,408.25,37.1,16,11,4,0.81,3.17,-,-,-,-,-,18.55,0,0,87.43,0
56,臺北市,2016/11/06,士林,3.1,0.5,-,23,31,15,30.59,13.63,16.96,-,-,-,1.89,1.53,24.85,-,-,73.19,-
57,臺北市,2016/11/05,松山,5.6,0.54,432.15,22,37,18,31.88,9.51,22.38,2.14,0.202,1.938,0.83,0.53,23.14,-,-,77.79,-
58,臺北市,2016/11/05,古亭,3.8,0.56,-,24.2,35,19,31.04,8,23.04,2.079,0.163,1.916,1.41,1.04,23.67,-,-,75.12,-
59,臺北市,2016/11/05,中山,5.7,0.64,-,20.8,35,16,37.74,9.68,28.06,2.112,0.2,1.912,1.43,1.14,24.48,-,-,77.04,-
60,臺北市,2016/11/05,大同,5.8,1.42,-,-,50,19,77.54,40.99,36.55,2.565,0.457,2.107,-,-,-,-,-,-,-
61,臺北市,2016/11/05,萬華,4.9,0.6,-,22.8,34,19,37.49,9.23,28.27,-,-,-,1.48,1.18,25.04,-,-,72.44,-
62,臺北市,2016/11/05,陽明,2.9,0.19,409.53,47.8,21,14,2.67,0.47,2.15,-,-,-,-,-,17.56,0,0,89.46,0
63,臺北市,2016/11/05,士林,4.1,0.48,-,29.7,37,18,28.56,7.14,21.41,-,-,-,1.35,1.13,24.2,-,-,73.11,-
64,臺北市,2016/11/04,松山,3.4,0.44,422.1,20.5,32,13,33.57,7.44,26.13,2.011,0.15,1.861,1.42,0.94,20.95,-,-,86.88,-
65,臺北市,2016/11/04,古亭,3.5,0.46,-,24.4,30,17,29.27,6.03,23.25,2.003,0.122,1.88,2.08,1.98,21.39,-,-,85.85,-
66,臺北市,2016/11/04,中山,4.2,0.6,-,20.8,31,19,37.73,9.83,27.91,2.047,0.183,1.865,2.29,2.09,22.13,-,-,87.5,-
67,臺北市,2016/11/04,大同,5.4,1.44,-,-,51,18,93.59,55.18,38.4,2.486,0.465,2.021,-,-,-,-,-,-,-
68,臺北市,2016/11/04,萬華,4.2,0.44,-,22,38,16,33.84,6.97,26.87,-,-,-,2.4,2.24,22.54,-,-,82.7,-
69,臺北市,2016/11/04,陽明,2.4,0.15,411.91,46.8,11,7,2.66,0.55,2.11,-,-,-,-,-,15.57,0.69,4.46,99.15,114.78
70,臺北市,2016/11/04,士林,2.3,0.27,-,36.8,33,13,12.46,1.85,10.61,-,-,-,2.36,2.18,21.92,-,-,72.27,-
71,臺北市,2016/11/03,松山,2.2,0.33,415.48,26.8,-,12,25.86,4.25,21.61,1.937,0.122,1.815,1.59,1.09,20.29,-,-,75.95,-
72,臺北市,2016/11/03,古亭,2.1,0.28,-,34.9,39,16,16.75,2.98,13.77,1.907,0.074,1.833,2.9,2.6,20.89,-,-,73.38,-
73,臺北市,2016/11/03,中山,2.6,0.48,-,25.3,39,14,31.23,7.69,23.54,1.992,0.153,1.84,2.52,2.15,21.65,-,-,75.55,-
74,臺北市,2016/11/03,大同,3.6,1.14,-,-,53,15,69.6,37.78,31.83,2.334,0.363,1.972,-,-,-,-,-,-,-
75,臺北市,2016/11/03,萬華,3.1,0.39,-,24.6,39,15,29.62,5.99,23.62,-,-,-,2.58,2.22,21.95,-,-,71.03,-
76,臺北市,2016/11/03,陽明,1.1,0.1,411.54,47,17,8,1.77,0.46,1.25,-,-,-,-,-,13.69,1.07,4.05,97.06,156.19
77,臺北市,2016/11/03,士林,1.3,0.19,-,44.7,37,13,7.11,1.4,5.71,-,-,-,2.72,2.4,21.66,-,-,66.86,-
78,臺北市,2016/11/02,松山,3.4,0.27,411.68,29.6,37,10,20.1,3.45,16.64,1.878,0.083,1.794,2.27,1.84,20.09,-,-,71.84,-
79,臺北市,2016/11/02,古亭,3.5,0.33,-,28,33,13,22.74,4.37,18.37,1.925,0.089,1.836,2.83,2.54,20.28,-,-,73.42,-
80,臺北市,2016/11/02,中山,1.5,0.44,-,28.2,31,8,25.78,7.12,18.66,1.925,0.121,1.804,2.46,2.1,21.11,-,-,74.07,-
81,臺北市,2016/11/02,大同,1.4,0.65,-,-,45,10,45.27,21.8,23.46,2.139,0.196,1.942,-,-,-,-,-,-,-
82,臺北市,2016/11/02,萬華,1.8,0.31,-,29.2,32,10,22.59,4.85,17.74,-,-,-,3.03,2.82,21.41,-,-,69.13,-
83,臺北市,2016/11/02,陽明,1,0.09,409.42,44.8,9,4,1.25,0.25,0.98,-,-,-,-,-,12.97,1.14,4.22,96.79,125.1
84,臺北市,2016/11/02,士林,1.5,0.17,-,41.4,26,9,8.57,1.98,6.59,-,-,-,2.35,1.74,20.87,-,-,67.42,-
85,臺北市,2016/11/01,松山,3.5,0.3,418.12,29.7,29,6,21.69,4.34,17.35,1.872,0.077,1.795,2.58,2.17,21.67,-,-,76.72,-
86,臺北市,2016/11/01,古亭,2.9,0.34,-,30.3,30,11,20.08,3.94,16.14,1.924,0.073,1.851,2.81,2.57,21.78,-,-,78.64,-
87,臺北市,2016/11/01,中山,0.9,0.47,-,28.7,26,9,24.08,7.01,17.07,1.942,0.12,1.823,2.37,1.98,22.71,-,-,78.39,-
88,臺北市,2016/11/01,大同,2.3,0.8,-,-,41,8,46.07,23.42,22.65,2.197,0.234,1.963,-,-,-,-,-,-,-
89,臺北市,2016/11/01,萬華,1.2,0.34,-,29.5,27,9,21.08,3.78,17.29,-,-,-,3.21,2.81,22.99,-,-,74.09,-
90,臺北市,2016/11/01,陽明,0.7,0.16,412.76,43.9,9,4,1.51,0.25,1.18,-,-,-,-,-,14.96,3.17,4.38,96.92,99.27
91,臺北市,2016/11/01,士林,1.2,0.22,-,41.5,22,7,8.81,2.47,6.34,-,-,-,2.73,2.11,22.37,-,-,71.78,-
92,新北市,2016/11/13,板橋,2.8,0.72,-,24.5,44,19,29.59,6.85,22.72,2.234,0.276,1.958,1.56,1.12,25.96,0,0,69.99,0
93,新北市,2016/11/13,三重,3.5,1.82,-,-,57,19,103.51,63.22,40.29,2.819,0.623,2.195,-,-,26.06,-,-,68.9,-
94,新北市,2016/11/13,菜寮,3.4,0.83,-,24.9,45,20,38.23,14.29,23.94,-,-,-,1.41,1.03,26.14,-,-,72.2,-
95,新北市,2016/11/13,永和,2.6,0.96,-,20.5,33,17,36.59,12.01,24.59,2.357,0.32,2.037,1.18,0.89,25.76,-,-,69.97,-
96,新北市,2016/11/13,新莊,3.3,0.77,-,24.6,42,20,32.9,11.43,21.47,-,-,-,1.46,1.15,25.54,-,-,67.93,-
97,新北市,2016/11/13,新店,1.9,0.47,-,26.6,27,20,19.54,3.41,16.13,-,-,-,1.42,1.17,25.39,-,-,69.54,-
98,新北市,2016/11/13,淡水,2.7,0.52,-,26.7,40,21,18.9,2.69,16.22,-,-,-,-,-,-,-,-,-,-
99,新北市,2016/11/13,汐止,2.5,0.66,-,16.3,33,17,33.18,13.88,19.3,-,-,-,0.96,0.66,25.43,-,-,73.18,-
100,新北市,2016/11/13,土城,2.7,0.7,-,25.2,46,23,32.84,12.87,19.97,2.201,0.245,1.956,1.03,0.53,25.22,-,-,75.59,-
101,新北市,2016/11/13,林口,2,0.39,-,41.1,61,28,16.98,1.76,15.22,-,-,-,1.87,1.47,23.44,-,-,82.89,-
102,新北市,2016/11/13,萬里,2.5,0.32,-,31.1,35,11,12.79,2.97,9.81,-,-,-,2.51,2.2,23.47,0,0,78.95,0
103,新北市,2016/11/12,板橋,2.5,0.73,-,29.5,47,18,30.11,4.03,26.07,2.186,0.283,1.903,1.64,1.19,25.2,0,0,64.25,0
104,新北市,2016/11/12,三重,3.1,1.52,-,-,59,23,104.9,59.46,45.43,2.69,0.528,2.162,-,-,25.05,-,-,64.08,-
105,新北市,2016/11/12,菜寮,3.3,0.75,-,30.3,47,18,35.37,8.39,26.98,-,-,-,1.56,1.21,25.03,-,-,66.86,-
106,新北市,2016/11/12,永和,2.6,1.16,-,26.8,40,19,47.18,15.46,31.72,2.447,0.436,2.011,1.26,1.03,24.92,-,-,65.91,-
107,新北市,2016/11/12,新莊,3.4,0.74,-,27.7,47,19,37.73,9.89,27.84,-,-,-,1.88,1.65,24.65,-,-,63.57,-
108,新北市,2016/11/12,新店,2.6,0.49,-,39,32,21,19.47,2.36,17.1,-,-,-,1.51,1.17,24.64,-,-,65.29,-
109,新北市,2016/11/12,淡水,2.7,0.4,-,36.1,40,19,15.65,2.1,13.55,-,-,-,-,-,-,-,-,-,-
110,新北市,2016/11/12,汐止,2.6,0.55,-,23.2,33,16,32.54,10.75,21.79,-,-,-,0.9,0.51,24.35,-,-,68.62,-
111,新北市,2016/11/12,土城,2.9,0.63,-,26.9,45,19,33.33,10.1,23.23,2.158,0.241,1.917,1.07,0.53,24.23,-,-,71.9,-
112,新北市,2016/11/12,林口,2.7,0.42,-,37.5,58,26,22.22,3.04,19.18,-,-,-,2.39,2.15,22.4,-,-,76.63,-
113,新北市,2016/11/12,萬里,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,0
114,新北市,2016/11/11,板橋,1.1,0.48,-,29.5,33,11,23.4,3.56,19.84,1.991,0.149,1.843,2.82,2.38,22,0,0,65.27,0
115,新北市,2016/11/11,三重,2.8,1.37,-,-,51,13,95.64,57.69,37.96,2.434,0.428,2.006,-,-,22.23,-,-,63.61,-
116,新北市,2016/11/11,菜寮,2.2,0.4,-,35.5,33,11,17.03,2.86,14.17,-,-,-,3.52,3.18,22.14,-,-,65.16,-
117,新北市,2016/11/11,永和,2.3,0.52,-,35.2,27,11,19.87,5.17,14.7,2.029,0.142,1.888,2.99,2.87,21.63,-,-,68.3,-
118,新北市,2016/11/11,新莊,2.7,0.38,-,34.5,27,8,16.38,2.06,14.32,-,-,-,4.22,4.21,21.83,-,-,61.89,-
119,新北市,2016/11/11,新店,1.7,0.37,-,38.4,28,15,13.99,2.33,11.66,-,-,-,2.27,1.91,21.56,-,-,67.58,-
120,新北市,2016/11/11,淡水,2.3,0.26,-,37.3,30,14,8.81,2.35,6.47,-,-,-,-,-,-,-,-,-,-
121,新北市,2016/11/11,汐止,2.1,0.31,-,30.7,31,14,20.74,4.19,16.56,-,-,-,2.24,1.94,21.35,-,-,70.84,-
122,新北市,2016/11/11,土城,2,0.4,-,36.1,30,9,14.83,2.31,12.52,2.017,0.133,1.884,1.7,0.27,21.91,-,-,68.17,-
123,新北市,2016/11/11,林口,1.6,0.25,-,38.9,43,15,13.41,2.84,10.57,-,-,-,4.22,3.72,19.29,-,-,74.69,-
124,新北市,2016/11/11,萬里,2.3,0.2,-,45.6,45,10,5.92,1.15,4.77,-,-,-,4.41,4.15,20.84,0,0,69.59,0
125,新北市,2016/11/10,板橋,2.5,0.51,-,18.8,28,9,28.24,4.83,23.41,2.073,0.236,1.838,1.53,1.07,20.15,1,4.8,82.84,50.67
126,新北市,2016/11/10,三重,1.8,1.65,-,-,35,9,113.56,77.98,35.59,2.543,0.557,1.986,-,-,20.18,-,-,82.76,-
127,新北市,2016/11/10,菜寮,2.1,0.45,-,22.2,26,8,24.42,3.98,20.44,-,-,-,1.71,1.36,20.76,-,-,85.15,-
128,新北市,2016/11/10,永和,1.2,0.76,-,21.8,16,8,37.85,15.87,21.98,2.202,0.265,1.937,1.4,1.23,19.55,-,-,87.59,-
129,新北市,2016/11/10,新莊,1.9,0.38,-,22.9,20,5,23.05,3.57,19.48,-,-,-,2.15,1.86,19.8,-,-,79.58,-
130,新北市,2016/11/10,新店,1.8,0.38,-,23.1,17,12,23.58,4.41,19.17,-,-,-,1.12,0.89,19.52,-,-,85.87,-
131,新北市,2016/11/10,淡水,1.5,0.23,-,31,21,10,9.67,2.05,7.62,-,-,-,-,-,-,-,-,-,-
132,新北市,2016/11/10,汐止,2.5,0.32,-,19.2,17,10,25.42,3.75,21.68,-,-,-,1.43,1.26,19.48,-,-,90.23,-
133,新北市,2016/11/10,土城,1.8,0.39,-,21.6,25,8,23.85,3.82,20.03,2.034,0.172,1.863,1.03,0.42,19.71,-,-,87.25,-
134,新北市,2016/11/10,林口,1.4,0.18,-,31.8,31,13,14.4,3.67,10.73,-,-,-,2.79,2.63,17.79,-,-,93.18,-
135,新北市,2016/11/10,萬里,1.6,0.14,-,44,52,5,5.05,1.05,3.98,-,-,-,4.61,3.77,19.73,1.87,4.35,84.79,166.62
136,新北市,2016/11/09,板橋,2.3,0.39,-,23.3,32,9,23.07,3.78,19.29,1.968,0.158,1.81,1.88,1.62,20.22,0.5,6.33,72.79,68.41
137,新北市,2016/11/09,三重,2,1.17,-,-,43,9,76.95,46.08,30.86,2.36,0.393,1.967,-,-,20.57,-,-,69.89,-
138,新北市,2016/11/09,菜寮,2.3,0.37,-,27.6,29,9,18.06,2.02,16.04,-,-,-,2.58,2.27,20.57,-,-,72.2,-
139,新北市,2016/11/09,永和,1.4,0.41,-,30.3,25,8,18.17,5.6,12.6,2.008,0.144,1.864,2.27,2.17,19.68,-,-,76.79,-
140,新北市,2016/11/09,新莊,2.6,0.37,-,26.3,25,6,19.26,3.05,16.21,-,-,-,3.37,3.09,19.87,-,-,70.47,-
141,新北市,2016/11/09,新店,2.4,0.29,-,32,27,14,14.46,2.54,11.92,-,-,-,1.86,1.46,19.5,-,-,76.19,-
142,新北市,2016/11/09,淡水,1.6,0.26,-,33.3,30,11,9.6,1.83,7.75,-,-,-,-,-,-,-,-,-,-
143,新北市,2016/11/09,汐止,2.2,0.28,-,23.6,28,11,23.15,4.46,18.68,-,-,-,1.77,1.54,18.84,-,-,85.7,-
144,新北市,2016/11/09,土城,2.3,0.29,-,29.7,29,7,13.93,1.59,12.34,1.931,0.104,1.827,1.46,0.97,19.83,-,-,76.7,-
145,新北市,2016/11/09,林口,2.4,0.23,-,29.7,41,14,16.84,3.48,13.36,-,-,-,3.78,3.7,17.51,-,-,84.05,-
146,新北市,2016/11/09,萬里,0.9,0.13,-,45,78,11,2.78,1.01,1.76,-,-,-,8.66,8.37,20.42,0.5,4.08,72.73,"1,240.56"
147,新北市,2016/11/08,板橋,4.7,0.61,-,19.6,52,25,27.29,4.61,22.68,2.154,0.259,1.894,1.73,1.24,23.17,1.5,5.61,78.08,54.77
148,新北市,2016/11/08,三重,4.7,1.72,-,-,49,19,115.91,77.35,38.56,2.731,0.729,2.003,-,-,23.76,-,-,71.94,-
149,新北市,2016/11/08,菜寮,3.3,0.57,-,21.7,40,19,25.68,4.37,21.31,-,-,-,1.56,0.99,23.66,-,-,76.51,-
150,新北市,2016/11/08,永和,3.3,0.89,-,18.3,29,16,39.07,15.4,23.67,2.272,0.324,1.948,1.68,1.29,22.88,-,-,76.46,-
151,新北市,2016/11/08,新莊,3.8,0.5,-,23.9,43,21,22.58,3.77,18.81,-,-,-,3.14,2.71,22.66,-,-,74.45,-
152,新北市,2016/11/08,新店,1.5,0.41,-,26.8,28,16,17.03,3.08,13.95,-,-,-,1.98,1.41,22.26,-,-,77.78,-
153,新北市,2016/11/08,淡水,2.3,0.44,-,26.9,40,20,16.53,2.75,13.77,-,-,-,-,-,-,-,-,-,-
154,新北市,2016/11/08,汐止,1.9,0.46,-,24.3,32,18,21.83,5.82,16.02,-,-,-,2.1,1.7,21.94,-,-,83.88,-
155,新北市,2016/11/08,土城,2.7,0.53,-,21.4,47,22,26.98,5.52,21.47,2.117,0.219,1.897,1.43,0.81,22.45,-,-,83.34,-
156,新北市,2016/11/08,林口,-,0.32,-,34.1,63,27,16.25,3.07,13.19,-,-,-,3.69,3.31,20.41,-,-,91.19,-
157,新北市,2016/11/08,萬里,1.5,0.29,-,37.7,52,13,7.96,1.47,6.49,-,-,-,8.76,8.19,22.04,2.75,4.09,79.89,66.88
158,新北市,2016/11/07,板橋,4,0.53,-,25,32,14,26.69,5.4,21.29,2.1,0.267,1.833,1.93,1.43,26.71,0,0,62.48,0
159,新北市,2016/11/07,三重,2.8,1.42,-,-,35,10,85.16,51.9,33.26,2.53,0.508,2.022,-,-,26.78,-,-,58.69,-
160,新北市,2016/11/07,菜寮,2.1,0.52,-,26.4,23,9,22.92,3.53,19.39,-,-,-,2.3,2.09,26.78,-,-,61,-
161,新北市,2016/11/07,永和,1.5,0.55,-,28.6,16,7,13.93,4.13,9.78,2.06,0.18,1.88,2.19,2.02,26.06,-,-,62.51,-
162,新北市,2016/11/07,新莊,3,0.54,-,26.9,28,12,24.91,4.43,20.47,-,-,-,2.37,2.23,26.32,-,-,59.77,-
163,新北市,2016/11/07,新店,1.4,0.26,-,34.9,23,12,10.57,2.21,8.35,-,-,-,2.5,2.27,25.9,-,-,61.41,-
164,新北市,2016/11/07,淡水,1.9,0.28,-,32.8,22,12,12.39,2.14,10.25,-,-,-,-,-,-,-,-,-,-
165,新北市,2016/11/07,汐止,1.7,0.34,-,24.9,17,12,20.26,6.42,13.83,-,-,-,1.27,0.81,25.46,-,-,65.81,-
166,新北市,2016/11/07,土城,2,0.44,-,27.5,33,14,23.22,3.69,19.53,2.081,0.223,1.858,1.33,0.58,26.23,-,-,66.67,-
167,新北市,2016/11/07,林口,3.4,0.36,-,34.5,48,23,23.69,4.18,19.51,-,-,-,2.36,1.94,23.84,-,-,73.47,-
168,新北市,2016/11/07,萬里,2.8,0.17,-,35.6,19,7,7.47,1.95,5.51,-,-,-,2.6,2.39,24.03,0,0,70.63,0
169,新北市,2016/11/06,板橋,3.3,0.54,-,21,35,14,27.33,6.36,20.97,2.104,0.22,1.884,1.87,1.42,25.35,0,0,64.96,0
170,新北市,2016/11/06,三重,2.8,1.4,-,-,43,14,84.68,52.6,32.08,2.596,0.526,2.07,-,-,25.73,-,-,65.67,-
171,新北市,2016/11/06,菜寮,1.6,0.52,-,22.5,29,14,24.51,5.97,18.53,-,-,-,2.14,1.85,25.71,-,-,67.84,-
172,新北市,2016/11/06,永和,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
173,新北市,2016/11/06,新莊,3.1,0.5,-,25.7,32,11,22.03,5.31,16.72,-,-,-,2.56,2.23,25.08,-,-,62.81,-
174,新北市,2016/11/06,新店,1.8,0.34,-,28.3,31,15,14.05,3.37,10.68,-,-,-,1.79,1.35,24.65,-,-,66.82,-
