序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
83,臺北市,1999/02/17,陽明,0.9,0.3,54.7,-,15,-,2.79,0.24,2.56,-,-,-,14.84,-,84.0,62.0,-
84,臺北市,1999/02/17,士林,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85,臺北市,1999/02/16,松山,3.2,0.63,20.4,-,51,-,41.73,11.01,30.71,-,-,-,19.36,-,-,50.0,-
86,臺北市,1999/02/16,古亭,1.0,0.69,23.3,-,-,-,34.38,8.54,25.84,2.278,0.28,2.0,18.38,-,-,30.0,-
87,臺北市,1999/02/16,中山,1.6,0.75,23.1,-,40,-,38.0,9.05,28.94,-,-,-,18.76,-,-,40.0,-
88,臺北市,1999/02/16,大同,3.0,1.86,-,-,47,-,106.31,67.29,39.02,3.522,0.95,2.57,19.69,-,-,47.0,-
89,臺北市,1999/02/16,萬華,1.3,0.69,21.7,-,43,-,26.01,2.49,23.52,-,-,-,19.66,-,-,43.0,-
90,臺北市,1999/02/16,陽明,0.7,0.19,45.5,-,14,-,2.49,0.39,2.1,-,-,-,12.44,-,94.0,45.0,-
91,臺北市,1999/02/16,士林,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
92,臺北市,1999/02/15,松山,1.9,0.4,22.7,-,20,-,29.77,6.77,23.0,-,-,-,20.75,-,-,35.0,-
93,臺北市,1999/02/15,古亭,0.7,0.5,26.8,-,-,-,26.55,5.35,21.2,2.046,0.19,1.86,20.6,-,-,35.0,-
94,臺北市,1999/02/15,中山,1.0,0.6,26.2,-,20,-,29.91,4.95,24.95,-,-,-,20.91,-,-,36.0,-
95,臺北市,1999/02/15,大同,4.6,2.86,-,-,40,-,181.04,127.0,54.04,3.695,1.45,2.24,22.38,-,-,40.0,-
96,臺北市,1999/02/15,萬華,1.8,0.64,26.3,-,26,-,24.8,2.11,22.69,-,-,-,22.22,-,-,36.0,-
97,臺北市,1999/02/15,陽明,1.6,0.08,45.0,-,12,-,1.57,0.01,1.56,-,-,-,13.85,-,85.0,39.0,-
98,臺北市,1999/02/15,士林,0.6,0.24,29.5,-,14,-,9.96,0.94,9.03,-,-,-,21.1,-,-,30.0,-
99,臺北市,1999/02/14,松山,2.9,0.36,19.6,-,22,-,35.08,7.9,27.18,-,-,-,17.6,-,-,29.0,-
100,臺北市,1999/02/14,古亭,1.6,0.51,23.5,-,22,-,28.76,5.91,22.85,2.061,0.2,1.86,17.14,-,-,26.0,-
101,臺北市,1999/02/14,中山,1.5,0.56,25.5,-,25,-,31.56,6.22,25.34,-,-,-,17.63,-,-,31.0,-
102,臺北市,1999/02/14,大同,5.0,2.8,-,-,44,-,189.52,139.22,50.31,3.764,1.42,2.34,18.67,-,-,44.0,-
103,臺北市,1999/02/14,萬華,1.7,0.63,23.0,-,23,-,27.85,3.26,24.58,-,-,-,18.7,-,-,27.0,-
104,臺北市,1999/02/14,陽明,1.5,0.13,45.6,-,12,-,1.82,0.08,1.74,-,-,-,9.84,-,91.0,41.0,-
105,臺北市,1999/02/14,士林,1.6,0.28,28.8,-,15,-,11.29,1.55,9.74,-,-,-,17.68,-,-,27.0,-
106,臺北市,1999/02/13,松山,4.7,0.43,22.9,-,32,-,44.19,14.33,29.86,-,-,-,15.62,-,-,35.0,-
107,臺北市,1999/02/13,古亭,2.3,0.47,28.6,-,24,-,29.97,7.53,22.44,2.164,0.18,1.98,14.85,-,-,35.0,-
108,臺北市,1999/02/13,中山,3.4,0.56,23.9,-,35,-,40.35,9.1,31.25,-,-,-,15.26,-,-,35.0,-
109,臺北市,1999/02/13,大同,6.4,3.06,-,-,52,-,213.83,158.87,54.97,3.783,1.6,2.18,16.42,-,-,51.0,-
110,臺北市,1999/02/13,萬華,2.7,0.65,26.1,-,25,-,31.28,4.44,26.85,-,-,-,16.33,-,-,33.0,-
111,臺北市,1999/02/13,陽明,0.6,0.12,48.4,-,13,-,0.71,0.08,0.63,-,-,-,7.43,-,83.0,45.0,-
112,臺北市,1999/02/13,士林,1.7,0.28,31.4,-,19,-,13.23,1.86,11.37,-,-,-,14.92,-,-,33.0,-
113,臺北市,1999/02/12,松山,4.6,0.55,33.6,-,69,-,31.1,3.84,27.26,-,-,-,15.13,-,-,60.0,-
114,臺北市,1999/02/12,古亭,4.6,0.71,34.7,-,88,-,37.14,8.36,28.78,2.237,0.24,2.0,14.51,-,-,69.0,-
115,臺北市,1999/02/12,中山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
116,臺北市,1999/02/12,大同,7.5,3.0,-,-,116,-,201.61,137.46,64.15,3.842,1.43,2.41,16.26,-,-,83.0,-
117,臺北市,1999/02/12,萬華,3.8,0.87,35.7,-,82,-,28.8,2.54,26.26,-,-,-,15.94,-,-,66.0,-
118,臺北市,1999/02/12,陽明,3.8,0.31,58.4,-,51,-,2.11,0.08,2.03,-,-,-,7.19,-,82.0,54.0,-
119,臺北市,1999/02/12,士林,4.3,0.34,36.6,-,62,-,16.53,1.24,15.29,-,-,-,14.53,-,-,56.0,-
120,臺北市,1999/02/11,松山,5.1,1.01,21.9,-,76,-,70.82,32.3,38.52,-,-,-,18.26,-,-,63.0,-
121,臺北市,1999/02/11,古亭,3.7,1.06,20.6,-,63,-,50.43,22.09,35.16,2.416,0.43,1.99,17.37,-,-,57.0,-
122,臺北市,1999/02/11,中山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
123,臺北市,1999/02/11,大同,10.4,4.28,-,-,116,-,245.43,177.98,67.45,5.283,2.47,2.82,19.27,-,-,83.0,-
124,臺北市,1999/02/11,萬華,6.9,1.42,20.8,-,86,-,67.05,31.19,35.86,-,-,-,19.13,-,-,68.0,-
125,臺北市,1999/02/11,陽明,2.8,0.31,60.2,-,21,-,3.15,0.05,3.1,-,-,-,11.7,-,87.0,56.0,-
126,臺北市,1999/02/11,士林,3.6,0.96,23.5,-,58,-,50.0,23.06,26.94,-,-,-,17.69,-,-,54.0,-
127,臺北市,1999/02/10,松山,5.3,1.89,22.0,-,79,-,128.84,66.15,62.69,-,-,-,21.52,-,-,90.0,-
128,臺北市,1999/02/10,古亭,2.7,1.56,21.7,-,48,34,86.08,45.19,46.22,2.707,0.7,2.0,21.27,-,-,73.0,-
129,臺北市,1999/02/10,中山,5.1,2.54,14.4,-,60,-,135.0,-,62.33,-,-,-,20.43,-,-,78.0,-
130,臺北市,1999/02/10,大同,7.8,3.49,-,-,100,-,196.68,127.45,69.23,4.615,1.96,2.66,22.79,-,-,75.0,-
131,臺北市,1999/02/10,萬華,4.6,1.46,22.1,-,67,-,72.27,25.13,47.15,-,-,-,23.13,-,-,85.0,-
132,臺北市,1999/02/10,陽明,1.3,0.23,58.1,-,16,-,2.07,0.04,2.03,-,-,-,16.43,-,75.0,55.0,-
133,臺北市,1999/02/10,士林,3.0,1.11,21.1,-,48,-,65.0,27.39,37.6,-,-,-,20.83,-,-,52.0,-
134,臺北市,1999/02/09,松山,6.4,0.51,21.5,-,40,-,52.07,15.6,36.47,-,-,-,19.28,-,-,40.0,-
135,臺北市,1999/02/09,古亭,3.7,0.69,25.4,-,37,26,42.93,11.48,31.46,2.203,0.29,1.92,19.06,-,-,37.0,-
136,臺北市,1999/02/09,中山,3.6,0.79,25.6,-,48,-,47.64,11.23,36.41,2.329,0.32,2.01,19.31,-,-,48.0,-
137,臺北市,1999/02/09,大同,9.1,4.36,-,-,-,-,253.19,184.74,68.45,4.553,2.33,2.23,21.17,-,-,67.0,-
138,臺北市,1999/02/09,萬華,3.9,0.83,24.7,-,37,-,40.91,6.48,34.43,-,-,-,20.66,-,-,37.0,-
139,臺北市,1999/02/09,陽明,1.2,0.15,53.2,-,14,-,1.68,0.05,1.62,-,-,-,12.14,-,88.0,47.0,-
140,臺北市,1999/02/09,士林,2.5,0.47,24.3,-,33,-,22.6,4.06,18.54,-,-,-,18.88,-,-,33.0,-
141,臺北市,1999/02/08,松山,2.8,0.63,18.7,-,28,-,50.68,15.23,35.45,-,-,-,17.73,-,-,30.0,-
142,臺北市,1999/02/08,古亭,1.9,0.64,22.2,-,23,23,43.65,12.49,31.16,2.128,0.27,1.86,17.19,-,-,32.0,-
143,臺北市,1999/02/08,中山,1.8,0.82,20.4,-,35,-,51.39,13.63,37.77,2.262,0.28,1.98,17.75,-,-,35.0,-
144,臺北市,1999/02/08,大同,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,臺北市,1999/02/08,萬華,1.3,0.66,24.1,-,27,-,36.17,4.53,31.64,-,-,-,18.74,-,-,33.0,-
146,臺北市,1999/02/08,陽明,0.2,0.11,50.7,-,12,-,1.19,0.13,1.07,-,-,-,10.45,-,97.0,45.0,-
147,臺北市,1999/02/08,士林,0.8,0.36,26.4,-,22,-,19.04,2.48,16.57,-,-,-,17.89,-,-,29.0,-
148,臺北市,1999/02/07,松山,2.7,0.3,22.1,-,28,-,32.63,6.33,26.3,-,-,-,18.0,-,-,32.0,-
149,臺北市,1999/02/07,古亭,2.8,0.55,21.9,-,33,25,34.23,7.54,26.7,2.014,0.16,1.85,17.7,-,-,33.0,-
150,臺北市,1999/02/07,中山,2.3,0.54,27.2,-,34,-,30.0,5.12,24.88,2.114,0.15,1.96,18.28,-,-,34.0,-
151,臺北市,1999/02/07,大同,4.4,2.64,-,-,47,-,174.2,123.67,50.53,3.506,1.27,2.23,19.42,-,-,47.0,-
152,臺北市,1999/02/07,萬華,2.2,0.63,24.2,-,37,-,29.26,3.94,25.32,-,-,-,19.26,-,-,37.0,-
153,臺北市,1999/02/07,陽明,0.6,0.12,47.4,-,12,-,1.43,0.02,1.4,-,-,-,10.82,-,96.0,43.0,-
154,臺北市,1999/02/07,士林,1.1,0.24,30.8,-,25,-,10.51,1.44,9.07,-,-,-,18.42,-,-,28.0,-
155,臺北市,1999/02/06,松山,4.4,0.59,20.1,-,49,-,48.84,15.84,32.99,-,-,-,17.73,-,-,49.0,-
156,臺北市,1999/02/06,古亭,2.8,0.63,24.0,-,35,25,40.29,12.01,28.28,2.136,0.25,1.88,17.26,-,-,35.0,-
157,臺北市,1999/02/06,中山,3.0,0.71,23.4,-,45,-,44.73,12.79,31.94,2.201,0.18,2.02,17.61,-,-,45.0,-
158,臺北市,1999/02/06,大同,6.7,3.65,-,-,71,-,226.0,168.46,57.59,4.403,2.05,2.35,18.81,-,-,61.0,-
159,臺北市,1999/02/06,萬華,3.0,0.75,22.8,-,56,-,39.48,7.94,31.54,-,-,-,18.84,-,-,53.0,-
160,臺北市,1999/02/06,陽明,0.6,0.12,48.0,-,15,-,1.09,0.06,1.03,-,-,-,9.58,-,89.0,42.0,-
161,臺北市,1999/02/06,士林,1.2,0.36,32.9,-,29,-,14.59,2.16,12.43,-,-,-,17.52,-,-,34.0,-
162,臺北市,1999/02/05,松山,4.3,0.61,17.6,-,43,-,58.07,21.23,36.84,-,-,-,14.44,-,-,43.0,-
163,臺北市,1999/02/05,古亭,2.6,0.64,26.7,-,38,25,40.68,13.91,26.77,2.126,0.18,1.95,13.65,-,-,38.0,-
164,臺北市,1999/02/05,中山,4.3,0.88,15.6,-,52,-,63.4,23.42,39.98,2.442,0.32,2.12,14.1,-,-,51.0,-
165,臺北市,1999/02/05,大同,8.2,3.61,-,-,78,-,240.72,178.74,61.98,4.55,2.0,2.55,15.18,-,-,64.0,-
166,臺北市,1999/02/05,萬華,2.7,0.71,23.0,-,36,-,36.28,5.56,30.72,-,-,-,14.98,-,-,36.0,-
167,臺北市,1999/02/05,陽明,1.4,0.18,48.5,-,16,-,1.1,0.24,0.86,-,-,-,6.73,-,78.0,44.0,-
168,臺北市,1999/02/05,士林,1.8,0.35,32.9,-,29,-,15.58,1.84,13.74,-,-,-,14.15,-,-,35.0,-
169,臺北市,1999/02/04,松山,3.2,0.27,26.7,-,61,-,38.5,11.84,26.66,-,-,-,10.96,-,-,56.0,-
170,臺北市,1999/02/04,古亭,3.2,0.67,23.6,-,66,29,43.07,16.91,26.15,2.421,0.26,2.16,9.96,-,-,58.0,-
171,臺北市,1999/02/04,中山,4.1,0.64,23.3,-,82,-,42.48,11.04,31.44,2.296,0.24,2.05,10.88,-,-,66.0,-
172,臺北市,1999/02/04,大同,6.8,2.56,-,-,89,-,188.34,135.34,53.01,3.788,1.3,2.49,11.94,-,-,70.0,-
173,臺北市,1999/02/04,萬華,3.0,0.67,22.3,-,56,-,32.0,4.73,27.28,-,-,-,11.29,-,-,53.0,-
174,臺北市,1999/02/04,陽明,2.6,0.18,47.9,-,33,-,1.39,0.34,1.05,-,-,-,2.6,-,72.0,46.0,-
175,臺北市,1999/02/04,士林,3.0,0.35,31.1,-,52,-,19.0,2.98,16.02,-,-,-,10.42,-,-,51.0,-
176,臺北市,1999/02/03,松山,4.2,0.37,36.0,-,92,-,23.35,4.99,18.35,-,-,-,12.44,-,-,71.0,-
177,臺北市,1999/02/03,古亭,3.7,0.56,33.7,-,107,45,26.35,5.96,20.39,2.173,0.23,1.94,11.8,-,-,78.0,-
178,臺北市,1999/02/03,中山,4.7,0.65,30.0,-,121,-,34.91,7.89,27.03,2.226,0.22,2.01,12.42,-,-,86.0,-
179,臺北市,1999/02/03,大同,-,2.47,-,-,131,-,172.42,121.79,50.64,3.53,1.14,2.39,13.57,-,-,91.0,-
180,臺北市,1999/02/03,萬華,3.8,0.71,29.8,-,96,-,28.44,3.48,24.96,-,-,-,13.31,-,-,73.0,-
181,臺北市,1999/02/03,陽明,3.3,0.31,48.8,-,68,-,2.03,0.32,1.71,-,-,-,3.73,-,84.0,59.0,-
182,臺北市,1999/02/03,士林,3.7,0.35,36.1,-,84,-,15.95,1.98,13.97,-,-,-,11.78,-,-,67.0,-
183,臺北市,1999/02/02,松山,2.5,0.35,28.1,-,41,-,28.5,4.88,23.63,-,-,-,14.89,-,-,41.0,-
184,臺北市,1999/02/02,古亭,2.6,0.9,19.9,-,45,30,50.24,19.32,30.92,2.191,0.36,1.83,14.07,-,-,45.0,-
185,臺北市,1999/02/02,中山,2.5,0.73,21.9,-,53,-,38.07,7.03,31.04,2.266,0.22,2.04,14.67,-,-,51.0,-
186,臺北市,1999/02/02,大同,-,2.09,-,-,65,-,130.33,85.49,44.84,3.209,0.96,2.25,15.32,-,-,57.0,-
187,臺北市,1999/02/02,萬華,1.9,0.83,18.3,-,42,-,36.82,4.55,32.27,-,-,-,15.04,-,-,42.0,-
188,臺北市,1999/02/02,陽明,1.8,0.26,47.2,-,20,-,2.12,0.29,1.83,-,-,-,6.93,-,100.0,49.0,-
189,臺北市,1999/02/02,士林,1.8,0.45,26.1,-,36,-,23.84,4.52,19.32,-,-,-,14.13,-,-,36.0,-
190,臺北市,1999/02/01,松山,5.1,1.18,12.4,-,72,-,78.74,39.22,39.52,-,-,-,20.18,-,-,61.0,-
191,臺北市,1999/02/01,古亭,4.0,1.37,12.4,-,64,41,76.68,32.07,44.61,2.437,0.54,1.9,19.57,-,-,57.0,-
192,臺北市,1999/02/01,中山,4.0,1.43,11.9,-,81,-,78.74,31.63,47.12,2.819,0.57,2.25,20.14,-,-,65.0,-
193,臺北市,1999/02/01,大同,6.8,3.68,-,-,103,-,193.63,137.5,56.13,4.632,1.85,2.78,21.17,-,-,77.0,-
194,臺北市,1999/02/01,萬華,3.8,1.39,14.0,-,62,-,60.52,13.52,47.0,-,-,-,21.4,-,-,58.0,-
