序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppm)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","風速 WIND_SPEED (m/sec)","小時風速值 WS_HR (m/sec)","溫度 AMB_TEMP (℃)","降雨強度 RAIN_INT (㎜)","酸雨 PH_RAIN (pH)","相對濕度 RH (percent)","導電度 RAIN_COND (μmho/cm)"
32,臺北市,2018/04/03,大同,2.5,1.11,-,-,77,25,67.52,33.57,33.95,2.37,0.33,2.04,-,-,-,-,-,-,-
33,臺北市,2018/04/03,萬華,2.3,0.5,-,29.7,61,26,26.82,5.05,21.77,-,-,-,1.58,1.24,25.28,-,-,67.33,-
34,臺北市,2018/04/03,陽明,2.8,0.23,425.88,49.5,33,25,4.17,0.97,3.2,-,-,-,1.59,-,17.14,0.0,0.0,90.68,0.0
35,臺北市,2018/04/03,士林,3.0,0.34,-,33.7,62,26,13.26,1.44,11.81,-,-,-,1.95,1.75,24.87,-,-,72.61,-
36,臺北市,2018/04/02,松山,2.8,0.43,435.45,40.2,68,26,20.17,3.75,16.41,1.951,0.119,1.832,1.49,1.09,24.29,-,-,60.68,-
37,臺北市,2018/04/02,古亭,2.4,0.45,-,45.7,77,25,19.88,3.15,16.74,2.005,0.108,1.897,1.75,1.4,24.83,-,-,58.5,-
38,臺北市,2018/04/02,中山,3.0,0.58,-,39.1,81,30,26.96,5.99,20.97,2.1,0.151,1.949,1.79,1.24,24.98,-,-,63.73,-
39,臺北市,2018/04/02,大同,3.0,1.17,-,-,89,30,62.76,29.32,33.45,2.391,0.328,2.063,-,-,-,-,-,-,-
40,臺北市,2018/04/02,萬華,2.8,0.49,-,41.3,76,29,23.21,3.39,19.82,-,-,-,1.35,0.95,25.21,-,-,60.55,-
41,臺北市,2018/04/02,陽明,2.7,0.25,426.15,58.8,50,32,4.28,0.68,3.57,-,-,-,-,-,16.91,0.0,0.0,86.46,0.0
42,臺北市,2018/04/02,士林,2.6,0.35,-,44.3,69,34,12.51,1.42,11.06,-,-,-,1.93,1.66,24.8,-,-,68.29,-
43,臺北市,2018/04/01,松山,1.6,0.28,424.43,39.5,62,23,13.22,2.29,10.93,1.838,0.07,1.768,1.88,1.35,24.09,-,-,51.54,-
44,臺北市,2018/04/01,古亭,1.1,0.25,-,46.1,63,19,12.8,2.53,10.27,1.875,0.048,1.827,2.25,1.98,25.06,-,-,47.39,-
45,臺北市,2018/04/01,中山,0.6,0.38,-,38.9,72,24,17.59,3.86,13.73,1.964,0.089,1.875,2.24,1.8,25.06,-,-,53.07,-
46,臺北市,2018/04/01,大同,1.7,0.75,-,-,76,24,48.39,19.71,28.69,2.163,0.203,1.96,-,-,-,-,-,-,-
47,臺北市,2018/04/01,萬華,1.4,0.31,-,40.3,63,25,16.69,2.5,14.19,-,-,-,1.92,1.67,25.41,-,-,49.52,-
48,臺北市,2018/04/01,陽明,2.6,0.16,413.73,51.1,40,22,2.28,0.3,1.93,-,-,-,2.54,-,16.63,0.0,0.0,75.23,0.0
49,臺北市,2018/04/01,士林,1.2,0.2,-,46.8,64,24,7.32,1.4,5.92,-,-,-,2.38,1.99,25.73,-,-,54.13,-
50,臺北市,2018/03/31,松山,2.8,0.29,424.67,31.4,48,20,18.98,3.42,15.55,1.867,0.098,1.769,2.23,1.71,23.4,-,-,58.42,-
51,臺北市,2018/03/31,古亭,1.4,0.28,-,39.6,43,17,13.36,2.68,10.67,1.899,0.053,1.847,3.2,2.84,24.22,-,-,53.35,-
52,臺北市,2018/03/31,中山,2.7,0.43,-,29.8,47,19,23.04,5.75,17.29,2.001,0.124,1.877,2.65,2.21,24.23,-,-,61.32,-
53,臺北市,2018/03/31,大同,2.0,0.65,-,-,64,20,47.79,20.58,27.2,2.125,0.177,1.948,-,-,-,-,-,-,-
54,臺北市,2018/03/31,萬華,1.8,0.31,-,31.1,45,19,21.16,3.26,17.9,-,-,-,2.92,2.45,24.53,-,-,56.52,-
55,臺北市,2018/03/31,陽明,2.8,0.14,414.54,44.8,23,14,1.48,0.42,1.11,-,-,-,4.26,-,14.94,0.5,4.67,95.3,42.5
56,臺北市,2018/03/31,士林,3.2,0.19,-,41.5,48,17,8.56,2.66,5.91,-,-,-,3.24,2.75,24.7,-,-,63.97,-
57,臺北市,2018/03/30,松山,1.8,0.3,421.57,29.0,28,10,18.7,3.09,15.6,1.838,0.089,1.749,2.28,1.85,23.43,-,-,60.53,-
58,臺北市,2018/03/30,古亭,1.6,0.28,-,34.9,30,11,14.29,2.76,11.53,1.886,0.058,1.829,3.11,2.75,23.95,-,-,57.53,-
59,臺北市,2018/03/30,中山,1.6,0.45,-,25.2,32,12,24.79,6.65,18.14,1.98,0.125,1.856,2.46,1.98,24.09,-,-,62.9,-
60,臺北市,2018/03/30,大同,3.0,0.66,-,-,46,12,47.4,22.83,24.57,2.114,0.193,1.921,-,-,-,-,-,-,-
61,臺北市,2018/03/30,萬華,2.0,0.31,-,27.7,31,11,21.54,3.62,17.91,-,-,-,2.92,2.51,24.3,-,-,59.64,-
62,臺北市,2018/03/30,陽明,1.7,0.14,414.38,41.6,14,7,2.3,1.24,1.07,-,-,-,4.14,-,15.59,0.0,0.0,89.73,0.0
63,臺北市,2018/03/30,士林,1.7,0.19,-,38.0,26,8,6.69,2.1,4.6,-,-,-,3.37,2.85,24.63,-,-,63.03,-
64,臺北市,2018/03/29,松山,2.4,0.3,421.85,28.2,22,12,17.89,5.04,12.85,1.829,0.08,1.748,1.85,1.29,24.58,-,-,56.66,-
65,臺北市,2018/03/29,古亭,1.1,0.29,-,32.6,26,8,14.88,4.2,10.68,1.898,0.062,1.836,2.74,2.32,25.23,-,-,54.02,-
66,臺北市,2018/03/29,中山,1.0,0.41,-,26.7,31,13,21.5,6.21,15.29,1.976,0.123,1.852,2.64,2.24,25.39,-,-,58.51,-
67,臺北市,2018/03/29,大同,2.1,0.94,-,-,42,10,61.36,35.42,25.94,2.253,0.31,1.944,-,-,-,-,-,-,-
68,臺北市,2018/03/29,萬華,0.7,0.32,-,27.7,25,8,20.33,5.16,15.17,-,-,-,2.39,2.04,25.63,-,-,55.7,-
69,臺北市,2018/03/29,陽明,1.4,0.14,414.41,35.6,13,7,1.56,0.15,1.55,-,-,-,2.9,-,17.03,0.5,4.6,85.66,1.7
70,臺北市,2018/03/29,士林,2.2,0.19,-,35.0,26,16,8.24,1.81,6.43,-,-,-,2.74,2.24,25.92,-,-,60.65,-
71,臺北市,2018/03/28,松山,4.1,0.27,423.08,31.2,31,15,17.41,2.99,14.42,1.828,0.077,1.751,2.1,1.66,22.87,-,-,71.05,-
72,臺北市,2018/03/28,古亭,2.5,0.37,-,29.3,32,12,21.72,5.36,16.35,1.987,0.104,1.883,2.18,1.83,23.36,-,-,68.54,-
73,臺北市,2018/03/28,中山,3.3,0.5,-,26.9,31,15,27.18,7.59,19.59,2.016,0.128,1.889,1.92,1.47,23.77,-,-,71.74,-
74,臺北市,2018/03/28,大同,3.4,0.93,-,-,49,17,54.48,26.92,27.56,2.249,0.27,1.979,-,-,-,-,-,-,-
75,臺北市,2018/03/28,萬華,3.2,0.37,-,28.9,39,14,22.36,3.83,18.53,-,-,-,2.24,1.95,24.04,-,-,68.57,-
76,臺北市,2018/03/28,陽明,2.1,0.16,414.54,45.0,15,10,1.55,0.47,1.04,-,-,-,2.17,-,15.97,0.5,4.21,92.79,64.1
77,臺北市,2018/03/28,士林,1.0,0.32,-,31.0,34,18,15.97,4.31,11.66,-,-,-,1.89,1.53,23.98,-,-,72.31,-
78,臺北市,2018/03/27,松山,1.8,0.36,432.71,29.5,42,20,20.72,3.93,16.78,1.922,0.104,1.817,1.69,1.43,21.25,-,-,73.3,-
79,臺北市,2018/03/27,古亭,1.0,0.46,-,29.7,40,18,22.33,4.0,18.33,2.034,0.119,1.915,1.57,1.29,21.55,-,-,72.44,-
80,臺北市,2018/03/27,中山,1.6,0.65,-,20.0,47,22,36.04,8.96,27.08,2.187,0.204,1.983,1.44,0.92,22.03,-,-,72.38,-
81,臺北市,2018/03/27,大同,2.8,1.17,-,-,61,24,64.45,31.21,33.24,2.453,0.351,2.102,-,-,-,-,-,-,-
82,臺北市,2018/03/27,萬華,1.2,0.53,-,25.0,43,19,29.47,5.97,23.5,-,-,-,1.51,1.19,22.34,-,-,71.1,-
83,臺北市,2018/03/27,陽明,2.8,0.19,418.13,53.1,22,15,3.39,0.43,2.85,-,-,-,2.09,-,14.71,1.0,4.58,93.29,48.0
84,臺北市,2018/03/27,士林,2.4,0.44,-,28.9,44,23,18.73,2.99,15.74,-,-,-,1.38,0.89,22.18,-,-,74.88,-
85,臺北市,2018/03/26,松山,3.0,0.43,434.66,45.2,55,22,23.36,3.62,19.75,1.921,0.111,1.81,1.76,1.36,22.56,-,-,58.23,-
86,臺北市,2018/03/26,古亭,2.4,0.46,-,43.6,52,20,23.71,3.92,19.78,2.042,0.133,1.909,1.61,1.34,22.95,-,-,56.95,-
87,臺北市,2018/03/26,中山,3.0,0.6,-,38.7,61,25,31.34,6.14,25.22,2.126,0.174,1.952,1.84,1.32,23.16,-,-,57.56,-
88,臺北市,2018/03/26,大同,2.8,1.12,-,-,69,24,63.11,27.16,35.94,2.413,0.33,2.083,-,-,-,-,-,-,-
89,臺北市,2018/03/26,萬華,3.4,0.56,-,41.4,55,22,29.4,5.05,24.35,-,-,-,1.35,0.95,23.43,-,-,58.7,-
90,臺北市,2018/03/26,陽明,3.8,0.22,421.75,59.8,30,19,4.93,0.48,4.44,-,-,-,1.89,-,15.23,0.0,0.0,83.88,0.0
91,臺北市,2018/03/26,士林,3.2,0.37,-,44.0,51,20,17.29,2.36,14.93,-,-,-,1.86,1.56,23.12,-,-,65.74,-
92,臺北市,2018/03/25,松山,1.5,0.26,421.57,51.1,49,18,10.63,1.74,8.89,1.789,0.049,1.741,1.83,1.23,22.28,-,-,52.16,-
93,臺北市,2018/03/25,古亭,0.5,0.28,-,53.5,50,15,10.62,1.7,8.93,1.903,0.049,1.854,2.73,2.43,22.9,-,-,50.44,-
94,臺北市,2018/03/25,中山,1.0,0.39,-,45.6,57,17,17.16,2.21,14.94,1.979,0.086,1.893,2.83,2.43,22.87,-,-,51.06,-
95,臺北市,2018/03/25,大同,2.1,0.69,-,-,67,20,56.82,23.13,33.69,2.182,0.203,1.979,-,-,-,-,-,-,-
96,臺北市,2018/03/25,萬華,1.3,0.32,-,48.0,53,18,15.78,1.98,13.8,-,-,-,2.26,1.93,23.27,-,-,51.64,-
97,臺北市,2018/03/25,陽明,1.4,0.18,416.5,55.0,29,16,1.06,0.3,0.75,-,-,-,3.19,-,14.8,0.0,0.0,82.88,0.0
98,臺北市,2018/03/25,士林,1.5,0.22,-,52.8,53,17,7.25,1.3,5.95,-,-,-,2.6,2.46,23.35,-,-,56.82,-
99,臺北市,2018/03/24,松山,1.1,0.41,430.85,47.6,61,21,18.46,1.72,16.74,1.917,0.1,1.818,1.81,1.32,20.39,-,-,56.08,-
100,臺北市,2018/03/24,古亭,1.0,0.42,-,55.5,55,22,16.07,1.24,14.8,2.01,0.083,1.928,2.61,2.29,21.48,-,-,52.76,-
101,臺北市,2018/03/24,中山,0.6,0.5,-,49.5,57,23,20.69,2.75,17.93,2.046,0.117,1.929,2.54,2.17,21.66,-,-,52.38,-
102,臺北市,2018/03/24,大同,1.6,0.83,-,-,72,27,52.11,17.43,34.68,2.238,0.223,2.015,-,-,-,-,-,-,-
103,臺北市,2018/03/24,萬華,1.7,0.43,-,51.2,55,25,20.46,1.86,18.6,-,-,-,2.45,2.13,21.9,-,-,52.68,-
104,臺北市,2018/03/24,陽明,1.8,0.25,419.48,64.0,36,25,2.32,0.36,1.97,-,-,-,2.84,-,13.23,0.0,0.0,85.02,0.0
105,臺北市,2018/03/24,士林,1.7,0.31,-,61.8,57,29,8.62,1.57,7.04,-,-,-,2.66,2.29,22.18,-,-,57.05,-
106,臺北市,2018/03/23,松山,3.0,0.49,434.51,31.4,44,15,31.02,8.12,22.89,1.974,0.141,1.833,1.83,1.59,17.65,-,-,53.93,-
107,臺北市,2018/03/23,古亭,2.7,0.44,-,38.6,39,13,26.15,6.55,19.61,2.018,0.108,1.91,1.95,1.58,18.42,-,-,51.27,-
108,臺北市,2018/03/23,中山,2.6,0.59,-,28.9,43,18,36.18,9.02,27.16,2.133,0.176,1.957,1.76,1.22,18.84,-,-,54.39,-
109,臺北市,2018/03/23,大同,2.3,1.25,-,-,63,21,85.66,45.98,39.68,2.437,0.371,2.066,-,-,-,-,-,-,-
110,臺北市,2018/03/23,萬華,1.5,0.45,-,32.7,45,16,29.57,5.22,24.35,-,-,-,2.02,1.6,19.0,-,-,49.74,-
111,臺北市,2018/03/23,陽明,2.9,0.21,418.06,58.7,36,23,2.19,0.39,1.8,-,-,-,2.37,-,11.92,0.0,0.0,67.89,0.0
112,臺北市,2018/03/23,士林,2.6,0.4,-,39.4,42,20,22.68,6.47,16.21,-,-,-,1.64,1.19,19.41,-,-,56.68,-
113,臺北市,2018/03/22,松山,2.2,0.42,431.3,32.3,32,12,22.46,4.15,18.32,1.93,0.117,1.813,1.92,1.57,14.84,-,-,56.4,-
114,臺北市,2018/03/22,古亭,2.2,0.42,-,32.3,24,14,23.32,4.02,19.29,2.028,0.109,1.919,2.18,1.91,15.16,-,-,58.2,-
115,臺北市,2018/03/22,中山,2.1,0.56,-,28.2,29,12,31.88,7.41,24.47,2.065,0.151,1.914,2.11,1.69,15.81,-,-,60.76,-
116,臺北市,2018/03/22,大同,2.3,0.95,-,-,52,16,62.52,28.27,34.25,2.297,0.285,2.012,-,-,-,-,-,-,-
117,臺北市,2018/03/22,萬華,1.3,0.44,-,30.3,31,11,24.68,4.03,20.65,-,-,-,2.27,1.95,15.78,-,-,54.88,-
118,臺北市,2018/03/22,陽明,1.2,0.21,418.24,48.5,16,10,1.53,0.25,1.22,-,-,-,2.66,-,7.88,0.0,0.0,78.5,0.0
119,臺北市,2018/03/22,士林,2.6,0.34,-,38.6,29,13,14.66,3.06,11.6,-,-,-,2.15,1.87,15.81,-,-,61.27,-
120,臺北市,2018/03/21,松山,1.2,0.47,431.95,35.2,23,-,15.12,1.77,13.35,1.881,0.09,1.791,1.88,1.52,15.24,-,-,64.43,-
121,臺北市,2018/03/21,古亭,1.5,0.49,-,32.1,20,9,18.49,2.37,16.12,2.053,0.126,1.928,1.99,1.81,15.47,-,-,66.28,-
122,臺北市,2018/03/21,中山,0.8,0.63,-,28.5,18,10,28.49,8.13,20.36,2.057,0.141,1.916,2.05,1.51,15.76,-,-,69.72,-
123,臺北市,2018/03/21,大同,1.9,0.83,-,-,40,9,40.57,16.49,24.09,2.203,0.208,1.995,-,-,-,-,-,-,-
124,臺北市,2018/03/21,萬華,0.7,0.53,-,30.4,22,7,21.81,3.11,18.7,-,-,-,1.89,1.19,16.15,-,-,62.5,-
125,臺北市,2018/03/21,陽明,1.4,0.31,426.48,43.2,8,4,1.93,0.36,1.46,-,-,-,7.67,-,7.37,0.6,3.89,97.32,109.14
126,臺北市,2018/03/21,士林,1.9,0.39,-,37.3,18,4,10.39,1.08,9.28,-,-,-,2.37,1.93,15.9,-,-,67.97,-
127,臺北市,2018/03/20,松山,2.5,0.45,431.9,24.0,27,15,24.01,3.34,20.71,1.92,0.12,1.799,1.7,1.11,19.1,-,-,84.02,-
128,臺北市,2018/03/20,古亭,2.1,0.49,-,25.0,28,13,23.94,3.88,20.06,2.047,0.126,1.921,1.65,1.39,19.46,-,-,84.65,-
129,臺北市,2018/03/20,中山,2.0,0.58,-,20.9,27,15,29.83,7.46,22.37,2.107,0.161,1.946,1.91,1.33,19.56,-,-,89.54,-
130,臺北市,2018/03/20,大同,2.6,1.17,-,-,42,16,56.62,29.42,27.2,2.357,0.331,2.026,-,-,-,-,-,-,-
131,臺北市,2018/03/20,萬華,1.8,0.52,-,23.4,26,11,26.27,4.43,21.85,-,-,-,1.63,1.18,20.02,-,-,83.58,-
132,臺北市,2018/03/20,陽明,1.1,0.25,424.95,40.1,9,5,3.87,0.54,3.26,-,-,-,4.33,-,13.54,2.94,4.53,99.5,16.27
133,臺北市,2018/03/20,士林,0.9,0.39,-,25.7,23,12,16.27,1.84,14.42,-,-,-,1.78,1.33,20.02,-,-,85.74,-
134,臺北市,2018/03/19,松山,1.8,0.62,449.08,30.3,50,22,30.68,8.02,22.67,2.055,0.174,1.881,1.75,1.19,23.75,-,-,70.99,-
135,臺北市,2018/03/19,古亭,3.0,0.66,-,31.2,48,23,30.7,6.68,24.02,2.207,0.189,2.018,1.5,1.09,24.25,-,-,69.98,-
136,臺北市,2018/03/19,中山,2.2,0.94,-,24.5,61,31,45.52,13.87,31.66,2.404,0.281,2.123,1.6,1.11,24.4,-,-,75.2,-
137,臺北市,2018/03/19,大同,2.8,1.42,-,-,76,31,63.29,25.71,37.58,2.751,0.419,2.333,-,-,-,-,-,-,-
138,臺北市,2018/03/19,萬華,2.0,0.77,-,26.1,51,26,34.46,7.3,27.17,-,-,-,1.28,0.79,24.56,-,-,72.33,-
139,臺北市,2018/03/19,陽明,1.7,0.23,422.4,55.4,24,19,4.38,1.27,3.1,-,-,-,1.75,-,17.9,0.0,0.0,88.5,0.0
140,臺北市,2018/03/19,士林,2.6,0.54,-,31.7,54,30,23.51,4.54,18.95,-,-,-,1.87,1.44,24.6,-,-,75.63,-
141,臺北市,2018/03/18,松山,3.3,0.62,446.55,27.4,47,17,30.64,7.45,23.19,2.087,0.172,1.915,1.48,1.19,22.2,-,-,75.69,-
142,臺北市,2018/03/18,古亭,2.9,0.62,-,27.0,51,17,30.98,6.73,24.24,2.213,0.196,2.016,1.17,0.94,22.77,-,-,73.55,-
143,臺北市,2018/03/18,中山,2.8,0.74,-,22.9,53,19,41.6,12.94,28.66,2.313,0.216,2.097,1.43,1.14,22.81,-,-,78.63,-
144,臺北市,2018/03/18,大同,3.9,1.16,-,-,67,23,57.75,24.75,33.0,2.693,0.341,2.352,-,-,-,-,-,-,-
145,臺北市,2018/03/18,萬華,3.2,0.7,-,24.9,51,21,33.72,6.29,27.41,-,-,-,1.21,0.85,23.18,-,-,74.64,-
146,臺北市,2018/03/18,陽明,1.9,0.22,417.66,54.4,17,13,3.01,0.38,2.7,-,-,-,1.91,-,17.31,0.0,0.0,89.85,0.0
147,臺北市,2018/03/18,士林,1.9,0.49,-,30.0,47,21,23.51,3.61,19.9,-,-,-,1.71,1.46,23.39,-,-,77.38,-
148,臺北市,2018/03/17,松山,2.4,0.41,425.68,34.6,28,12,21.12,3.15,17.96,1.868,0.089,1.779,1.93,1.52,18.8,-,-,85.7,-
149,臺北市,2018/03/17,古亭,1.6,0.37,-,41.4,27,9,17.08,2.29,14.79,1.954,0.08,1.874,2.87,2.64,19.73,-,-,81.54,-
150,臺北市,2018/03/17,中山,2.4,0.48,-,34.3,31,14,22.71,3.9,18.81,2.0,0.11,1.89,2.52,2.12,19.97,-,-,84.45,-
151,臺北市,2018/03/17,大同,2.1,0.72,-,-,48,12,47.09,18.22,28.87,2.157,0.193,1.963,-,-,-,-,-,-,-
152,臺北市,2018/03/17,萬華,2.2,0.37,-,37.1,30,12,20.04,2.02,18.04,-,-,-,3.06,2.61,20.28,-,-,79.43,-
153,臺北市,2018/03/17,陽明,1.5,0.21,416.8,52.9,5,2,1.77,0.17,1.73,-,-,-,2.93,-,13.41,0.58,4.54,99.59,49.72
154,臺北市,2018/03/17,士林,1.4,0.25,-,47.6,20,8,6.88,1.13,5.75,-,-,-,2.49,2.09,21.2,-,-,75.69,-
155,臺北市,2018/03/16,松山,1.8,0.48,440.13,24.9,31,17,28.66,7.79,20.87,2.011,0.161,1.85,2.25,1.63,19.88,-,-,80.73,-
156,臺北市,2018/03/16,古亭,1.8,0.58,-,26.9,30,16,28.72,7.43,21.3,2.082,0.156,1.926,2.04,1.66,20.34,-,-,79.53,-
157,臺北市,2018/03/16,中山,2.1,0.74,-,18.7,33,15,39.15,11.39,27.76,2.268,0.24,2.029,1.65,1.18,20.67,-,-,83.25,-
158,臺北市,2018/03/16,大同,3.3,1.32,-,-,51,22,75.0,40.43,34.57,2.597,0.418,2.18,-,-,-,-,-,-,-
159,臺北市,2018/03/16,萬華,1.8,0.6,-,22.3,30,15,32.54,8.4,24.13,-,-,-,1.88,1.48,21.03,-,-,77.82,-
160,臺北市,2018/03/16,陽明,1.1,0.21,417.23,48.3,8,5,2.45,0.36,2.0,-,-,-,2.68,-,14.43,0.7,4.36,95.43,51.98
161,臺北市,2018/03/16,士林,1.2,0.45,-,26.5,29,15,20.83,6.17,14.66,-,-,-,1.68,1.15,21.45,-,-,79.25,-
162,臺北市,2018/03/15,松山,2.4,0.57,445.27,21.6,37,20,35.52,9.17,26.35,2.075,0.2,1.875,1.52,1.01,22.25,-,-,71.88,-
163,臺北市,2018/03/15,古亭,3.2,0.68,-,21.7,39,17,36.3,8.75,27.55,2.195,0.238,1.958,1.2,0.98,22.48,-,-,72.06,-
164,臺北市,2018/03/15,中山,3.5,0.86,-,16.9,48,24,47.42,15.49,31.92,2.367,0.305,2.061,1.41,0.94,22.52,-,-,73.45,-
165,臺北市,2018/03/15,大同,3.2,1.48,-,-,60,26,78.67,40.55,38.12,2.708,0.485,2.223,-,-,-,-,-,-,-
166,臺北市,2018/03/15,萬華,3.8,0.8,-,19.0,46,24,38.09,6.54,31.56,-,-,-,1.33,0.9,22.73,-,-,72.98,-
167,臺北市,2018/03/15,陽明,1.4,0.16,417.4,41.3,12,9,2.61,0.36,2.27,-,-,-,2.18,-,16.17,0.5,4.34,92.58,41.95
168,臺北市,2018/03/15,士林,2.1,0.47,-,22.6,35,23,28.8,7.04,21.77,-,-,-,1.45,1.28,22.87,-,-,76.98,-
169,臺北市,2018/03/14,松山,2.0,0.62,462.61,21.8,38,18,41.7,13.94,27.76,2.179,0.249,1.93,1.47,1.09,22.44,-,-,64.97,-
