序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
24,臺北市,2017/06/24,士林,2.7,0.31,-,17.8,27,12,16.23,4.47,11.76,-,-,-,2.31,1.88,30.47,-,-,69.81,-
25,臺北市,2017/06/22,松山,7.3,0.49,440.74,19.3,31,19,34.19,8.35,25.84,2.047,0.222,1.825,1.38,0.92,29.56,-,-,71,-
26,臺北市,2017/06/22,古亭,10.3,0.52,-,25.3,30,16,31.67,7.35,24.32,2.103,0.189,1.914,1.53,1.3,29.92,-,-,71.45,-
27,臺北市,2017/06/22,中山,3.3,0.69,-,22.9,36,16,39.67,10.84,28.84,2.067,0.233,1.834,1.65,1.08,30.45,-,-,71.89,-
28,臺北市,2017/06/22,大同,4.2,1.5,-,-,49,9,74.96,41.63,33.33,2.45,0.49,1.96,-,-,-,-,-,-,-
29,臺北市,2017/06/22,萬華,3.3,0.56,-,23.4,28,17,31.06,6.69,24.37,-,-,-,1.48,1.27,30.81,-,-,69.03,-
30,臺北市,2017/06/22,陽明,1.9,0.13,417.26,29.9,14,11,5.3,0.47,4.78,-,-,-,-,-,23.57,0,0,86.82,0
31,臺北市,2017/06/22,士林,2.5,0.44,-,19.4,27,12,23.03,6.38,16.66,-,-,-,1.87,1.45,29.7,-,-,74.02,-
32,臺北市,2017/06/21,松山,3.3,0.57,436.09,20.1,23,15,34.27,10.61,23.66,2.089,0.256,1.833,1.35,0.88,29.55,-,-,71.05,-
33,臺北市,2017/06/21,古亭,2.6,0.59,-,22.9,23,12,28.45,8.4,20.05,2.211,0.287,1.924,1.57,1.15,29.56,-,-,74.25,-
34,臺北市,2017/06/21,中山,3.7,0.84,-,14.9,30,12,43.12,16.93,26.19,2.228,0.317,1.911,1.62,1.11,30.34,-,-,72.78,-
35,臺北市,2017/06/21,大同,3,1.78,-,-,49,8,70.25,40.75,29.5,2.61,0.587,2.023,-,-,-,-,-,-,-
36,臺北市,2017/06/21,萬華,2.3,0.63,-,18.3,22,11,27.33,6.35,20.98,-,-,-,1.53,1.17,30.42,-,-,70.74,-
37,臺北市,2017/06/21,陽明,1.8,0.11,415.55,22.9,12,8,5.35,0.64,4.68,-,-,-,-,-,23.08,0,0,84.57,0
38,臺北市,2017/06/21,士林,3.2,0.45,-,17.5,26,12,24.72,6.8,17.92,-,-,-,1.64,1.31,29.44,-,-,73.11,-
39,臺北市,2017/06/19,松山,2.9,0.89,452.75,6.9,18,11,52.16,29.33,22.82,2.428,0.362,2.067,1.11,0.82,27.03,-,-,81.15,-
40,臺北市,2017/06/19,古亭,1.9,0.82,-,9.1,16,8,38.84,18.67,20.17,2.352,0.311,2.041,1.24,0.86,27,-,-,84.92,-
41,臺北市,2017/06/19,中山,2,1.26,-,6.7,21,11,68.35,42.48,25.88,2.678,0.459,2.22,1.33,0.76,27.45,-,-,84.71,-
42,臺北市,2017/06/19,大同,3.5,2.75,-,-,48,8,117.62,89.74,27.87,3.487,0.954,2.533,-,-,-,-,-,-,-
43,臺北市,2017/06/19,萬華,1.8,1.04,-,6.9,22,11,52.72,28.48,24.24,-,-,-,1.09,0.64,27.67,-,-,82.09,-
44,臺北市,2017/06/19,陽明,1,0.13,415.35,21.2,12,8,5.42,0.57,4.77,-,-,-,-,-,21.49,0.9,6.42,91.29,17.65
45,臺北市,2017/06/19,士林,2.7,0.8,-,11.4,26,12,40.82,21.46,19.36,-,-,-,1.33,1,26.63,-,-,82.78,-
46,臺北市,2017/06/18,松山,2.9,0.44,425.56,22.1,10,8,27.99,10.68,17.31,2.03,0.155,1.875,1.17,0.84,24.52,-,-,91.4,-
47,臺北市,2017/06/18,古亭,2.5,0.48,-,24.8,10,4,28.93,10.05,18.88,2.161,0.179,1.981,1.42,1.16,24.89,-,-,92.83,-
48,臺北市,2017/06/18,中山,2,0.61,-,21.9,13,6,38.83,17.64,21.19,2.112,0.182,1.93,1.73,1.32,24.95,-,-,95.23,-
49,臺北市,2017/06/18,大同,2.7,1.13,-,-,26,5,67,40.74,26.27,2.485,0.348,2.138,-,-,-,-,-,-,-
50,臺北市,2017/06/18,萬華,3,0.52,-,22.2,12,4,33.3,12.82,20.48,-,-,-,1.65,1.29,25.26,-,-,90.29,-
51,臺北市,2017/06/18,陽明,1.1,0.09,410.36,33,6,3,2.05,0.42,1.6,-,-,-,-,-,19.96,2.4,5.25,97.69,5.1
52,臺北市,2017/06/18,士林,2.3,0.36,-,25.7,8,6,18.82,6.38,12.43,-,-,-,1.69,1.21,24.52,-,-,87.91,-
53,臺北市,2017/06/17,松山,0.9,0.46,432.9,20.5,5,7,29.24,8.38,20.86,2.042,0.165,1.877,1.21,0.96,24.03,-,-,92.49,-
54,臺北市,2017/06/17,古亭,1.4,0.45,-,22.3,9,3,25.9,5.13,20.77,2.13,0.175,1.955,1.59,1.16,24.04,-,-,95.57,-
55,臺北市,2017/06/17,中山,1.5,0.65,-,18.5,14,5,35.3,10.41,24.89,2.172,0.205,1.967,1.75,1.41,24.36,-,-,98.17,-
56,臺北市,2017/06/17,大同,3.3,1.39,-,-,29,5,75.33,40.63,34.7,2.537,0.454,2.083,-,-,-,-,-,-,-
57,臺北市,2017/06/17,萬華,0.9,0.47,-,19.2,14,4,29.39,6.17,23.22,-,-,-,1.59,1.38,24.6,-,-,93.01,-
58,臺北市,2017/06/17,陽明,1.3,0.1,410.61,44.5,5,1,1.49,0.25,1.23,-,-,-,-,-,19.61,2.91,5.05,98.7,6.97
59,臺北市,2017/06/17,士林,1.5,0.37,-,26.3,18,6,21.84,4.13,17.72,-,-,-,1.57,1.15,23.81,-,-,92.09,-
60,臺北市,2017/06/16,松山,3.2,0.8,-,18.6,10,7,51.43,24.81,26.62,2.283,0.324,1.959,0.93,0.53,24.23,-,-,92.57,-
61,臺北市,2017/06/16,古亭,1.9,0.69,-,17.4,11,5,41.14,14.28,26.86,2.299,0.267,2.032,1.02,0.73,24.45,-,-,94.41,-
62,臺北市,2017/06/16,中山,2.4,0.95,-,14.4,14,7,56.92,25.98,30.95,2.354,0.336,2.018,1.22,0.68,24.72,-,-,97.34,-
63,臺北市,2017/06/16,大同,4,2.13,-,-,35,5,112.52,76.64,35.88,2.986,0.724,2.262,-,-,-,-,-,-,-
64,臺北市,2017/06/16,萬華,3.6,0.82,-,11.9,15,7,51.05,18.46,32.59,-,-,-,1.05,0.68,25,-,-,92.76,-
65,臺北市,2017/06/16,陽明,0.5,0.08,413.61,30.1,5,2,2.9,0.32,2.48,-,-,-,-,-,20.28,4.48,4.84,98.4,9.68
66,臺北市,2017/06/16,士林,2.4,0.61,-,14.7,15,7,35.24,11.8,23.42,-,-,-,1.17,0.66,24.2,-,-,91.63,-
67,臺北市,2017/06/15,松山,2.7,0.33,-,33.9,13,6,25.58,3.46,22.11,1.92,0.118,1.801,1.52,1.12,22.94,-,-,92.19,-
68,臺北市,2017/06/15,古亭,2.7,0.38,-,34.5,8,4,28.41,4.02,24.39,2.049,0.141,1.908,1.81,1.65,23.2,-,-,94.45,-
69,臺北市,2017/06/15,中山,3.6,0.5,-,30.3,14,5,33.34,6.82,26.52,1.987,0.128,1.86,2.07,1.9,23.35,-,-,97.39,-
70,臺北市,2017/06/15,大同,5,1.35,-,-,32,4,84.38,44.19,40.19,2.376,0.429,1.947,-,-,-,-,-,-,-
71,臺北市,2017/06/15,萬華,3.3,0.37,-,31.2,12,6,29.68,4.15,25.53,-,-,-,1.81,1.59,23.57,-,-,91.8,-
72,臺北市,2017/06/15,陽明,1.1,0.1,409.88,51.1,5,1,1.4,0.39,0.9,-,-,-,-,-,18.56,2.18,5.33,98.35,6.83
73,臺北市,2017/06/15,士林,2.1,0.25,-,38.4,7,4,15.68,1.1,14.58,-,-,-,1.59,1.33,22.86,-,-,90.77,-
74,臺北市,2017/06/14,松山,2.5,0.45,440.41,12.4,17,9,32.93,12.6,20.33,2.021,0.196,1.826,1.55,1.16,25.58,-,-,89.76,-
75,臺北市,2017/06/14,古亭,1.2,0.44,-,16.5,15,6,25.27,7.17,18.11,2.139,0.222,1.917,1.55,1.15,25.68,-,-,91.77,-
76,臺北市,2017/06/14,中山,2.4,0.73,-,10.8,18,7,41.37,17.56,23.82,2.169,0.236,1.933,1.74,1.12,25.95,-,-,93.9,-
77,臺北市,2017/06/14,大同,2.2,1.27,-,-,34,4,57.63,31.57,26.06,2.456,0.42,2.035,-,-,-,-,-,-,-
78,臺北市,2017/06/14,萬華,-,0.51,-,13.2,18,6,28.29,7.09,21.2,-,-,-,1.35,0.85,26.12,-,-,89.8,-
79,臺北市,2017/06/14,陽明,0.6,0.08,410.01,31.7,6,2,2.83,0.62,2.18,-,-,-,-,-,20.51,6.75,4.93,94.97,5.09
80,臺北市,2017/06/14,士林,1.4,0.35,-,15.7,17,7,19.85,4.29,15.56,-,-,-,2.07,1.61,25.17,-,-,89.63,-
81,臺北市,2017/06/13,松山,5.9,0.53,467.81,12.5,22,10,37.31,16.11,21.19,2.079,0.231,1.848,1.34,0.89,28.23,-,-,81.55,-
82,臺北市,2017/06/13,古亭,-,-,-,-,22,10,-,-,-,2.145,0.247,1.899,1.55,-,-,-,-,-,-
83,臺北市,2017/06/13,中山,3.8,0.73,-,11.5,21,8,44.29,18.89,25.4,2.164,0.267,1.896,1.49,0.73,28.55,-,-,83.55,-
84,臺北市,2017/06/13,大同,3,1.7,-,-,45,6,89.41,58.72,30.69,2.643,0.579,2.064,-,-,-,-,-,-,-
85,臺北市,2017/06/13,萬華,2.5,0.75,-,15.5,22,10,42.14,17.45,24.69,-,-,-,1.31,0.67,28.8,-,-,80.24,-
86,臺北市,2017/06/13,陽明,1.4,0.12,410.92,24.5,13,8,5.81,0.68,5.14,-,-,-,-,-,22.95,11.25,4.27,91.95,10.1
87,臺北市,2017/06/13,士林,2.2,0.52,-,19.2,24,7,27.8,8.98,18.83,-,-,-,1.72,1.11,28.09,-,-,81.72,-
88,臺北市,2017/06/12,松山,2.6,0.55,-,18,25,12,33.76,13.93,19.83,2.029,0.206,1.823,1.23,0.73,28.04,-,-,80.81,-
89,臺北市,2017/06/12,古亭,2.2,0.5,-,19.4,22,9,27.66,10.48,17.18,2.087,0.206,1.881,1.67,1.15,27.8,-,-,83.36,-
90,臺北市,2017/06/12,中山,3,0.63,-,17.3,24,10,34.16,13.65,20.51,2.069,0.207,1.862,1.68,1.06,28.49,-,-,83.26,-
91,臺北市,2017/06/12,大同,3.5,1.89,-,-,46,8,81.16,54.32,26.83,2.593,0.591,2.003,-,-,-,-,-,-,-
92,臺北市,2017/06/12,萬華,2.8,0.6,-,16.8,21,9,30.66,10.87,19.8,-,-,-,1.36,0.81,28.66,-,-,80.39,-
93,臺北市,2017/06/12,陽明,1.2,0.11,416.47,27.2,13,8,4.88,0.65,4.24,-,-,-,-,-,20.42,4.63,4.33,91.31,20.74
94,臺北市,2017/06/12,士林,2.5,0.51,-,12.3,28,13,26.24,7.99,18.25,-,-,-,1.18,0.77,27.96,-,-,83.04,-
95,臺北市,2017/06/11,松山,3.9,0.47,-,18.9,33,16,25.85,7.09,18.76,2.028,0.182,1.847,1.23,0.78,29.08,-,-,80.28,-
96,臺北市,2017/06/11,古亭,1.4,0.41,-,22.9,24,12,19.89,4.49,15.4,2.041,0.152,1.889,1.67,1.3,28.7,-,-,83.37,-
97,臺北市,2017/06/11,中山,3.3,0.43,-,20.2,27,13,21.91,5.08,16.83,1.951,0.099,1.852,1.99,1.32,29.61,-,-,81.89,-
98,臺北市,2017/06/11,大同,3.9,1.35,-,-,44,13,63.81,38.54,25.26,2.327,0.382,1.945,-,-,-,-,-,-,-
99,臺北市,2017/06/11,萬華,1.5,0.42,-,19.7,28,14,20.53,3.82,16.72,-,-,-,1.46,0.99,29.66,-,-,79.55,-
100,臺北市,2017/06/11,陽明,7.5,0.11,413.17,28.5,15,11,4.33,1.17,3.16,-,-,-,-,-,22.32,0.75,4.2,88.3,50.71
101,臺北市,2017/06/11,士林,2.6,0.38,-,16.2,34,16,21.23,4.36,16.86,-,-,-,2.12,1.87,29.28,-,-,82.7,-
102,臺北市,2017/06/09,松山,3.5,0.51,464.25,31.3,44,27,24.24,4.11,20.13,1.981,0.16,1.821,1.61,1.19,29.73,-,-,73.46,-
103,臺北市,2017/06/09,古亭,3.4,0.49,-,32.8,39,24,23.78,3.75,20.03,2.118,0.196,1.921,1.88,1.63,30.04,-,-,73.89,-
104,臺北市,2017/06/09,中山,4,0.64,-,29.2,45,24,30.88,7.2,23.67,2.073,0.198,1.875,1.99,1.28,30.33,-,-,76.39,-
105,臺北市,2017/06/09,大同,4.6,1.44,-,-,68,27,55.51,26.02,29.5,2.534,0.444,2.09,-,-,-,-,-,-,-
106,臺北市,2017/06/09,萬華,4.3,0.58,-,27.1,36,25,27.22,4.21,23.01,-,-,-,1.41,0.87,30.63,-,-,72.9,-
107,臺北市,2017/06/09,陽明,2.1,0.13,415.09,39.3,20,17,4.26,0.92,3.32,-,-,-,-,-,19.36,0,0,85.67,0
108,臺北市,2017/06/09,士林,4.1,0.34,-,32,46,23,15.05,2.12,12.93,-,-,-,2.08,1.89,29.56,-,-,77.55,-
109,臺北市,2017/06/08,松山,7,0.34,457.65,20.8,42,22,19.56,3.6,15.96,1.867,0.104,1.763,1.87,1.4,29.45,-,-,77.64,-
110,臺北市,2017/06/08,古亭,4.7,0.39,-,22,35,19,22.82,5.16,17.66,2.044,0.151,1.893,2.06,1.73,29.79,-,-,76.85,-
111,臺北市,2017/06/08,中山,8.6,0.5,-,17.4,36,20,30.42,9.47,20.95,1.952,0.147,1.805,1.88,1.45,29.92,-,-,80.19,-
112,臺北市,2017/06/08,大同,8.9,1.42,-,-,57,22,69.9,41.84,28.06,2.345,0.437,1.908,-,-,-,-,-,-,-
113,臺北市,2017/06/08,萬華,5.7,0.44,-,19,28,19,26.08,4.94,21.14,-,-,-,1.7,1.36,30.07,-,-,76.47,-
114,臺北市,2017/06/08,陽明,1.9,0.14,413.48,30.3,18,15,4.97,1.48,3.5,-,-,-,-,-,19.04,0,0,91.2,0
115,臺北市,2017/06/08,士林,4.4,0.29,-,27.8,27,18,13.99,1.95,12.04,-,-,-,2.03,1.71,29.61,-,-,77.74,-
116,臺北市,2017/06/07,松山,3.1,0.47,455.73,27.1,32,20,23.93,4.83,19.1,1.969,0.166,1.804,1.54,0.99,30.29,-,-,72.19,-
117,臺北市,2017/06/07,古亭,2.7,0.46,-,26.1,32,14,23.27,5.03,18.23,2.081,0.199,1.883,1.78,1.28,30.35,-,-,73.37,-
118,臺北市,2017/06/07,中山,3.7,0.61,-,19.2,28,12,30.15,11.95,18.2,2.022,0.208,1.815,2.2,1.06,30.8,-,-,73.92,-
119,臺北市,2017/06/07,大同,3.8,1.33,-,-,47,18,48.54,26.7,21.84,2.378,0.404,1.973,-,-,-,-,-,-,-
120,臺北市,2017/06/07,萬華,2.5,0.5,-,20.1,21,11,23.84,7.39,16.45,-,-,-,1.52,0.94,30.79,-,-,72.09,-
121,臺北市,2017/06/07,陽明,2.9,0.08,414.13,24.8,12,8,6.08,1.85,4.23,-,-,-,-,-,21.88,0,0,85.12,0
122,臺北市,2017/06/07,士林,3.6,0.32,-,18.9,30,17,16.52,3.18,13.34,-,-,-,2.27,1.99,29.9,-,-,77.23,-
123,臺北市,2017/06/06,松山,3.9,0.64,465.88,30.5,42,24,32.7,7.76,24.94,2.113,0.242,1.872,1.36,0.93,29.23,-,-,76.76,-
124,臺北市,2017/06/06,古亭,4.4,0.63,-,32.9,37,24,28.9,5.39,23.52,2.13,0.18,1.95,1.43,1.15,29.43,-,-,78.53,-
125,臺北市,2017/06/06,中山,4.1,0.79,-,30.2,45,23,36.98,8.67,28.31,2.255,0.338,1.917,1.63,0.93,29.92,-,-,79.3,-
126,臺北市,2017/06/06,大同,4.4,1.75,-,-,63,25,68.63,33.2,35.43,2.808,0.608,2.2,-,-,-,-,-,-,-
127,臺北市,2017/06/06,萬華,4.6,0.68,-,30.7,39,26,29.48,4.6,24.87,-,-,-,1.33,0.86,30,-,-,77.62,-
128,臺北市,2017/06/06,陽明,2.2,0.17,422.26,33,23,20,4.95,0.64,4.26,-,-,-,-,-,23.47,0,0,90.52,0
129,臺北市,2017/06/06,士林,3.5,0.42,-,35.3,45,24,17.55,2.42,15.12,-,-,-,1.86,1.55,29.2,-,-,80.79,-
130,臺北市,2017/06/05,松山,4.1,0.49,442.37,28.6,41,22,23.86,4.83,19.03,2.028,0.162,1.865,1.4,1.02,27.72,-,-,82.88,-
131,臺北市,2017/06/05,古亭,2.7,0.57,-,29,27,-,24.6,3.78,20.84,2.264,0.253,2.01,1.48,1.14,28.29,-,-,82.45,-
132,臺北市,2017/06/05,中山,3.5,0.72,-,25,37,21,32.37,8.21,24.21,2.177,0.272,1.905,1.44,0.95,28.13,-,-,86.45,-
133,臺北市,2017/06/05,大同,3.2,1.46,-,-,54,19,56.3,27.29,29.01,2.565,0.468,2.097,-,-,-,-,-,-,-
134,臺北市,2017/06/05,萬華,3.6,0.62,-,24.3,29,20,28.84,4.93,23.91,-,-,-,1.17,0.84,28.47,-,-,82.55,-
135,臺北市,2017/06/05,陽明,1.9,0.16,421.63,35.3,18,14,3.42,0.5,2.85,-,-,-,-,-,22.09,0,0,96.13,0
136,臺北市,2017/06/05,士林,3.1,0.55,-,23.3,31,17,21.62,2.56,19.07,-,-,-,1.41,1.09,27.3,-,-,87.08,-
137,臺北市,2017/06/04,松山,1.9,0.5,449.95,19.1,20,12,28.81,7.43,21.38,2.12,0.177,1.943,1.21,0.9,25.57,-,-,91,-
138,臺北市,2017/06/04,古亭,1.7,0.55,-,19.1,15,-,28.57,6.64,21.93,2.275,0.206,2.069,1.26,1.11,25.8,-,-,93.05,-
139,臺北市,2017/06/04,中山,1.4,0.81,-,13.8,17,10,42,13.06,28.95,2.358,0.268,2.089,1.43,0.86,25.94,-,-,95.7,-
140,臺北市,2017/06/04,大同,2.3,1.2,-,-,32,10,60.63,30.56,30.07,2.759,0.399,2.36,-,-,-,-,-,-,-
141,臺北市,2017/06/04,萬華,2.5,0.69,-,15,19,9,35.3,8.31,26.99,-,-,-,1.23,0.91,26.2,-,-,91.42,-
142,臺北市,2017/06/04,陽明,1.7,0.13,421.46,38.3,6,3,3.01,0.42,2.53,-,-,-,-,-,21.41,7.11,4.79,98.01,16.68
143,臺北市,2017/06/04,士林,1.9,0.45,-,18.4,9,6,20.2,2.63,17.57,-,-,-,1.46,1.12,25.33,-,-,93.54,-
144,臺北市,2017/06/03,松山,2.7,0.48,442.19,17.4,9,7,34.59,9.51,25.08,2.05,0.17,1.88,1.19,0.81,24.8,-,-,92.13,-
145,臺北市,2017/06/03,古亭,1.7,0.58,-,16,9,1,35.57,7.9,27.67,2.189,0.168,2.021,1.3,1,26.89,-,-,94.07,-
146,臺北市,2017/06/03,中山,3.5,0.68,-,13.1,20,10,43.27,11.95,31.32,2.153,0.232,1.921,1.41,1.09,25.21,-,-,96.32,-
147,臺北市,2017/06/03,大同,4.3,1.47,-,-,33,10,95.65,57.14,38.51,2.553,0.474,2.079,-,-,-,-,-,-,-
148,臺北市,2017/06/03,萬華,2.6,0.56,-,15,17,6,38.99,9.18,29.81,-,-,-,1.52,1.15,25.48,-,-,91.76,-
149,臺北市,2017/06/03,陽明,1,0.13,419.59,39.4,5,2,3.2,1.08,2.15,-,-,-,-,-,20.6,13.75,5.19,98.55,6.12
150,臺北市,2017/06/03,士林,3.1,0.44,-,16.8,12,8,25.4,4.05,21.35,-,-,-,1.13,0.9,24.73,-,-,93.73,-
151,臺北市,2017/06/02,松山,2.6,0.49,440.03,20.8,11,9,32.85,8.55,24.3,2.047,0.166,1.881,1.49,1,25.55,-,-,88.55,-
152,臺北市,2017/06/02,古亭,1.7,0.57,-,21.2,13,6,29.37,6.03,23.34,2.256,0.253,2.002,1.37,1.04,28.28,-,-,91.25,-
153,臺北市,2017/06/02,中山,1.9,0.74,-,17.1,14,6,40.2,12.72,27.48,2.182,0.251,1.93,1.65,1.02,26.23,-,-,91.66,-
154,臺北市,2017/06/02,大同,2.8,1.62,-,-,31,6,78.6,46.25,32.35,2.552,0.501,2.052,-,-,-,-,-,-,-
155,臺北市,2017/06/02,萬華,2.1,0.57,-,18.2,13,7,30.19,5.87,24.32,-,-,-,1.55,1,26.46,-,-,88.11,-
156,臺北市,2017/06/02,陽明,1.7,0.15,414.48,39.8,6,2,2.41,0.29,2.19,-,-,-,-,-,20.74,20.41,5.01,98.1,8.91
157,臺北市,2017/06/02,士林,1.5,0.4,-,21.3,11,6,23.66,5.07,18.59,-,-,-,1.87,1.36,25.23,-,-,92.21,-
158,臺北市,2017/06/01,松山,2.9,0.53,440.77,18.5,24,13,31.26,10.53,20.72,2.024,0.192,1.832,2.13,1.66,30.61,-,-,62.62,-
159,臺北市,2017/06/01,古亭,2.3,0.52,-,20,23,14,23.99,6.41,17.58,2.14,0.172,1.967,1.93,1.47,32.76,-,-,68.58,-
160,臺北市,2017/06/01,中山,3.1,0.78,-,15.1,24,9,36.89,15.62,21.27,2.14,0.264,1.876,2.13,1.47,31.07,-,-,65.69,-
161,臺北市,2017/06/01,大同,3.8,1.7,-,-,42,13,56.78,32.56,24.22,2.584,0.498,2.085,-,-,-,-,-,-,-
162,臺北市,2017/06/01,萬華,2.6,0.53,-,16.7,31,12,22.71,4.67,18.04,-,-,-,1.63,1.3,30.97,-,-,65.63,-
163,臺北市,2017/06/01,陽明,2,0.15,418.75,23.6,13,9,6.46,1.17,5.27,-,-,-,-,-,21.18,0,0,89.17,0
164,臺北市,2017/06/01,士林,2.7,0.28,-,18.8,27,12,14.95,2.92,12.03,-,-,-,2.59,2.17,30.03,-,-,70.32,-
165,新北市,2017/06/30,板橋,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
166,新北市,2017/06/30,三重,4.8,1.61,-,-,59,24,99.95,56.83,43.12,2.586,0.626,1.961,-,-,29.08,-,-,66.9,-
167,新北市,2017/06/30,菜寮,3.6,0.61,-,29.5,41,25,28.19,3.85,24.33,-,-,-,1.59,1.07,30.12,-,-,73.16,-
168,新北市,2017/06/30,永和,4.8,1.07,-,25.3,40,27,44.25,13.9,30.35,2.308,0.444,1.864,1.48,0.97,29.4,-,-,69.98,-
169,新北市,2017/06/30,新莊,5.6,0.55,-,31.3,48,22,26.99,3.78,23.2,-,-,-,1.58,1.16,29.65,-,-,69.83,-
170,新北市,2017/06/30,新店,2.9,0.37,-,36.1,42,26,15.99,1.73,14.23,-,-,-,1.74,1.25,29.99,-,-,71.28,-
171,新北市,2017/06/30,淡水,3.5,0.42,-,22.2,39,19,18.65,2.81,15.83,-,-,-,-,-,-,-,-,-,-
172,新北市,2017/06/30,汐止,5.9,0.49,-,27.9,39,29,28.44,6.24,22.2,-,-,-,1.47,1.06,29.53,-,-,71.85,-
