序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
610,臺中市,2015/01/21,忠明,2.5,0.44,31.9,79.0,38,21,2.91,18.4,1.68,17.85,71.09
611,臺中市,2015/01/21,豐原,1.4,0.39,32.8,56.0,27,15,2.22,12.83,1.82,16.28,76.56
612,臺中市,2015/01/21,沙鹿,2.2,0.37,38.4,88.0,30,15,1.11,13.49,4.18,18.01,81.93
613,臺中市,2015/01/21,大里,3.5,0.53,31.6,93.0,39,23,2.17,20.58,2.11,18.31,71.99
614,臺中市,2015/01/20,西屯,3.6,0.59,35.5,100.0,49,29,6.53,22.04,1.74,17.42,71.67
615,臺中市,2015/01/20,忠明,4.8,0.69,32.5,92.0,50,35,7.15,28.1,1.32,17.81,62.75
616,臺中市,2015/01/20,豐原,3.4,0.59,43.1,91.0,47,19,1.51,17.27,1.67,16.34,71.13
617,臺中市,2015/01/20,沙鹿,3.5,0.57,37.5,98.0,40,23,3.27,19.5,2.62,17.36,72.45
618,臺中市,2015/01/20,大里,4.3,0.9,34.6,125.0,65,39,9.07,30.42,1.46,17.66,68.26
619,臺中市,2015/01/19,西屯,2.0,0.36,40.5,69.0,31,11,1.12,10.24,3.81,16.29,60.61
620,臺中市,2015/01/19,忠明,3.3,0.46,32.4,59.0,31,20,2.38,17.53,2.0,16.48,54.76
621,臺中市,2015/01/19,豐原,1.3,0.37,37.5,45.0,25,9,1.13,8.09,2.12,14.57,63.2
622,臺中市,2015/01/19,沙鹿,3.0,0.37,42.7,65.0,26,12,0.79,11.62,5.11,16.14,59.86
623,臺中市,2015/01/19,大里,3.0,0.68,23.7,65.0,31,32,9.72,21.83,1.81,16.53,64.98
624,臺中市,2015/01/18,西屯,2.6,0.39,28.8,71.0,41,15,2.3,12.39,3.07,15.48,69.91
625,臺中市,2015/01/18,忠明,2.9,0.5,24.6,70.0,42,22,3.86,18.62,1.52,15.66,61.77
626,臺中市,2015/01/18,豐原,2.5,0.47,28.7,62.0,37,-,-,-,1.67,14.15,70.29
627,臺中市,2015/01/18,沙鹿,2.2,0.38,32.0,60.0,27,12,1.32,10.8,4.37,15.18,70.93
628,臺中市,2015/01/18,大里,2.5,0.6,24.7,99.0,55,25,4.42,20.99,1.92,15.85,68.01
629,臺中市,2015/01/17,西屯,2.8,0.41,41.0,93.0,55,10,1.49,8.38,4.53,15.69,61.39
630,臺中市,2015/01/17,忠明,3.2,0.51,34.3,76.0,50,18,1.93,15.7,2.44,15.81,55.3
631,臺中市,2015/01/17,豐原,2.8,0.41,37.8,71.0,42,9,0.68,7.81,2.32,13.89,62.89
632,臺中市,2015/01/17,沙鹿,3.9,0.44,41.4,90.0,47,12,1.18,11.27,5.97,15.51,61.06
633,臺中市,2015/01/17,大里,2.6,0.56,31.2,78.0,47,21,2.72,17.92,2.46,16.5,60.34
634,臺中市,2015/01/16,西屯,2.4,0.34,25.8,60.0,24,18,3.07,15.03,3.2,16.5,74.0
635,臺中市,2015/01/16,忠明,2.8,0.43,20.6,52.0,27,26,4.91,20.8,1.7,16.65,65.6
636,臺中市,2015/01/16,豐原,2.1,0.46,23.6,56.0,29,19,4.19,14.82,1.87,15.17,74.47
637,臺中市,2015/01/16,沙鹿,2.4,0.34,29.5,54.0,20,17,2.89,14.16,4.32,16.05,76.15
638,臺中市,2015/01/16,大里,3.7,0.6,14.5,58.0,26,37,10.75,25.78,1.85,18.1,71.89
639,臺中市,2015/01/15,西屯,2.6,0.32,27.3,40.0,14,15,1.89,12.6,3.83,16.37,67.46
640,臺中市,2015/01/15,忠明,2.4,0.42,23.2,30.0,14,21,3.15,17.84,2.07,16.47,60.16
641,臺中市,2015/01/15,豐原,1.4,0.32,27.1,33.0,13,9,1.0,7.84,2.23,15.02,67.26
642,臺中市,2015/01/15,沙鹿,2.5,0.33,26.0,41.0,12,17,1.92,15.52,5.41,15.85,70.01
643,臺中市,2015/01/15,大里,2.7,0.58,18.6,37.0,16,30,8.07,22.35,1.72,19.68,66.71
644,臺中市,2015/01/14,西屯,1.0,0.29,26.3,20.0,7,14,1.65,12.41,4.11,16.52,79.92
645,臺中市,2015/01/14,忠明,1.7,0.36,23.0,-,9,19,1.89,16.97,2.11,16.54,72.83
646,臺中市,2015/01/14,豐原,-,0.27,29.7,22.0,6,10,1.05,8.98,2.17,14.99,79.8
647,臺中市,2015/01/14,沙鹿,1.9,0.29,29.1,24.0,4,15,1.15,14.01,4.64,17.37,79.5
648,臺中市,2015/01/14,大里,2.4,0.39,23.7,13.0,10,18,2.39,15.93,2.59,19.11,74.71
649,臺中市,2015/01/13,西屯,5.6,0.57,22.3,92.0,40,42,14.27,27.85,2.04,18.38,75.74
650,臺中市,2015/01/13,忠明,4.7,0.66,21.4,-,42,40,10.22,29.96,1.35,18.58,67.14
651,臺中市,2015/01/13,豐原,3.1,0.47,37.8,53.0,26,20,2.43,17.28,2.16,17.14,69.98
652,臺中市,2015/01/13,沙鹿,5.1,0.51,22.2,72.0,29,30,6.21,23.82,2.63,18.28,78.62
653,臺中市,2015/01/13,大里,5.2,0.69,25.2,98.0,42,39,9.02,29.66,1.85,19.62,71.52
654,臺中市,2015/01/12,西屯,3.9,0.61,27.2,65.0,34,37,9.47,27.09,1.76,19.04,62.08
655,臺中市,2015/01/12,忠明,4.0,0.78,23.8,62.0,34,46,13.15,33.23,1.16,19.44,55.29
656,臺中市,2015/01/12,豐原,2.8,0.58,33.9,58.0,33,27,4.48,22.24,1.56,18.13,57.94
657,臺中市,2015/01/12,沙鹿,3.9,0.62,28.8,64.0,27,29,6.72,22.75,1.96,18.78,64.52
658,臺中市,2015/01/12,大里,4.2,0.86,25.4,75.0,40,46,12.04,33.89,1.36,20.88,61.75
659,臺中市,2015/01/11,西屯,2.7,0.46,25.7,62.0,36,27,6.79,20.07,1.77,17.69,64.48
660,臺中市,2015/01/11,忠明,3.4,0.68,21.4,54.0,35,38,9.87,27.68,1.08,18.2,56.64
661,臺中市,2015/01/11,豐原,2.8,0.47,33.7,39.0,21,16,2.63,13.58,1.61,16.69,60.43
662,臺中市,2015/01/11,沙鹿,3.3,0.46,29.1,58.0,27,21,3.38,17.28,2.42,17.55,65.03
663,臺中市,2015/01/11,大里,3.0,0.7,25.7,74.0,42,36,8.87,27.1,1.36,20.65,63.11
664,臺中市,2015/01/10,西屯,2.8,0.36,27.6,53.0,29,21,4.0,17.41,2.27,16.75,62.58
665,臺中市,2015/01/10,忠明,3.3,0.49,23.2,49.0,29,29,5.02,23.78,1.35,16.98,55.92
666,臺中市,2015/01/10,豐原,1.9,0.44,28.1,44.0,20,18,3.28,15.06,1.47,15.41,62.51
667,臺中市,2015/01/10,沙鹿,2.4,0.34,29.3,53.0,19,17,1.88,15.15,3.37,16.4,64.31
668,臺中市,2015/01/10,大里,2.7,0.62,23.7,70.0,35,36,7.89,27.88,1.52,19.42,62.56
669,臺中市,2015/01/09,西屯,3.0,0.31,31.4,59.0,29,15,1.2,13.52,3.31,16.03,59.67
670,臺中市,2015/01/09,忠明,2.8,0.44,26.9,55.0,28,22,3.05,19.16,1.8,16.24,53.26
671,臺中市,2015/01/09,豐原,1.9,0.35,32.1,38.0,22,13,2.44,10.2,1.9,14.64,57.99
672,臺中市,2015/01/09,沙鹿,2.4,0.31,31.1,54.0,18,17,1.65,14.96,4.65,15.55,62.38
673,臺中市,2015/01/09,大里,2.5,0.54,26.7,61.0,32,26,3.14,22.62,1.75,18.64,57.63
674,臺中市,2015/01/08,西屯,3.5,0.35,33.5,75.0,41,11,1.29,9.64,5.15,14.56,58.7
675,臺中市,2015/01/08,忠明,3.5,0.5,28.5,68.0,38,19,2.65,16.3,2.24,14.93,52.87
676,臺中市,2015/01/08,豐原,2.0,0.41,33.7,51.0,33,10,1.55,8.85,2.67,13.19,59.79
677,臺中市,2015/01/08,沙鹿,3.5,0.36,34.6,74.0,31,14,1.76,12.12,6.69,14.08,58.51
678,臺中市,2015/01/08,大里,2.8,0.53,28.7,65.0,33,21,2.2,18.87,2.71,14.44,58.04
679,臺中市,2015/01/07,西屯,2.6,0.45,26.2,48.0,25,15,2.14,13.3,4.79,16.95,76.04
680,臺中市,2015/01/07,忠明,2.5,0.55,22.0,45.0,28,21,3.41,17.92,2.45,17.37,67.57
681,臺中市,2015/01/07,豐原,1.2,0.47,25.2,37.0,21,14,2.18,11.5,2.34,16.06,75.09
682,臺中市,2015/01/07,沙鹿,1.8,0.43,31.0,48.0,16,15,2.0,12.96,6.82,16.73,76.04
683,臺中市,2015/01/07,大里,2.4,0.6,20.1,60.0,33,25,3.36,21.31,2.78,18.24,71.57
684,臺中市,2015/01/06,西屯,4.5,0.7,20.1,81.0,48,53,28.19,25.2,2.3,20.83,70.88
685,臺中市,2015/01/06,忠明,3.7,0.86,18.0,76.0,45,50,20.49,29.08,1.27,21.26,63.26
686,臺中市,2015/01/06,豐原,3.2,0.46,23.1,44.0,24,26,5.63,20.01,1.89,19.85,64.56
687,臺中市,2015/01/06,沙鹿,3.8,0.58,27.4,86.0,47,29,8.09,20.4,2.94,21.07,73.79
688,臺中市,2015/01/06,大里,3.7,0.79,18.9,70.0,48,40,9.94,29.89,1.65,23.53,68.27
689,臺中市,2015/01/05,西屯,3.4,0.95,13.5,76.0,43,66,29.4,36.67,1.03,19.47,65.7
690,臺中市,2015/01/05,忠明,4.1,1.37,16.0,82.0,53,89,45.9,43.55,0.84,20.41,57.69
691,臺中市,2015/01/05,豐原,-,0.5,34.3,57.0,25,23,5.18,17.65,1.77,18.66,57.54
692,臺中市,2015/01/05,沙鹿,3.2,0.74,24.9,87.0,53,36,6.76,29.04,1.82,19.6,70.91
693,臺中市,2015/01/05,大里,3.6,0.9,22.1,67.0,40,47,14.74,32.07,1.06,20.54,64.77
694,臺中市,2015/01/04,西屯,2.8,0.87,21.1,81.0,54,46,18.46,27.87,1.17,17.05,69.11
695,臺中市,2015/01/04,忠明,3.7,1.11,18.7,80.0,55,69,35.94,32.96,0.88,18.0,59.31
696,臺中市,2015/01/04,豐原,4.0,0.48,35.9,62.0,32,18,1.47,16.68,1.87,15.62,63.56
697,臺中市,2015/01/04,沙鹿,3.7,0.73,27.8,86.0,49,33,8.02,24.89,1.59,17.48,71.56
698,臺中市,2015/01/04,大里,3.2,0.77,23.8,74.0,51,34,8.37,25.7,1.23,22.91,64.28
699,臺中市,2015/01/03,西屯,3.8,0.59,20.8,76.0,41,35,8.36,26.46,1.29,16.01,67.09
700,臺中市,2015/01/03,忠明,3.6,0.82,17.9,73.0,41,52,19.84,32.33,0.92,16.59,58.57
701,臺中市,2015/01/03,豐原,3.4,0.55,31.6,76.0,40,19,2.73,16.14,1.85,14.45,66.78
702,臺中市,2015/01/03,沙鹿,2.5,0.52,25.6,56.0,25,26,4.27,21.23,1.9,15.56,67.33
703,臺中市,2015/01/03,大里,4.6,0.83,20.2,93.0,56,44,12.47,31.88,1.23,19.62,65.61
704,臺中市,2015/01/02,西屯,3.1,0.3,30.2,52.0,26,15,1.91,13.1,2.61,14.49,57.61
705,臺中市,2015/01/02,忠明,2.6,0.44,24.7,51.0,27,24,3.85,20.04,1.24,14.74,51.14
706,臺中市,2015/01/02,豐原,2.6,0.35,31.5,44.0,18,13,2.23,11.06,1.8,13.12,56.68
707,臺中市,2015/01/02,沙鹿,2.2,0.31,31.5,49.0,15,14,1.26,12.99,4.37,14.02,59.87
708,臺中市,2015/01/02,大里,2.2,0.65,20.5,57.0,33,35,9.8,25.25,1.2,16.14,62.09
709,臺中市,2015/01/01,西屯,2.7,0.42,38.0,82.0,42,11,1.58,9.43,4.61,14.56,57.28
710,臺中市,2015/01/01,忠明,4.0,0.5,31.8,78.0,39,19,2.02,17.15,2.31,14.9,51.5
711,臺中市,2015/01/01,豐原,2.9,0.39,36.7,55.0,24,9,1.0,7.63,2.37,12.91,58.17
712,臺中市,2015/01/01,沙鹿,3.8,0.42,41.7,86.0,31,11,1.44,9.82,6.22,14.38,56.18
713,臺中市,2015/01/01,大里,3.3,0.7,24.0,76.0,44,33,11.66,20.85,2.01,14.7,63.1
714,臺南市,2015/01/31,新營,2.4,0.48,27.9,68.0,23,16,2.63,13.44,2.97,16.39,72.08
715,臺南市,2015/01/31,善化,2.7,0.46,26.6,72.0,32,16,1.72,14.55,3.89,17.79,70.69
716,臺南市,2015/01/31,安南,2.2,0.44,31.4,73.0,26,15,2.83,11.93,3.47,16.6,77.61
717,臺南市,2015/01/31,臺南,2.3,0.57,29.1,64.0,26,17,1.88,14.82,3.0,16.86,72.54
718,臺南市,2015/01/30,新營,-,0.32,21.8,70.0,27,16,2.14,13.96,3.06,17.77,77.77
719,臺南市,2015/01/30,善化,2.0,0.32,20.2,73.0,34,17,1.37,15.25,4.39,18.71,75.49
720,臺南市,2015/01/30,安南,2.0,0.33,24.3,75.0,32,16,1.79,14.51,3.62,17.93,82.95
721,臺南市,2015/01/30,臺南,2.1,0.45,22.4,72.0,33,19,1.69,17.38,3.03,18.53,77.72
722,臺南市,2015/01/29,新營,3.3,0.39,25.5,69.0,24,18,2.85,15.63,2.49,18.68,74.05
723,臺南市,2015/01/29,善化,4.1,0.38,25.2,66.0,30,19,2.76,16.31,3.45,19.44,72.74
724,臺南市,2015/01/29,安南,3.3,0.34,28.7,63.0,21,18,3.1,14.6,2.97,18.7,80.46
725,臺南市,2015/01/29,臺南,3.5,0.48,28.5,58.0,20,19,2.07,17.33,2.66,19.12,74.67
726,臺南市,2015/01/28,新營,2.8,0.51,25.0,58.0,27,20,3.79,16.02,2.65,18.21,72.7
727,臺南市,2015/01/28,善化,3.9,0.51,23.7,60.0,33,19,2.1,16.73,3.16,19.16,71.73
728,臺南市,2015/01/28,安南,1.7,0.51,28.8,69.0,27,16,2.6,13.29,2.74,18.48,78.75
729,臺南市,2015/01/28,臺南,2.9,0.64,26.1,66.0,28,20,2.83,17.25,2.43,18.91,72.72
730,臺南市,2015/01/27,新營,1.5,0.54,20.0,87.0,48,23,3.77,19.6,2.15,19.43,81.41
731,臺南市,2015/01/27,善化,3.2,0.53,18.4,93.0,64,22,3.48,18.46,2.82,19.96,78.48
732,臺南市,2015/01/27,安南,2.8,0.47,26.6,94.0,48,19,3.91,14.99,2.5,19.51,86.57
733,臺南市,2015/01/27,臺南,2.3,0.64,25.4,80.0,48,23,3.49,19.91,2.23,20.39,80.72
734,臺南市,2015/01/26,新營,-,0.39,22.8,76.0,47,21,2.07,19.36,2.59,19.23,76.45
735,臺南市,2015/01/26,善化,3.7,0.38,22.1,78.0,47,19,1.73,17.35,3.69,20.08,74.08
736,臺南市,2015/01/26,安南,3.7,0.39,27.0,82.0,42,20,3.01,16.61,2.97,19.6,80.61
737,臺南市,2015/01/26,臺南,3.5,0.53,24.6,71.0,43,24,2.96,21.43,2.68,20.1,74.41
738,臺南市,2015/01/25,新營,-,0.7,33.6,134.0,88,29,4.61,24.6,1.83,19.5,63.47
739,臺南市,2015/01/25,善化,4.9,0.6,39.3,116.0,85,22,1.8,20.55,2.21,20.15,63.33
740,臺南市,2015/01/25,安南,5.1,0.67,39.5,129.0,78,27,3.9,23.29,1.96,19.9,66.93
741,臺南市,2015/01/25,臺南,5.8,0.83,39.6,115.0,74,31,2.08,29.24,1.75,20.35,57.63
742,臺南市,2015/01/24,新營,-,0.7,37.7,129.0,75,28,3.76,24.26,1.55,16.97,64.22
743,臺南市,2015/01/24,善化,4.0,0.56,38.0,92.0,62,21,2.27,18.35,1.73,17.59,67.12
744,臺南市,2015/01/24,安南,3.6,0.62,38.0,113.0,62,34,7.79,25.81,1.67,17.38,68.06
745,臺南市,2015/01/24,臺南,4.0,0.92,38.8,100.0,66,36,3.96,31.81,1.55,18.03,59.46
746,臺南市,2015/01/23,新營,4.1,0.72,33.2,125.0,72,30,4.8,25.41,1.43,16.15,60.51
747,臺南市,2015/01/23,善化,4.2,0.63,33.3,103.0,65,27,3.67,23.04,1.44,16.85,67.43
748,臺南市,2015/01/23,安南,4.7,0.71,35.2,129.0,67,35,7.21,27.99,1.6,16.27,68.39
749,臺南市,2015/01/23,臺南,4.4,0.96,36.3,-,63,35,3.43,31.12,1.63,16.89,59.1
750,臺南市,2015/01/22,新營,5.0,0.53,40.5,107.0,56,21,2.05,19.4,2.96,16.74,58.52
751,臺南市,2015/01/22,善化,4.7,0.51,34.7,103.0,59,21,2.46,18.86,4.77,17.76,59.64
752,臺南市,2015/01/22,安南,4.0,0.48,47.4,121.0,51,17,1.76,15.32,3.68,17.15,63.54
753,臺南市,2015/01/22,臺南,3.8,0.6,47.4,-,50,18,1.74,16.66,3.39,17.58,56.52
754,臺南市,2015/01/21,新營,3.2,0.42,33.3,97.0,46,16,1.87,14.16,2.89,18.47,77.18
755,臺南市,2015/01/21,善化,3.0,0.43,29.4,100.0,55,-,-,-,4.15,19.04,74.99
756,臺南市,2015/01/21,安南,1.3,0.42,34.9,117.0,50,16,2.48,13.43,3.44,18.22,83.03
757,臺南市,2015/01/21,臺南,3.1,0.58,33.2,97.0,50,18,1.79,16.68,2.89,18.98,77.53
758,臺南市,2015/01/20,新營,4.5,0.59,35.1,121.0,64,26,5.02,20.65,1.7,18.06,68.29
759,臺南市,2015/01/20,善化,5.3,0.59,35.3,127.0,75,25,4.12,21.33,1.95,19.0,68.71
760,臺南市,2015/01/20,安南,4.4,0.66,38.9,131.0,66,24,3.08,21.36,1.75,18.41,73.98
761,臺南市,2015/01/20,臺南,5.0,0.81,35.4,111.0,58,30,4.03,25.55,1.5,18.59,69.48
762,臺南市,2015/01/19,新營,4.3,0.49,26.5,88.0,40,25,5.43,19.59,1.93,16.73,67.25
763,臺南市,2015/01/19,善化,3.9,0.47,29.0,90.0,45,20,3.32,17.09,2.11,17.95,68.8
764,臺南市,2015/01/19,安南,5.1,0.48,31.8,103.0,40,23,5.08,17.59,1.96,17.09,73.67
765,臺南市,2015/01/19,臺南,4.7,0.67,30.3,89.0,45,27,4.54,21.97,1.9,17.26,67.52
766,臺南市,2015/01/18,新營,3.2,0.57,26.4,120.0,67,23,4.82,17.71,1.86,15.71,70.74
767,臺南市,2015/01/18,善化,3.6,0.5,27.6,108.0,74,21,4.5,16.38,2.26,16.87,71.35
768,臺南市,2015/01/18,安南,3.2,0.52,32.3,121.0,65,18,3.47,15.0,2.07,15.9,74.83
769,臺南市,2015/01/18,臺南,3.9,0.68,30.2,117.0,66,23,2.75,19.78,2.08,16.19,67.81
770,臺南市,2015/01/17,新營,3.1,0.5,31.0,111.0,59,20,2.35,17.47,2.51,16.23,67.61
771,臺南市,2015/01/17,善化,3.8,0.46,30.1,99.0,63,17,1.7,15.72,2.92,17.38,69.91
772,臺南市,2015/01/17,安南,3.2,0.47,34.2,120.0,57,20,3.43,16.78,2.68,16.38,75.68
773,臺南市,2015/01/17,臺南,3.4,0.62,33.0,115.0,56,22,2.32,19.34,2.59,16.85,67.91
774,臺南市,2015/01/16,新營,3.7,0.47,25.0,77.0,32,22,3.6,18.67,2.59,17.03,72.78
775,臺南市,2015/01/16,善化,4.4,0.44,18.4,65.0,33,23,4.46,18.68,3.44,18.05,72.85
776,臺南市,2015/01/16,安南,4.3,0.39,29.1,71.0,25,19,2.92,16.02,3.26,17.32,78.21
777,臺南市,2015/01/16,臺南,5.0,0.53,28.1,66.0,25,20,1.58,18.73,2.87,17.62,72.96
778,臺南市,2015/01/15,新營,2.4,0.4,25.6,59.0,23,19,3.2,16.2,2.6,16.28,73.27
779,臺南市,2015/01/15,善化,3.2,0.35,24.4,54.0,28,20,3.43,16.24,3.25,17.61,72.66
780,臺南市,2015/01/15,安南,2.6,0.37,28.9,71.0,21,19,3.52,15.16,3.02,16.66,76.2
781,臺南市,2015/01/15,臺南,2.5,0.51,28.3,58.0,23,20,2.79,17.12,2.79,16.98,72.29
782,臺南市,2015/01/14,新營,2.2,0.34,28.0,27.0,12,14,1.46,12.84,3.25,17.19,80.35
783,臺南市,2015/01/14,善化,2.2,0.3,29.6,23.0,11,13,1.82,11.56,4.95,18.14,78.59
784,臺南市,2015/01/14,安南,1.2,0.33,31.6,28.0,9,14,1.1,12.67,3.88,17.32,84.13
785,臺南市,2015/01/14,臺南,2.6,0.44,30.8,26.0,11,17,2.31,14.33,3.34,18.26,80.31
786,臺南市,2015/01/13,新營,3.0,0.4,30.9,77.0,36,18,3.04,14.86,2.26,18.78,76.07
787,臺南市,2015/01/13,善化,3.2,0.38,28.9,62.0,31,16,2.79,13.38,2.84,19.17,75.56
788,臺南市,2015/01/13,安南,2.7,0.38,33.1,78.0,21,15,1.95,13.31,2.59,18.77,81.47
789,臺南市,2015/01/13,臺南,3.2,0.5,32.1,62.0,22,18,1.62,16.09,2.26,19.11,77.05
790,臺南市,2015/01/12,新營,3.8,0.59,29.2,102.0,45,22,3.71,18.65,1.48,19.2,65.95
791,臺南市,2015/01/12,善化,4.1,0.55,36.2,92.0,52,20,3.61,16.79,1.41,19.86,67.05
792,臺南市,2015/01/12,安南,4.9,0.61,41.7,116.0,50,27,6.13,20.75,1.47,19.72,70.38
793,臺南市,2015/01/12,臺南,4.3,0.89,40.1,101.0,48,29,2.72,26.48,1.46,19.95,63.77
794,臺南市,2015/01/11,新營,4.0,0.5,29.3,89.0,47,22,3.7,18.64,1.81,18.21,65.3
795,臺南市,2015/01/11,善化,3.7,0.49,29.1,82.0,48,20,3.37,16.29,1.91,18.49,68.83
796,臺南市,2015/01/11,安南,3.6,0.5,32.5,87.0,38,22,4.25,17.47,1.93,18.05,72.03
797,臺南市,2015/01/11,臺南,5.2,0.66,30.4,74.0,40,27,3.73,23.51,1.95,18.37,65.56
798,臺南市,2015/01/10,新營,3.5,0.43,27.4,80.0,39,24,5.29,18.92,1.91,16.9,65.78
799,臺南市,2015/01/10,善化,3.7,0.45,27.5,70.0,45,21,3.55,17.69,2.35,18.05,66.11
800,臺南市,2015/01/10,安南,3.3,0.43,31.3,77.0,33,21,4.18,16.98,2.35,17.17,69.37
801,臺南市,2015/01/10,臺南,3.5,0.57,29.0,71.0,33,24,3.5,20.96,2.28,17.35,64.47
802,臺南市,2015/01/09,新營,3.4,0.46,26.9,92.0,44,20,2.92,17.11,2.22,16.29,63.96
803,臺南市,2015/01/09,善化,3.7,0.45,26.6,83.0,51,21,3.29,17.85,2.62,17.76,64.4
804,臺南市,2015/01/09,安南,3.5,0.45,29.6,94.0,40,22,4.22,17.54,2.25,16.62,67.65
805,臺南市,2015/01/09,臺南,3.7,0.6,28.1,86.0,42,25,3.92,21.29,2.17,16.78,63.07
806,臺南市,2015/01/08,新營,3.9,0.51,24.8,92.0,49,18,1.36,17.09,2.99,15.0,62.75
807,臺南市,2015/01/08,善化,4.3,0.48,22.7,83.0,51,18,2.34,16.01,4.23,16.79,63.29
808,臺南市,2015/01/08,安南,4.2,0.48,26.9,107.0,44,21,3.02,17.59,3.38,15.42,66.74
809,臺南市,2015/01/08,臺南,3.5,0.64,24.8,99.0,44,23,2.19,20.61,3.06,15.49,63.09
810,臺南市,2015/01/07,新營,3.1,0.65,22.0,116.0,48,18,1.63,16.84,3.02,18.18,75.68
811,臺南市,2015/01/07,善化,3.7,0.59,21.6,99.0,56,18,1.86,16.11,4.22,19.05,74.69
812,臺南市,2015/01/07,安南,4.0,0.55,26.8,111.0,42,16,2.08,14.32,3.6,18.34,80.22
813,臺南市,2015/01/07,臺南,3.3,0.71,25.4,106.0,44,20,2.31,17.31,3.22,18.75,76.06
814,臺南市,2015/01/06,新營,3.8,0.51,25.7,90.0,48,28,8.4,19.8,2.23,21.12,71.18
815,臺南市,2015/01/06,善化,4.0,0.45,24.7,69.0,48,21,4.09,16.54,2.61,21.12,70.64
816,臺南市,2015/01/06,安南,3.4,0.46,27.9,98.0,49,29,9.21,19.37,2.29,21.43,75.58
817,臺南市,2015/01/06,臺南,4.3,0.73,25.9,77.0,46,32,6.24,26.2,2.01,21.97,67.68
818,臺南市,2015/01/05,新營,4.1,0.55,28.1,86.0,47,25,4.01,21.29,1.34,20.13,63.95
819,臺南市,2015/01/05,善化,3.5,0.46,28.4,68.0,49,19,2.31,17.15,1.38,19.9,66.6
820,臺南市,2015/01/05,安南,4.3,0.56,30.5,88.0,48,31,6.94,24.35,1.42,20.45,68.12
821,臺南市,2015/01/05,臺南,3.2,0.82,37.7,67.0,42,31,3.41,28.06,1.53,21.21,58.35
822,臺南市,2015/01/04,新營,3.3,0.53,28.6,91.0,54,25,4.64,20.01,1.63,18.53,64.63
823,臺南市,2015/01/04,善化,2.4,0.42,27.9,70.0,50,16,2.58,13.28,2.0,18.74,67.7
824,臺南市,2015/01/04,安南,3.5,0.51,29.0,91.0,52,26,6.74,19.47,1.83,18.55,69.61
825,臺南市,2015/01/04,臺南,3.6,0.67,27.8,88.0,52,30,2.62,26.91,1.99,19.19,62.35
826,臺南市,2015/01/03,新營,3.3,0.54,26.5,93.0,46,28,6.62,21.85,1.43,16.56,65.52
827,臺南市,2015/01/03,善化,2.9,0.46,27.2,68.0,45,21,4.78,16.3,1.43,17.19,70.45
828,臺南市,2015/01/03,安南,3.1,0.47,30.3,79.0,35,24,5.2,18.37,1.52,16.63,72.14
829,臺南市,2015/01/03,臺南,3.7,0.68,28.2,75.0,38,30,5.45,24.84,1.73,17.0,66.93
830,臺南市,2015/01/02,新營,3.3,0.4,28.2,79.0,33,19,2.17,16.85,1.9,14.88,62.36
831,臺南市,2015/01/02,善化,3.4,0.42,28.4,72.0,37,17,2.36,14.96,2.02,16.49,64.72
832,臺南市,2015/01/02,安南,2.7,0.38,31.6,75.0,30,17,3.66,13.36,1.85,15.16,67.16
833,臺南市,2015/01/02,臺南,3.1,0.51,28.2,72.0,33,23,3.21,20.26,1.91,15.38,63.13
834,臺南市,2015/01/01,新營,4.1,0.6,27.2,135.0,55,26,6.06,20.17,2.3,15.33,66.13
835,臺南市,2015/01/01,善化,4.2,0.57,26.3,117.0,55,22,4.76,16.91,2.63,16.72,68.19
836,臺南市,2015/01/01,安南,3.6,0.6,31.0,135.0,60,25,6.41,18.53,2.45,15.83,70.43
837,臺南市,2015/01/01,臺南,4.5,0.72,29.7,122.0,59,27,3.89,23.41,2.17,16.43,64.47
838,高雄市,2015/01/31,左營,3.7,0.53,27.4,88.0,34,21,2.77,18.7,2.83,17.49,74.06
839,高雄市,2015/01/31,楠梓,2.5,0.5,26.1,94.0,32,22,3.12,18.95,2.65,17.69,74.33
840,高雄市,2015/01/31,前金,3.3,0.59,27.9,92.0,34,23,2.91,19.63,2.66,17.71,72.91
841,高雄市,2015/01/31,前鎮,4.2,0.61,22.5,89.0,32,29,5.03,24.07,1.95,18.15,72.42
842,高雄市,2015/01/31,復興,3.2,0.78,17.7,90.0,39,32,5.39,26.29,0.94,18.26,70.85
843,高雄市,2015/01/31,小港,4.6,0.64,22.7,93.0,39,36,8.51,27.35,2.05,18.6,71.09
844,高雄市,2015/01/31,鳳山,-,-,-,-,-,-,-,-,-,-,-
845,高雄市,2015/01/31,林園,6.9,0.55,27.9,63.0,35,30,5.63,24.26,2.56,18.49,72.16
846,高雄市,2015/01/31,大寮,6.3,0.56,22.2,82.0,38,29,4.02,25.33,1.74,18.33,71.1
847,高雄市,2015/01/31,仁武,3.4,0.54,23.3,-,31,27,3.77,23.59,2.02,17.67,71.71
848,高雄市,2015/01/31,橋頭,3.2,0.54,26.9,74.0,35,22,3.48,18.09,2.57,17.65,71.26
