序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
527,新北市,1998/11/02,土城,1.4,0.65,29.9,-,36,-,20.92,1.63,19.29,-,-,-,25.05,-,-,36.0,-
528,新北市,1998/11/02,林口,1.1,0.34,33.8,-,34,-,17.2,1.13,16.07,-,-,-,21.55,-,-,41.0,-
529,新北市,1998/11/02,萬里,0.8,0.24,45.4,-,38,-,6.21,1.03,5.17,2.11,0.03,2.08,23.26,-,-,48.0,-
530,新北市,1998/11/01,板橋,1.4,0.74,22.3,-,38,-,33.31,4.52,28.79,2.103,0.35,1.76,24.45,-,-,38.0,-
531,新北市,1998/11/01,三重,1.9,1.63,-,-,43,42,82.65,45.38,37.27,-,-,-,24.06,-,-,43.0,-
532,新北市,1998/11/01,菜寮,1.2,0.67,28.8,-,39,-,21.09,1.16,19.93,-,-,-,24.21,-,-,39.0,-
533,新北市,1998/11/01,永和,1.8,0.65,-,-,45,-,42.31,16.01,26.29,2.481,0.44,2.04,26.78,-,-,45.0,-
534,新北市,1998/11/01,新莊,0.9,0.58,33.7,-,30,-,21.38,0.27,21.1,-,-,-,24.58,-,-,43.0,-
535,新北市,1998/11/01,新店,1.9,0.43,38.2,-,38,-,16.25,0.57,15.68,-,-,-,23.8,-,-,39.0,-
536,新北市,1998/11/01,淡水,0.2,0.44,47.9,-,30,-,5.63,0.37,5.26,-,-,-,23.62,-,75.0,43.0,-
537,新北市,1998/11/01,汐止,3.3,0.8,20.5,-,48,-,39.22,9.06,30.16,-,-,-,23.12,-,-,48.0,-
538,新北市,1998/11/01,土城,1.0,0.6,31.0,-,31,-,18.08,1.31,16.77,-,-,-,24.56,-,-,32.0,-
539,新北市,1998/11/01,林口,0.3,0.27,38.1,-,25,-,11.2,0.35,10.85,-,-,-,21.44,-,-,39.0,-
540,新北市,1998/11/01,萬里,0.5,0.18,56.6,-,62,-,2.21,0.14,2.08,1.929,0.0,1.92,23.65,-,-,56.0,-
541,臺中市,1998/11/30,西屯,7.6,1.18,10.8,-,135,-,57.09,16.52,40.57,-,-,-,24.83,-,-,93.0,-
542,臺中市,1998/11/30,忠明,6.4,1.67,14.4,-,107,-,80.56,22.27,58.3,-,-,-,25.01,-,-,78.0,-
543,臺中市,1998/11/30,豐原,4.1,1.37,15.0,-,-,-,52.13,11.85,40.28,-,-,-,23.76,-,-,41.0,-
544,臺中市,1998/11/30,沙鹿,-,2.44,-,-,88,-,-,-,-,-,-,-,24.15,-,-,69.0,-
545,臺中市,1998/11/30,大里,6.4,1.5,15.5,-,153,-,68.45,21.9,46.56,-,-,-,24.83,-,-,101.0,-
546,臺中市,1998/11/29,西屯,4.2,0.82,22.7,-,89,-,40.15,10.75,29.4,-,-,-,23.72,-,-,69.0,-
547,臺中市,1998/11/29,忠明,5.8,1.28,30.8,-,80,-,66.62,18.58,48.04,-,-,-,23.66,-,-,73.0,-
548,臺中市,1998/11/29,豐原,4.3,1.13,22.9,-,-,-,49.83,12.8,37.03,-,-,-,22.53,-,-,73.0,-
549,臺中市,1998/11/29,沙鹿,-,1.47,-,-,61,-,-,-,-,-,-,-,23.07,-,-,55.0,-
550,臺中市,1998/11/29,大里,5.5,1.22,25.5,-,110,-,57.54,17.2,40.35,-,-,-,23.35,-,-,80.0,-
551,臺中市,1998/11/28,西屯,2.1,0.48,19.9,-,37,-,19.97,2.18,17.79,2.248,0.18,2.07,21.72,-,-,37.0,-
552,臺中市,1998/11/28,忠明,2.4,0.75,21.5,-,37,-,33.89,6.23,27.66,-,-,-,22.18,-,-,37.0,-
553,臺中市,1998/11/28,豐原,1.7,0.7,16.3,-,-,-,29.19,4.89,24.29,-,-,-,20.72,-,-,26.0,-
554,臺中市,1998/11/28,沙鹿,-,0.63,-,-,36,-,-,-,-,-,-,-,22.18,-,-,36.0,-
555,臺中市,1998/11/28,大里,2.2,0.9,14.7,-,48,-,36.15,8.25,27.9,-,-,-,22.62,-,-,48.0,-
556,臺中市,1998/11/27,西屯,4.1,0.55,9.5,-,94,-,31.35,8.0,23.35,2.44,0.38,2.06,24.46,-,-,72.0,-
557,臺中市,1998/11/27,忠明,5.2,0.86,15.1,-,85,-,43.33,10.47,32.86,-,-,-,24.85,-,-,67.0,-
558,臺中市,1998/11/27,豐原,4.1,0.87,9.2,-,169,-,41.63,11.32,30.31,-,-,-,23.43,-,-,109.0,-
559,臺中市,1998/11/27,沙鹿,-,0.9,-,-,53,-,-,-,-,-,-,-,24.66,-,-,52.0,-
560,臺中市,1998/11/27,大里,3.2,0.92,9.5,-,121,-,39.56,12.15,27.41,-,-,-,24.8,-,-,85.0,-
561,臺中市,1998/11/26,西屯,10.2,1.46,17.9,-,109,-,102.2,45.06,49.17,3.791,0.91,2.88,25.23,-,-,80.0,-
562,臺中市,1998/11/26,忠明,11.5,2.17,25.2,-,123,-,123.38,54.41,68.97,-,-,-,25.12,-,-,86.0,-
563,臺中市,1998/11/26,豐原,9.5,2.14,31.8,-,230,-,84.79,19.24,65.55,-,-,-,24.31,-,-,140.0,-
564,臺中市,1998/11/26,沙鹿,-,2.46,-,-,79,-,-,-,-,-,-,-,24.69,-,-,64.0,-
565,臺中市,1998/11/26,大里,10.4,1.6,22.8,-,171,-,70.0,22.27,47.73,-,-,-,24.48,-,-,111.0,-
566,臺中市,1998/11/25,西屯,5.1,1.03,21.9,-,91,-,59.74,25.27,34.47,2.867,0.68,2.19,23.97,-,-,71.0,-
567,臺中市,1998/11/25,忠明,5.9,1.63,-,-,95,-,77.96,24.74,53.22,-,-,-,23.88,-,-,108.0,-
568,臺中市,1998/11/25,豐原,3.9,1.24,24.8,-,95,-,51.81,15.49,36.32,-,-,-,22.85,-,-,87.0,-
569,臺中市,1998/11/25,沙鹿,-,1.23,-,-,54,-,-,-,-,-,-,-,23.7,-,-,52.0,-
570,臺中市,1998/11/25,大里,5.1,1.33,26.0,-,119,-,62.01,18.22,43.79,-,-,-,23.37,-,-,98.0,-
571,臺中市,1998/11/24,西屯,1.5,0.39,24.5,-,26,-,15.62,1.36,14.27,2.24,0.19,2.05,22.57,-,-,33.0,-
572,臺中市,1998/11/24,忠明,2.2,0.63,-,-,28,-,30.92,3.49,27.43,-,-,-,22.73,-,-,28.0,-
573,臺中市,1998/11/24,豐原,2.0,0.59,17.9,-,28,-,31.12,4.79,26.33,-,-,-,21.56,-,-,32.0,-
574,臺中市,1998/11/24,沙鹿,-,0.58,7.5,-,25,-,-,-,-,-,-,-,22.64,-,-,44.0,-
575,臺中市,1998/11/24,大里,2.1,0.58,17.5,-,46,-,31.23,2.65,28.58,-,-,-,23.21,-,-,46.0,-
576,臺中市,1998/11/23,西屯,1.6,0.51,26.2,-,48,-,19.49,1.41,18.09,2.102,0.17,1.92,22.35,-,-,50.0,-
577,臺中市,1998/11/23,忠明,2.9,0.76,-,-,37,-,33.5,3.89,29.61,-,-,-,22.5,-,-,60.0,-
578,臺中市,1998/11/23,豐原,2.5,0.72,21.2,-,45,-,33.77,5.03,28.74,-,-,-,21.47,-,-,49.0,-
579,臺中市,1998/11/23,沙鹿,-,0.74,8.5,-,38,-,-,-,-,-,-,-,22.14,-,-,50.0,-
580,臺中市,1998/11/23,大里,2.7,0.82,21.4,-,69,-,38.69,5.58,33.11,-,-,-,22.73,-,-,65.0,-
581,臺中市,1998/11/22,西屯,0.5,0.29,30.5,-,29,-,11.48,0.9,10.58,1.992,0.02,1.97,21.33,-,-,32.0,-
582,臺中市,1998/11/22,忠明,1.2,0.48,-,-,20,-,19.77,1.64,18.13,-,-,-,21.8,-,-,21.0,-
583,臺中市,1998/11/22,豐原,0.9,0.48,26.0,-,20,-,22.12,2.3,19.82,-,-,-,20.58,-,-,31.0,-
584,臺中市,1998/11/22,沙鹿,-,0.43,17.7,-,24,-,-,-,-,-,-,-,21.69,-,-,24.0,-
585,臺中市,1998/11/22,大里,0.7,0.4,24.2,-,31,-,19.9,1.17,18.74,-,-,-,22.42,-,-,37.0,-
586,臺中市,1998/11/21,西屯,1.3,0.43,18.7,-,41,-,18.15,2.36,15.78,2.29,0.2,2.09,22.2,-,-,41.0,-
587,臺中市,1998/11/21,忠明,2.3,0.73,-,-,34,-,35.87,8.56,27.31,-,-,-,22.48,-,-,34.0,-
588,臺中市,1998/11/21,豐原,1.7,0.69,14.6,-,47,-,31.61,6.24,25.37,-,-,-,21.4,-,-,47.0,-
589,臺中市,1998/11/21,沙鹿,-,0.62,6.9,-,28,-,-,-,-,-,-,-,22.26,-,-,50.0,-
590,臺中市,1998/11/21,大里,2.4,0.84,13.1,-,61,-,43.44,12.85,30.6,-,-,-,22.57,-,-,56.0,-
591,臺中市,1998/11/20,西屯,2.1,0.49,19.6,-,35,-,22.9,2.75,20.15,2.429,0.28,2.15,22.82,-,-,43.0,-
592,臺中市,1998/11/20,忠明,3.4,0.89,-,-,32,-,47.84,15.73,32.11,-,-,-,23.13,-,-,26.0,-
593,臺中市,1998/11/20,豐原,2.0,0.87,15.2,-,38,-,40.27,11.58,28.69,-,-,-,22.16,-,-,46.0,-
594,臺中市,1998/11/20,沙鹿,-,0.76,5.7,-,32,-,-,-,-,-,-,-,22.68,-,-,53.0,-
595,臺中市,1998/11/20,大里,3.3,1.02,19.4,-,82,-,48.77,14.15,34.62,-,-,-,23.26,-,-,74.0,-
596,臺中市,1998/11/19,西屯,3.3,0.5,16.7,-,43,-,25.45,4.67,20.77,2.285,0.19,2.09,23.24,-,-,43.0,-
597,臺中市,1998/11/19,忠明,4.0,0.75,-,-,33,-,41.55,11.83,29.73,-,-,-,23.47,-,-,33.0,-
598,臺中市,1998/11/19,豐原,2.7,0.79,11.7,-,36,-,41.31,12.58,28.73,-,-,-,22.27,-,-,40.0,-
599,臺中市,1998/11/19,沙鹿,-,0.68,5.7,-,-,-,-,-,-,-,-,-,22.82,-,-,51.0,-
600,臺中市,1998/11/19,大里,3.7,0.87,16.6,-,78,-,46.45,14.41,32.04,-,-,-,24.02,-,-,64.0,-
601,臺中市,1998/11/18,西屯,2.4,0.69,15.0,-,63,-,35.45,9.75,25.7,2.649,0.48,2.17,21.82,-,-,57.0,-
602,臺中市,1998/11/18,忠明,4.1,1.14,-,-,49,-,64.46,23.39,41.07,-,-,-,22.33,-,-,49.0,-
603,臺中市,1998/11/18,豐原,3.4,1.1,10.6,-,55,-,54.39,19.4,34.99,-,-,-,21.16,-,-,52.0,-
604,臺中市,1998/11/18,沙鹿,-,0.96,5.1,-,-,-,-,-,-,-,-,-,21.83,-,-,57.0,-
605,臺中市,1998/11/18,大里,5.4,1.39,12.0,-,76,-,72.55,29.38,43.17,-,-,-,22.1,-,-,63.0,-
606,臺中市,1998/11/17,西屯,3.7,0.87,22.6,-,111,-,34.31,13.16,21.15,2.648,0.55,2.16,23.44,-,-,80.0,-
607,臺中市,1998/11/17,忠明,5.5,1.16,-,-,66,-,56.04,21.0,35.03,-,-,-,24.37,-,-,58.0,-
608,臺中市,1998/11/17,豐原,3.8,0.9,-,-,48,-,35.51,8.59,26.92,-,-,-,23.04,-,-,48.0,-
609,臺中市,1998/11/17,沙鹿,-,1.47,10.2,-,101,-,-,-,-,-,-,-,23.62,-,-,76.0,-
610,臺中市,1998/11/17,大里,5.0,1.03,14.0,-,79,-,40.56,9.62,30.93,-,-,-,24.52,-,-,64.0,-
611,臺中市,1998/11/16,西屯,8.9,-,21.3,-,122,-,57.15,14.57,42.58,2.78,0.57,2.21,26.62,-,-,86.0,-
612,臺中市,1998/11/16,忠明,10.2,1.72,35.2,-,109,-,82.57,19.4,63.16,-,-,-,26.61,-,-,79.0,-
613,臺中市,1998/11/16,豐原,7.4,1.2,-,-,131,-,54.38,10.7,43.68,-,-,-,25.33,-,-,90.0,-
614,臺中市,1998/11/16,沙鹿,-,2.35,5.6,-,116,-,-,-,-,-,-,-,25.48,-,-,83.0,-
615,臺中市,1998/11/16,大里,-,1.32,26.6,-,172,-,53.11,8.88,44.23,-,-,-,26.01,-,-,111.0,-
616,臺中市,1998/11/15,西屯,4.2,-,21.4,-,100,-,41.53,16.37,25.16,2.414,0.44,1.97,25.73,-,-,75.0,-
617,臺中市,1998/11/15,忠明,4.1,1.36,54.3,-,104,-,58.66,19.64,39.02,-,-,-,25.7,-,-,112.0,-
618,臺中市,1998/11/15,豐原,4.4,0.77,30.7,-,117,-,41.8,6.76,35.04,-,-,-,24.63,-,-,88.0,-
619,臺中市,1998/11/15,沙鹿,6.2,1.13,28.6,-,122,-,-,-,-,-,-,-,25.08,-,-,86.0,-
620,臺中市,1998/11/15,大里,-,1.18,36.2,-,133,-,45.79,7.9,37.89,-,-,-,25.49,-,-,103.0,-
621,臺中市,1998/11/14,西屯,6.1,-,22.0,-,118,-,40.45,10.99,29.46,2.369,0.48,1.89,24.02,-,-,84.0,-
622,臺中市,1998/11/14,忠明,7.1,1.49,33.7,-,94,-,71.83,23.33,48.5,-,-,-,24.41,-,-,84.0,-
623,臺中市,1998/11/14,豐原,4.5,1.14,28.8,-,96,-,47.0,6.79,40.21,-,-,-,23.51,-,-,73.0,-
624,臺中市,1998/11/14,沙鹿,11.7,0.89,16.1,-,85,-,-,-,-,-,-,-,23.87,-,-,67.0,-
625,臺中市,1998/11/14,大里,-,1.34,26.6,-,148,-,57.48,12.22,45.26,-,-,-,24.06,-,-,99.0,-
626,臺中市,1998/11/13,西屯,6.4,1.17,30.1,-,128,-,62.95,20.12,42.83,3.585,0.62,2.96,22.82,-,-,89.0,-
627,臺中市,1998/11/13,忠明,7.6,1.92,44.5,-,96,-,101.33,41.86,59.47,-,-,-,23.47,-,-,104.0,-
628,臺中市,1998/11/13,豐原,6.7,-,36.7,-,115,-,60.19,8.4,51.78,-,-,-,22.24,-,-,86.0,-
629,臺中市,1998/11/13,沙鹿,9.8,1.08,29.3,-,118,-,-,-,-,-,-,-,22.66,-,-,84.0,-
630,臺中市,1998/11/13,大里,-,1.33,32.1,-,135,-,56.76,12.02,44.73,-,-,-,22.88,-,-,96.0,-
631,臺中市,1998/11/12,西屯,4.4,0.76,26.7,-,51,-,48.49,15.47,33.02,3.132,0.64,2.49,22.09,-,-,71.0,-
632,臺中市,1998/11/12,忠明,4.9,1.14,30.0,-,51,-,69.74,24.99,44.75,-,-,-,22.13,-,-,84.0,-
633,臺中市,1998/11/12,豐原,3.5,-,25.2,-,58,-,43.43,6.61,36.82,-,-,-,21.42,-,-,66.0,-
634,臺中市,1998/11/12,沙鹿,8.5,0.81,19.3,-,80,-,40.17,10.32,29.86,-,-,-,21.53,-,-,65.0,-
635,臺中市,1998/11/12,大里,-,1.08,31.3,-,94,-,54.41,15.91,38.5,-,-,-,21.66,-,-,97.0,-
636,臺中市,1998/11/11,西屯,1.8,0.42,27.1,-,36,-,21.53,1.78,19.63,2.586,0.33,2.26,21.06,-,-,48.0,-
637,臺中市,1998/11/11,忠明,3.0,0.69,21.0,-,36,-,41.22,8.09,33.13,-,-,-,21.57,-,-,50.0,-
638,臺中市,1998/11/11,豐原,1.7,-,22.5,-,39,-,33.59,6.62,26.97,-,-,-,20.37,-,-,42.0,-
639,臺中市,1998/11/11,沙鹿,8.3,0.52,24.2,-,38,-,26.95,3.11,23.84,-,-,-,21.68,-,-,41.0,-
640,臺中市,1998/11/11,大里,-,0.85,17.4,-,54,-,45.08,11.85,33.23,-,-,-,21.64,-,-,52.0,-
641,臺中市,1998/11/10,西屯,2.6,0.47,36.2,-,68,-,19.63,1.34,18.29,2.489,0.26,2.23,22.06,-,-,59.0,-
642,臺中市,1998/11/10,忠明,3.1,0.68,23.9,-,42,-,37.37,4.7,32.67,-,-,-,22.42,-,-,58.0,-
643,臺中市,1998/11/10,豐原,2.0,-,29.4,-,52,-,28.36,3.73,24.63,-,-,-,21.09,-,-,51.0,-
644,臺中市,1998/11/10,沙鹿,7.1,0.53,41.3,-,77,-,21.3,1.35,19.04,-,-,-,22.64,-,-,64.0,-
645,臺中市,1998/11/10,大里,-,0.92,26.0,-,77,-,42.74,8.17,34.57,-,-,-,22.42,-,-,90.0,-
646,臺中市,1998/11/09,西屯,4.6,0.4,32.9,-,43,-,18.51,0.94,17.57,2.433,0.21,2.22,22.4,-,-,43.0,-
647,臺中市,1998/11/09,忠明,2.3,0.66,27.7,-,46,-,30.97,2.16,28.81,-,-,-,22.92,-,-,46.0,-
648,臺中市,1998/11/09,豐原,2.2,-,28.4,-,77,-,32.91,3.46,29.45,-,-,-,21.62,-,-,63.0,-
649,臺中市,1998/11/09,沙鹿,6.9,0.53,35.8,-,67,-,19.68,1.1,18.67,-,-,-,23.0,-,-,59.0,-
650,臺中市,1998/11/09,大里,-,0.81,25.5,-,93,-,28.4,2.52,25.87,-,-,-,23.11,-,-,72.0,-
651,臺中市,1998/11/08,西屯,4.8,0.98,31.8,-,28,-,53.11,21.59,31.52,3.366,0.45,2.92,23.51,-,-,71.0,-
652,臺中市,1998/11/08,忠明,4.8,1.31,34.7,-,80,-,69.19,30.39,38.8,-,-,-,23.78,-,-,78.0,-
653,臺中市,1998/11/08,豐原,3.4,1.05,36.4,-,90,-,40.57,6.16,34.41,-,-,-,22.99,-,-,87.0,-
654,臺中市,1998/11/08,沙鹿,4.1,0.98,31.5,-,99,-,33.49,7.7,25.78,-,-,-,23.19,-,-,75.0,-
655,臺中市,1998/11/08,大里,4.9,1.21,28.9,-,119,-,51.93,14.94,36.99,-,-,-,23.26,-,-,85.0,-
656,臺中市,1998/11/07,西屯,1.8,0.33,34.7,-,19,-,18.3,0.9,17.4,2.479,0.16,2.32,22.25,-,-,52.0,-
657,臺中市,1998/11/07,忠明,2.4,0.61,27.4,-,34,-,34.25,5.61,28.63,-,-,-,22.73,-,-,47.0,-
658,臺中市,1998/11/07,豐原,2.0,0.67,27.1,-,40,-,32.08,4.93,27.16,-,-,-,21.49,-,-,44.0,-
659,臺中市,1998/11/07,沙鹿,6.9,0.48,30.4,-,56,-,23.38,2.41,20.97,-,-,-,22.68,-,-,53.0,-
660,臺中市,1998/11/07,大里,2.9,0.71,25.6,-,47,-,32.92,5.69,27.23,-,-,-,23.16,-,-,48.0,-
661,臺中市,1998/11/06,西屯,1.9,0.47,32.2,-,40,-,19.53,1.51,18.02,2.438,0.16,2.28,22.07,-,-,48.0,-
662,臺中市,1998/11/06,忠明,2.0,0.65,27.5,-,36,-,30.73,2.23,28.5,-,-,-,22.59,-,-,46.0,-
663,臺中市,1998/11/06,豐原,1.9,0.73,27.2,-,59,-,30.62,3.49,27.13,-,-,-,21.24,-,-,55.0,-
664,臺中市,1998/11/06,沙鹿,7.4,0.48,31.6,-,58,-,22.27,1.94,20.32,-,-,-,22.72,-,-,54.0,-
665,臺中市,1998/11/06,大里,2.3,0.78,22.9,-,74,-,29.12,1.6,27.52,-,-,-,23.16,-,-,62.0,-
666,臺中市,1998/11/05,西屯,1.2,0.48,29.7,-,80,-,17.96,1.41,16.56,2.292,0.17,2.12,23.38,-,-,65.0,-
667,臺中市,1998/11/05,忠明,1.3,0.68,25.1,-,42,-,27.82,1.8,26.02,-,-,-,23.93,-,-,42.0,-
668,臺中市,1998/11/05,豐原,1.0,0.75,30.4,-,66,-,22.5,1.67,20.84,-,-,-,22.68,-,-,58.0,-
669,臺中市,1998/11/05,沙鹿,5.0,0.57,32.1,-,85,-,20.53,1.64,19.23,-,-,-,24.05,-,-,67.0,-
670,臺中市,1998/11/05,大里,1.6,0.88,19.0,-,80,-,32.42,5.29,27.12,-,-,-,24.03,-,-,65.0,-
671,臺中市,1998/11/04,西屯,3.2,0.61,14.9,-,48,-,38.19,16.71,21.49,2.737,0.39,2.35,25.23,-,-,48.0,-
672,臺中市,1998/11/04,忠明,3.2,0.9,12.2,-,43,-,49.86,18.18,31.68,-,-,-,25.63,-,-,43.0,-
673,臺中市,1998/11/04,豐原,3.5,0.96,13.4,-,64,-,46.59,17.55,29.04,-,-,-,24.29,-,-,57.0,-
674,臺中市,1998/11/04,沙鹿,7.3,0.61,11.2,-,47,-,-,-,-,-,-,-,25.54,-,-,47.0,-
675,臺中市,1998/11/04,大里,1.1,1.08,13.8,-,82,-,49.53,17.94,31.59,-,-,-,25.65,-,-,66.0,-
676,臺中市,1998/11/03,西屯,4.3,0.74,21.8,-,69,-,42.24,12.6,29.64,2.888,0.44,2.45,25.4,-,-,64.0,-
677,臺中市,1998/11/03,忠明,3.4,1.11,24.5,-,62,-,61.54,23.04,38.51,-,-,-,25.39,-,-,80.0,-
678,臺中市,1998/11/03,豐原,3.6,1.08,23.0,-,72,-,50.02,16.28,33.73,-,-,-,24.3,-,-,64.0,-
679,臺中市,1998/11/03,沙鹿,9.4,0.65,16.4,-,58,-,-,-,30.88,-,-,-,24.85,-,-,54.0,-
680,臺中市,1998/11/03,大里,2.5,1.12,25.6,-,102,-,50.56,13.08,37.48,-,-,-,25.24,-,-,82.0,-
681,臺中市,1998/11/02,西屯,2.6,0.62,21.8,-,67,-,34.67,10.81,23.86,2.846,0.56,2.28,23.99,-,-,59.0,-
682,臺中市,1998/11/02,忠明,2.7,0.9,22.0,-,43,-,46.86,15.2,31.65,-,-,-,24.36,-,-,58.0,-
683,臺中市,1998/11/02,豐原,3.1,0.84,21.5,-,56,-,34.53,8.34,26.2,-,-,-,23.33,-,-,53.0,-
684,臺中市,1998/11/02,沙鹿,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
685,臺中市,1998/11/02,大里,2.1,0.95,14.9,-,76,-,47.61,13.37,34.24,-,-,-,24.18,-,-,63.0,-
686,臺中市,1998/11/01,西屯,1.0,0.45,26.2,-,49,-,15.38,1.21,14.17,2.349,0.12,2.23,24.57,-,-,49.0,-
687,臺中市,1998/11/01,忠明,1.3,0.72,21.2,-,41,-,29.48,5.05,24.43,-,-,-,25.04,-,-,51.0,-
688,臺中市,1998/11/01,豐原,1.5,0.71,21.6,-,42,-,25.8,4.5,21.29,-,-,-,23.99,-,-,47.0,-
689,臺中市,1998/11/01,沙鹿,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
690,臺中市,1998/11/01,大里,1.4,0.9,19.3,-,59,-,35.67,10.25,25.41,-,-,-,25.43,-,-,55.0,-
691,臺南市,1998/11/30,新營,2.9,0.65,23.0,-,82,-,34.18,7.64,26.53,2.989,0.51,2.48,25.71,-,-,66.0,-
692,臺南市,1998/11/30,善化,3.9,0.59,25.4,-,79,-,21.51,3.78,17.73,-,-,-,24.81,-,-,65.0,-
693,臺南市,1998/11/30,安南,5.8,0.78,29.9,-,80,-,33.77,9.45,24.32,-,-,-,24.38,-,-,65.0,-
694,臺南市,1998/11/30,臺南,10.9,1.11,26.1,-,131,-,41.97,10.48,31.49,3.567,1.27,2.29,24.37,-,-,91.0,-
695,臺南市,1998/11/29,新營,4.7,0.62,28.8,-,82,-,34.62,6.57,28.05,2.849,0.33,2.52,24.08,-,-,66.0,-
696,臺南市,1998/11/29,善化,4.8,0.69,27.2,-,81,-,29.02,7.65,21.37,-,-,-,23.63,-,-,75.0,-
697,臺南市,1998/11/29,安南,6.1,0.72,33.9,-,68,-,33.18,8.33,24.85,-,-,-,23.1,-,-,76.0,-
698,臺南市,1998/11/29,臺南,8.5,1.17,22.3,-,98,-,47.22,15.23,32.0,2.793,0.44,2.35,23.03,-,-,74.0,-
699,臺南市,1998/11/28,新營,3.6,0.5,22.5,-,63,-,24.98,2.49,22.49,2.412,0.08,2.33,23.62,-,-,57.0,-
700,臺南市,1998/11/28,善化,5.1,0.6,22.6,-,76,-,24.12,3.82,20.3,-,-,-,23.72,-,-,63.0,-
701,臺南市,1998/11/28,安南,5.6,0.63,24.1,-,61,-,26.81,3.07,23.74,-,-,-,23.19,-,-,56.0,-
702,臺南市,1998/11/28,臺南,7.2,1.06,16.8,-,98,-,40.98,9.84,31.14,2.629,0.48,2.14,23.03,-,-,74.0,-
703,臺南市,1998/11/27,新營,3.9,0.4,15.8,-,70,-,30.63,7.74,22.89,2.597,0.27,2.33,24.92,-,-,60.0,-
704,臺南市,1998/11/27,善化,3.8,0.45,16.0,-,65,-,21.68,4.3,17.38,-,-,-,24.6,-,-,57.0,-
705,臺南市,1998/11/27,安南,4.5,0.45,21.3,-,53,-,22.6,5.22,17.38,-,-,-,24.22,-,-,52.0,-
706,臺南市,1998/11/27,臺南,6.4,0.92,14.4,-,102,-,34.76,9.77,24.99,2.667,0.51,2.16,24.07,-,-,76.0,-
707,臺南市,1998/11/26,新營,5.3,0.53,19.7,-,90,-,40.15,8.78,31.37,2.86,0.32,2.54,24.39,-,-,70.0,-
708,臺南市,1998/11/26,善化,5.2,0.5,17.1,-,70,-,27.66,5.98,21.68,-,-,-,24.32,-,-,68.0,-
709,臺南市,1998/11/26,安南,7.1,0.5,33.1,-,69,-,24.7,3.97,20.73,-,-,-,23.69,-,-,72.0,-
710,臺南市,1998/11/26,臺南,9.2,1.2,23.0,-,113,-,46.84,12.78,34.05,3.013,0.7,2.31,23.62,-,-,82.0,-
711,臺南市,1998/11/25,新營,4.4,0.43,23.9,-,66,-,33.18,3.58,29.59,2.51,0.16,2.35,23.96,-,-,62.0,-
712,臺南市,1998/11/25,善化,6.6,0.58,20.9,-,70,-,26.3,2.67,23.63,-,-,-,23.67,-,-,67.0,-
713,臺南市,1998/11/25,安南,6.6,0.59,24.0,-,62,-,30.73,4.06,26.67,-,-,-,22.96,-,-,62.0,-
714,臺南市,1998/11/25,臺南,7.7,1.16,16.8,-,105,-,44.57,7.7,36.87,2.8,0.72,2.08,22.66,-,-,77.0,-
715,臺南市,1998/11/24,新營,4.3,0.37,19.9,-,64,-,28.24,2.06,26.18,2.429,0.26,2.17,23.62,-,-,57.0,-
716,臺南市,1998/11/24,善化,5.9,0.53,21.9,-,82,-,23.88,2.3,21.58,-,-,-,23.55,-,-,66.0,-
717,臺南市,1998/11/24,安南,5.0,0.5,22.5,-,54,-,26.3,2.09,24.21,-,-,-,22.95,-,-,52.0,-
718,臺南市,1998/11/24,臺南,6.3,0.97,15.0,-,94,-,37.69,6.64,31.05,2.605,0.49,2.12,22.64,-,-,72.0,-
719,臺南市,1998/11/23,新營,5.9,0.47,27.1,-,67,-,26.17,2.98,23.19,2.42,0.2,2.22,23.54,-,-,60.0,-
720,臺南市,1998/11/23,善化,5.8,0.49,29.8,-,74,-,22.13,1.67,20.46,-,-,-,23.31,-,-,66.0,-
721,臺南市,1998/11/23,安南,5.2,0.58,31.3,-,58,-,24.06,1.93,22.13,-,-,-,22.67,-,-,68.0,-
722,臺南市,1998/11/23,臺南,7.3,0.96,24.2,-,91,-,35.26,6.94,28.32,2.649,0.39,2.26,22.44,-,-,71.0,-
723,臺南市,1998/11/22,新營,3.0,0.3,28.4,-,55,-,17.27,0.88,16.38,2.31,0.09,2.23,23.08,-,-,53.0,-
724,臺南市,1998/11/22,善化,3.3,0.35,29.6,-,63,-,14.49,0.65,13.83,-,-,-,22.98,-,-,60.0,-
725,臺南市,1998/11/22,安南,3.0,0.41,32.4,-,58,-,16.13,0.64,15.48,-,-,-,22.34,-,-,54.0,-
726,臺南市,1998/11/22,臺南,4.0,0.67,23.0,-,78,-,25.21,3.06,22.14,2.322,0.19,2.15,22.16,-,-,64.0,-
