序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
24,臺北市,2017/08/02,中山,3.4,0.88,-,18.8,45,16,39.92,10.38,29.54,2.27,0.312,1.958,0.69,0.25,29.41,-,-,69.81,-
25,臺北市,2017/08/02,大同,4.1,1.93,-,-,54,11,80.53,47.06,33.47,2.86,0.64,2.22,-,-,-,-,-,-,-
26,臺北市,2017/08/02,萬華,3.2,1.02,-,16.7,36,18,48.39,16.11,32.28,-,-,-,0.86,0.4,30.2,-,-,77.04,-
27,臺北市,2017/08/02,陽明,2.8,0.18,419.03,35.2,18,14,4.49,1.05,3.43,-,-,-,2.15,-,23.09,2.75,4.1,93.21,66.85
28,臺北市,2017/08/02,士林,3,0.53,-,24.5,36,16,26.67,4.08,22.57,-,-,-,1.51,1.11,28.78,-,-,81.95,-
29,臺北市,2017/08/01,松山,5.1,0.53,438.44,21.7,25,14,28.83,6.29,22.55,2.093,0.202,1.891,0.95,0.96,29.65,-,-,68.37,-
30,臺北市,2017/08/01,古亭,3.1,0.54,-,25.4,26,13,27.93,6.37,21.57,2.134,0.186,1.948,1.58,1.24,30.23,-,-,69.91,-
31,臺北市,2017/08/01,中山,4.6,0.85,-,16.2,35,15,41.93,11.78,30.15,2.161,0.264,1.897,0.65,0.22,30.59,-,-,66.22,-
32,臺北市,2017/08/01,大同,6.5,1.5,-,-,46,12,70.94,35.55,35.39,2.559,0.486,2.073,-,-,-,-,-,-,-
33,臺北市,2017/08/01,萬華,3.6,1.01,-,18.9,34,15,49.92,17.92,31.99,-,-,-,0.92,0.37,31.16,-,-,66,-
34,臺北市,2017/08/01,陽明,3.5,0.16,410.37,37.1,14,11,3.52,1.14,2.41,-,-,-,1.25,-,23.51,0,0,85.92,0
35,臺北市,2017/08/01,士林,4.8,0.48,-,28.4,31,13,24.01,5.19,18.82,-,-,-,1.28,0.93,29.45,-,-,72.72,-
36,新北市,2017/08/05,板橋,4.6,0.36,-,24.5,42,15,15.3,3.21,12.08,1.995,0.14,1.855,3.03,2.69,31.86,0,0,65.93,0
37,新北市,2017/08/05,三重,-,1.54,-,-,-,-,-,-,-,2.493,0.551,1.943,-,-,33.01,-,-,57.99,-
38,新北市,2017/08/05,菜寮,2.6,0.36,-,26.5,41,17,15.39,2.48,12.91,-,-,-,2.53,1.92,32.86,-,-,64.14,-
39,新北市,2017/08/05,永和,2.9,0.68,-,23,41,20,25.29,9.2,16.08,2.107,0.209,1.898,2.08,1.7,31.68,-,-,65.53,-
40,新北市,2017/08/05,新莊,4.1,0.31,-,26.3,40,14,13.4,2.23,11.18,-,-,-,2.76,2.55,32.11,-,-,61.44,-
41,新北市,2017/08/05,新店,2.1,0.29,-,30.1,43,22,9.67,1.98,7.69,-,-,-,2.31,2.21,32.37,-,-,68.43,-
42,新北市,2017/08/05,淡水,2,0.22,-,20.1,37,19,10.68,1.84,8.84,-,-,-,1.4,-,30.73,-,-,71.29,-
43,新北市,2017/08/05,汐止,1.5,0.43,-,28.2,43,24,18.36,4.25,14.11,-,-,-,2.05,1.54,32.12,-,-,74.35,-
44,新北市,2017/08/05,土城,2.9,0.35,-,25.2,39,16,15.95,3.33,12.62,1.992,0.109,1.883,1.77,1.23,31.5,-,-,71.82,-
45,新北市,2017/08/05,林口,2.2,0.22,-,24,42,16,14.58,2.3,12.28,-,-,-,4,3.75,29.01,-,-,78.74,-
46,新北市,2017/08/05,萬里,4.4,0.27,-,31.6,49,23,12.16,1.77,10.39,-,-,-,2.45,2.08,31.26,0,0,69.05,0
47,新北市,2017/08/04,板橋,3.8,0.52,-,23.6,46,20,26.25,4.05,22.19,2.226,0.299,1.927,1.73,1.36,30.67,0,0,72.61,0
48,新北市,2017/08/04,三重,3.2,1.59,-,-,57,24,95.53,58.71,36.83,2.604,0.579,2.026,-,-,31.08,-,-,67.36,-
49,新北市,2017/08/04,菜寮,3.4,0.67,-,22,44,22,25.63,3.78,21.85,-,-,-,1.5,1.17,31.31,-,-,73.44,-
50,新北市,2017/08/04,永和,2.3,0.97,-,20.3,41,23,34.8,11.12,23.68,2.357,0.354,2.004,1.4,1.02,29.64,-,-,75.58,-
51,新北市,2017/08/04,新莊,4.4,0.54,-,24.9,46,17,23.55,4.78,18.77,-,-,-,1.72,1.43,31.1,-,-,68.3,-
52,新北市,2017/08/04,新店,1.9,0.4,-,31.9,44,25,16.43,2.14,14.3,-,-,-,1.86,1.75,31,-,-,74.74,-
53,新北市,2017/08/04,淡水,3,0.36,-,17,37,19,16.19,2.67,13.52,-,-,-,1.27,-,29.55,-,-,80.92,-
54,新北市,2017/08/04,汐止,2.4,0.57,-,30,46,31,28.32,7.65,20.67,-,-,-,1.33,0.86,30.63,-,-,83.96,-
55,新北市,2017/08/04,土城,2.7,0.44,-,27.4,41,18,22.64,5.58,17.06,2.116,0.193,1.923,1.3,0.89,30.25,-,-,78.45,-
56,新北市,2017/08/04,林口,2.7,0.25,-,25.6,39,18,16.06,2.56,13.51,-,-,-,2.26,2.07,28.76,-,-,80.07,-
57,新北市,2017/08/04,萬里,4.2,0.29,-,39.8,56,32,9.42,1.33,8.06,-,-,-,2.82,2.56,29.46,0,0,79.3,0
58,新北市,2017/08/03,板橋,5.2,0.58,-,26.4,43,17,26.67,4.22,22.45,2.251,0.326,1.925,1.75,1.3,29.85,11.75,3.95,74.69,42.75
59,新北市,2017/08/03,三重,3.7,1.54,-,-,49,18,84.38,47.24,37.14,2.555,0.554,2.001,-,-,30.5,-,-,68.77,-
60,新北市,2017/08/03,菜寮,3.3,0.59,-,27.9,34,17,22.75,3.18,19.56,-,-,-,1.72,1.25,30.46,-,-,76.42,-
61,新北市,2017/08/03,永和,3.3,0.97,-,24.1,34,20,35.87,11.73,24.15,2.236,0.292,1.944,1.56,0.98,29.73,-,-,73.36,-
62,新北市,2017/08/03,新莊,3.9,0.59,-,27.9,38,16,23.84,4.92,18.92,-,-,-,1.79,1.39,30.15,-,-,72.1,-
63,新北市,2017/08/03,新店,2.2,0.37,-,37.4,37,18,14.7,2.36,12.34,-,-,-,1.76,1.75,30.51,-,-,74.7,-
64,新北市,2017/08/03,淡水,2.4,0.54,-,24,38,22,20.18,4.68,15.5,-,-,-,1.03,-,29,-,-,83.08,-
65,新北市,2017/08/03,汐止,5.1,0.58,-,32,41,27,28.62,7.18,21.44,-,-,-,1.43,1.14,30.27,-,-,85.24,-
66,新北市,2017/08/03,土城,3.2,0.51,-,27.4,38,17,25.16,6.47,18.7,2.195,0.246,1.949,1.38,0.92,29.52,-,-,81.63,-
67,新北市,2017/08/03,林口,-,0.42,-,29.4,45,23,-,-,-,-,-,-,1.87,1.52,28.01,-,-,86.29,-
68,新北市,2017/08/03,萬里,4,0.23,-,38.2,49,27,9.06,1.6,7.46,-,-,-,2.76,2.55,29.34,0,0,79.44,0
69,新北市,2017/08/02,板橋,4,0.67,-,25.3,42,17,31.99,5.55,26.44,2.297,0.372,1.926,1.35,1.03,29.43,8,4.22,76.11,22.35
70,新北市,2017/08/02,三重,3.7,1.42,-,-,52,20,92.96,52.68,40.27,2.548,0.534,2.013,-,-,29.87,-,-,71.85,-
71,新北市,2017/08/02,菜寮,3.8,0.67,-,24,37,18,30.84,5.09,25.75,-,-,-,1.48,1.05,30.09,-,-,78.68,-
72,新北市,2017/08/02,永和,2.4,0.88,-,22.1,33,18,33.83,10.09,23.74,2.237,0.296,1.941,1.43,1.02,29.28,-,-,75.15,-
73,新北市,2017/08/02,新莊,4.8,0.71,-,22.4,42,17,34.81,6.86,27.95,-,-,-,1.33,1.11,29.46,-,-,75.89,-
74,新北市,2017/08/02,新店,2.9,0.36,-,30.7,36,16,16.97,2.5,14.47,-,-,-,1.68,1.65,30.05,-,-,75.68,-
75,新北市,2017/08/02,淡水,2.9,0.39,-,21.2,33,20,18.28,2.9,15.37,-,-,-,0.91,-,28.4,-,-,85.67,-
76,新北市,2017/08/02,汐止,6.6,0.5,-,22.5,38,22,30.06,8.46,21.61,-,-,-,1.43,1.06,30.17,-,-,84.42,-
77,新北市,2017/08/02,土城,2.8,0.62,-,27.8,39,20,30.69,8.2,22.49,2.323,0.366,1.957,1.21,0.84,29.21,-,-,81.87,-
78,新北市,2017/08/02,林口,4.5,0.41,-,22.8,43,18,27.58,6.16,21.42,-,-,-,1.52,1.21,27.07,-,-,90,-
79,新北市,2017/08/02,萬里,4.6,0.19,-,28.4,41,21,9.33,2.81,6.52,-,-,-,2.69,2.6,28.93,0,0,79.62,0
80,新北市,2017/08/01,板橋,4.7,0.65,-,29.1,40,15,30.49,6.9,23.59,2.248,0.315,1.933,1.24,1.15,30.58,0,0,65.85,0
81,新北市,2017/08/01,三重,5,1.29,-,-,43,16,79.04,44.04,35.01,2.425,0.436,1.989,-,-,30.84,-,-,61.65,-
82,新北市,2017/08/01,菜寮,3.3,0.57,-,28.7,33,13,25.67,4.68,20.99,-,-,-,1.59,1.33,31.09,-,-,65.98,-
83,新北市,2017/08/01,永和,3.5,0.87,-,24.4,32,14,32.51,10.89,21.62,2.172,0.278,1.894,1.34,1.11,30.58,-,-,65.62,-
84,新北市,2017/08/01,新莊,4.9,0.61,-,30.4,41,13,29.06,6.64,22.43,-,-,-,1.61,1.32,30.57,-,-,63.83,-
85,新北市,2017/08/01,新店,1.7,0.38,-,28.7,30,15,17.19,3.25,13.94,-,-,-,1.71,1.63,31.03,-,-,68.27,-
86,新北市,2017/08/01,淡水,3.1,0.51,-,21.6,34,17,20.45,4.21,16.24,-,-,-,1.09,-,28.59,-,-,78.59,-
87,新北市,2017/08/01,汐止,4.4,0.55,-,16.6,31,16,31.33,10.82,20.51,-,-,-,1.2,1.06,29.19,-,-,83.62,-
88,新北市,2017/08/01,土城,5.1,0.56,-,26.4,41,15,32.42,10.08,22.34,2.279,0.332,1.948,1.12,0.74,30.08,-,-,75.19,-
89,新北市,2017/08/01,林口,2.9,0.39,-,28.1,38,14,22.68,3.81,18.88,-,-,-,1.74,1.49,27.85,-,-,80.38,-
90,新北市,2017/08/01,萬里,2.9,0.2,-,30.4,34,17,8.32,1.82,6.5,-,-,-,2.5,2.36,28.59,0,0,77.83,0
91,臺中市,2017/08/05,西屯,1.9,0.2,-,19.5,32,15,10.93,3.49,7.44,1.873,0.098,1.775,2.41,2.11,29.46,0,0,77.63,0
92,臺中市,2017/08/05,忠明,2.2,0.25,-,19.8,27,14,11.11,1.85,9.26,1.798,0.036,1.762,1.99,1.68,28.33,-,-,72.41,-
93,臺中市,2017/08/05,豐原,3.8,1.14,-,26.4,33,20,6.65,1.14,5.51,1.863,0.086,1.778,3.18,2.82,28.14,-,-,74.64,-
94,臺中市,2017/08/05,沙鹿,2.1,0.22,-,18.8,33,13,9.36,1.63,7.74,-,-,-,2.9,2.64,27.94,-,-,76.24,-
95,臺中市,2017/08/05,大里,2.2,0.27,419.36,19.7,41,15,13.45,4.08,9.38,1.663,0.094,1.569,2.18,1.94,28.69,-,-,71.84,-
96,臺中市,2017/08/04,西屯,2.3,0.24,-,25,29,13,13.49,1.87,11.62,1.937,0.139,1.798,1.97,1.67,29.11,0,0,80.98,0
97,臺中市,2017/08/04,忠明,2.2,0.31,-,25.6,24,15,12.3,1.18,11.12,1.855,0.07,1.785,1.76,1.34,27.58,-,-,76.6,-
98,臺中市,2017/08/04,豐原,3.6,0.26,-,27.4,29,24,8.52,1.3,7.25,1.935,0.135,1.799,2.23,1.88,27.25,-,-,78.74,-
99,臺中市,2017/08/04,沙鹿,1.8,0.24,-,23.5,30,13,12.63,2.49,10.15,-,-,-,2.61,2.3,27.51,-,-,78.6,-
100,臺中市,2017/08/04,大里,1.9,0.28,419.07,24.7,32,14,13.53,2.27,11.31,1.729,0.153,1.577,1.86,1.51,27.85,-,-,74.61,-
101,臺中市,2017/08/03,西屯,1.9,0.28,-,26.5,34,15,17.39,3.66,13.73,2.058,0.176,1.881,1.8,1.5,29.39,2.67,6.31,80.23,20.47
102,臺中市,2017/08/03,忠明,2,0.33,-,28.4,29,18,12.82,1.64,11.17,1.946,0.104,1.842,1.61,1.22,27.96,-,-,75,-
103,臺中市,2017/08/03,豐原,2.8,0.27,-,32.9,31,19,8.5,1.48,7.01,1.925,0.119,1.806,2.23,1.7,27.51,-,-,77.13,-
104,臺中市,2017/08/03,沙鹿,2.2,0.29,-,30.4,34,17,12.31,1.95,10.37,-,-,-,2.43,2.11,27.73,-,-,76.95,-
105,臺中市,2017/08/03,大里,2.3,0.32,423.02,27.2,33,13,12.39,3.77,8.61,1.787,0.156,1.631,1.71,1.33,28.42,-,-,72.42,-
106,臺中市,2017/08/02,西屯,1.9,0.29,-,19.6,32,11,17.47,4.24,13.23,2.117,0.211,1.906,1.8,1.73,28.35,0,0,81.95,0
107,臺中市,2017/08/02,忠明,2.6,0.38,-,18.4,20,12,16.5,3.4,13.1,1.983,0.146,1.836,1.63,1.37,27.05,-,-,76.68,-
108,臺中市,2017/08/02,豐原,6.3,1.36,-,23.6,30,12,11.97,1.9,10.06,2.128,0.276,1.852,2.82,2.43,27.33,-,-,76.1,-
109,臺中市,2017/08/02,沙鹿,3.3,0.28,-,20.3,-,12,14.42,2.62,11.8,-,-,-,2.4,2.18,26.76,-,-,79.6,-
110,臺中市,2017/08/02,大里,2.6,0.36,427.86,16.9,26,9,14.84,3.34,11.52,1.898,0.206,1.692,1.71,1.58,27.68,-,-,73.61,-
111,臺中市,2017/08/01,西屯,1.9,0.27,-,15.2,25,6,16.56,4.42,12.14,1.959,0.148,1.811,2.32,2.26,27.85,0,0,79.8,0
112,臺中市,2017/08/01,忠明,1.8,0.34,-,14.5,15,9,16.11,3.85,12.27,1.899,0.121,1.778,1.84,1.44,26.44,-,-,75.92,-
113,臺中市,2017/08/01,豐原,2.7,0.2,-,21.7,17,12,6.66,2.02,4.63,1.884,0.113,1.771,3.17,2.95,27.05,-,-,73.96,-
114,臺中市,2017/08/01,沙鹿,2.1,0.24,-,19.5,19,7,8.31,1.79,6.51,-,-,-,3.75,3.48,26.83,-,-,75.28,-
115,臺中市,2017/08/01,大里,2.7,0.37,422.25,13,21,11,13.84,2.07,11.82,1.832,0.217,1.615,1.99,1.55,27.06,-,-,73.5,-
116,臺南市,2017/08/05,新營,1.8,0.22,-,17.6,35,14,6.42,1.64,4.79,2.15,0.051,2.099,1.63,1.36,30.68,0,0,69.11,0
117,臺南市,2017/08/05,善化,1.7,0.17,413.52,17.7,36,12,5.42,1.07,4.33,-,-,-,1.96,1.72,29.59,-,-,86.26,-
118,臺南市,2017/08/05,安南,-,0.19,-,19.7,40,13,8.62,2.74,5.88,1.985,0.122,1.863,2.43,2.09,31.09,-,-,80.04,-
119,臺南市,2017/08/05,臺南,2.7,0.24,-,20.7,35,17,7.51,0.57,6.95,1.858,0.097,1.761,1.8,1.58,30.92,-,-,71.28,-
120,臺南市,2017/08/04,新營,2.5,0.23,-,19.9,34,13,7.03,1.58,5.45,2.148,0.056,2.091,1.67,1.38,30.39,0,0,71.19,0
121,臺南市,2017/08/04,善化,1.4,0.17,408.51,21.9,31,12,6.12,1.42,4.7,-,-,-,2.43,2.18,29.59,-,-,86.31,-
122,臺南市,2017/08/04,安南,0.8,0.26,-,22.8,38,11,12.17,3.67,8.52,2.137,0.254,1.884,2.5,2.25,30.57,-,-,82.07,-
123,臺南市,2017/08/04,臺南,2.7,0.26,-,24.2,33,16,8.37,0.91,7.46,1.858,0.101,1.757,1.8,1.6,30.52,-,-,72.04,-
124,臺南市,2017/08/03,新營,2,0.29,-,24.4,37,14,7.23,1.49,5.74,2.377,0.07,2.306,1.47,1.15,30.53,0,0,70.68,0
125,臺南市,2017/08/03,善化,1.9,0.22,406.88,25.9,29,13,7.47,0.98,6.45,-,-,-,2.22,1.86,29.47,-,-,86.88,-
126,臺南市,2017/08/03,安南,-,0.32,-,26.8,43,15,14.27,3.85,10.42,2.209,0.269,1.94,2.34,1.96,30.25,-,-,83.73,-
127,臺南市,2017/08/03,臺南,3.6,0.33,-,24.6,33,16,11.76,0.87,10.86,1.983,0.169,1.814,1.82,1.63,30.24,-,-,73.6,-
128,臺南市,2017/08/02,新營,2,0.32,-,23,26,9,10.48,1.88,8.6,2.215,0.113,2.103,1.6,1.27,27.76,10,4.85,80.4,3.23
129,臺南市,2017/08/02,善化,2.6,0.28,401.24,23.6,25,11,14.45,2.37,12.07,-,-,-,2.04,1.79,28.03,-,-,91.27,-
130,臺南市,2017/08/02,安南,-,0.45,-,20.4,23,-,-,-,-,2.306,0.339,1.968,2.07,1.88,27.95,-,-,83.61,-
131,臺南市,2017/08/02,臺南,2.1,0.4,-,20.9,23,11,13.66,1.33,12.36,1.99,0.162,1.829,1.38,1.2,-,-,-,78.15,-
132,臺南市,2017/08/01,新營,1.4,0.2,-,17.3,21,6,6.23,1.88,4.35,2.006,0.036,1.972,1.87,1.39,26.21,3.92,4.9,87.78,9.37
133,臺南市,2017/08/01,善化,1.9,0.17,394.23,16,18,6,7.79,1.52,6.24,-,-,-,3.08,2.92,26.83,-,-,95.17,-
134,臺南市,2017/08/01,安南,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
135,臺南市,2017/08/01,臺南,2.1,0.31,-,12.7,24,9,15.99,3.13,12.87,1.931,0.153,1.778,2.23,1.98,25.99,-,-,86.22,-
136,高雄市,2017/08/05,左營,-,0.19,-,19.1,48,16,11.22,1.2,10,2.768,0.886,1.882,2.02,1.68,30.02,-,-,79.92,-
137,高雄市,2017/08/05,楠梓,1.8,0.24,-,18.1,42,18,11.8,3.25,8.55,1.835,0.12,1.715,1.4,1.24,30.27,-,-,77.75,-
138,高雄市,2017/08/05,前金,2.1,0.23,-,19.8,38,13,6.74,1.1,5.61,1.857,0.057,1.799,2,1.79,29.59,-,-,79.47,-
139,高雄市,2017/08/05,前鎮,3.7,0.22,-,14,37,15,13.29,2.71,10.58,1.905,0.06,1.845,1.18,0.81,30.33,-,-,77.16,-
140,高雄市,2017/08/05,復興,4.3,0.33,-,13.9,39,16,15.24,5,10.24,1.938,0.101,1.837,0.96,0.72,30.17,-,-,73.89,-
141,高雄市,2017/08/05,小港,4.6,0.2,-,15.5,41,19,13.58,3.95,9.65,1.895,0.077,1.817,2.12,1.82,31.35,0,0,75.71,0
142,高雄市,2017/08/05,鳳山,2,0.41,-,16.5,46,14,12.53,2.09,10.44,2.058,0.13,1.928,1.68,1.57,30.05,1,5.11,76.02,39.3
143,高雄市,2017/08/05,林園,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
144,高雄市,2017/08/05,大寮,3.4,0.25,-,13.6,41,15,12.87,2.95,9.92,2.198,0.15,2.048,1.39,1.28,30.36,-,-,76.36,-
145,高雄市,2017/08/05,仁武,2.8,0.2,-,21.5,-,-,8.53,1.13,7.41,2.059,0.151,1.908,1.68,1.47,29.72,-,-,80.78,-
146,高雄市,2017/08/05,橋頭,0.5,0.24,-,19,35,18,7.71,2.11,5.6,-,-,-,2.22,2.16,31.27,0,0,76.97,0
147,高雄市,2017/08/05,美濃,1.5,0.23,-,20.5,31,19,2.39,0.52,1.79,-,-,-,1.07,0.85,29,-,-,77.57,-
148,高雄市,2017/08/04,左營,15.2,0.3,-,20.3,58,17,13.71,1.62,12.1,3.7,1.771,1.929,1.65,1.36,29.56,-,-,81.43,-
149,高雄市,2017/08/04,楠梓,2.6,0.32,-,20.1,36,16,15.26,5.36,9.9,1.846,0.121,1.725,1.21,1.07,29.4,-,-,79.75,-
150,高雄市,2017/08/04,前金,2.9,0.24,-,23.8,40,11,9.45,2.11,7.34,1.915,0.088,1.827,2.06,1.8,29.47,-,-,80.07,-
151,高雄市,2017/08/04,前鎮,3.8,0.25,-,17.4,35,14,14.79,2.63,12.15,1.953,0.086,1.867,1.17,0.77,29.51,-,-,80.45,-
152,高雄市,2017/08/04,復興,4.6,0.41,-,18.1,44,15,18.06,5.97,12.09,2.015,0.152,1.863,0.89,0.66,29.54,-,-,74.48,-
153,高雄市,2017/08/04,小港,7.2,0.25,-,15.7,37,19,18.28,4.93,13.35,1.934,0.095,1.839,1.7,1.37,30.37,1.5,5.65,80.11,39.8
154,高雄市,2017/08/04,鳳山,2.8,0.45,-,17.5,43,14,16.58,3.47,13.1,2.081,0.158,1.922,1.68,1.41,29.82,0,0,78.28,0
155,高雄市,2017/08/04,林園,2.9,0.15,-,25.8,25,8,5.94,0.78,5.11,2.036,0.031,2.006,2.06,1.93,29.33,-,-,80.74,-
156,高雄市,2017/08/04,大寮,5.2,0.31,-,16.3,41,15,14.87,2.73,12.14,2.26,0.203,2.057,1.13,0.95,29.65,-,-,80.1,-
157,高雄市,2017/08/04,仁武,3.4,0.26,-,22.4,-,-,12.32,2.05,10.27,1.996,0.085,1.911,1.61,1.34,29.36,-,-,81.08,-
158,高雄市,2017/08/04,橋頭,1.2,0.26,-,22.1,44,20,11.14,2.56,8.57,-,-,-,2.25,2.04,30.56,0,0,80,0
159,高雄市,2017/08/04,美濃,1.1,0.18,-,22.5,29,19,4.16,1.17,2.96,-,-,-,1.13,0.91,27.54,-,-,81.8,-
160,高雄市,2017/08/03,左營,-,0.42,-,18.5,42,17,16.42,3.08,13.34,2.131,0.167,1.965,1.79,1.3,29.36,-,-,81.62,-
161,高雄市,2017/08/03,楠梓,2.3,0.32,-,22,38,12,18.53,4.54,13.99,1.896,0.125,1.771,1.49,1.18,29.27,-,-,80.55,-
162,高雄市,2017/08/03,前金,-,0.65,-,14.9,40,17,-,-,-,2.305,0.293,2.012,1.43,0.94,28.44,-,-,85.58,-
163,高雄市,2017/08/03,前鎮,5,0.46,-,14.8,39,17,21.76,5.22,16.54,2.141,0.175,1.967,1.29,0.82,29.13,-,-,81.5,-
164,高雄市,2017/08/03,復興,4.7,0.56,-,15.8,44,17,22.34,6.08,16.27,2.189,0.225,1.964,1.01,0.72,29.2,-,-,74.93,-
165,高雄市,2017/08/03,小港,10.9,0.36,-,13,44,21,26.78,10.23,16.55,2.143,0.165,1.978,1.69,1.42,30.16,-,-,81.76,-
166,高雄市,2017/08/03,鳳山,3.6,0.49,-,19.6,42,14,15.33,2.94,12.39,2.148,0.174,1.974,1.84,1.57,29.23,6.5,4.59,80.21,36.9
167,高雄市,2017/08/03,林園,4.1,0.22,-,24.5,26,9,7.94,0.95,6.97,2.17,0.05,2.12,2.13,1.92,28.86,-,-,82.37,-
168,高雄市,2017/08/03,大寮,4.8,0.28,-,18.5,36,15,13,3.04,9.97,2.321,0.175,2.146,1.4,1.2,29.51,-,-,79.88,-
169,高雄市,2017/08/03,仁武,3.4,0.33,-,25.6,40,18,12.59,1.7,10.86,2.12,0.127,1.993,1.72,1.31,28.94,-,-,82.88,-
170,高雄市,2017/08/03,橋頭,1.1,0.23,-,22.1,32,18,11.25,3.12,8.13,-,-,-,2.54,2.31,30.38,1,5.79,80.58,12.2
