序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
63,臺北市,1999/01/23,士林,1.5,0.59,15.8,-,22,-,33.61,12.12,21.49,-,-,-,20.71,-,-,31.0,-
64,臺北市,1999/01/22,松山,2.5,0.86,13.8,-,29,-,55.47,25.76,29.72,-,-,-,21.85,-,-,29.0,-
65,臺北市,1999/01/22,古亭,1.8,1.22,11.3,-,28,20,76.14,42.93,33.22,2.652,0.58,2.07,21.63,-,-,28.0,-
66,臺北市,1999/01/22,中山,2.0,1.12,12.0,-,35,-,70.58,31.87,38.71,2.707,0.51,2.2,22.19,-,-,35.0,-
67,臺北市,1999/01/22,大同,8.1,5.07,-,-,79,-,262.71,203.79,58.92,5.269,2.69,2.58,23.15,-,-,79.0,-
68,臺北市,1999/01/22,萬華,3.2,1.32,11.9,-,32,-,65.39,28.26,37.13,-,-,-,23.28,-,-,32.0,-
69,臺北市,1999/01/22,陽明,0.5,0.22,38.8,-,13,-,2.68,0.13,2.55,-,-,-,16.17,-,90.0,37.0,-
70,臺北市,1999/01/22,士林,1.6,0.8,16.8,-,29,-,47.46,15.59,25.67,-,-,-,21.68,-,-,29.0,-
71,臺北市,1999/01/21,松山,4.4,0.59,16.0,-,37,-,45.85,14.01,31.84,-,-,-,17.61,-,-,37.0,-
72,臺北市,1999/01/21,古亭,2.0,0.72,20.6,-,25,30,37.94,12.25,25.68,2.159,0.29,1.87,16.95,-,-,30.0,-
73,臺北市,1999/01/21,中山,2.3,0.66,21.7,-,33,-,38.69,10.47,28.22,2.265,0.31,1.96,17.66,-,-,33.0,-
74,臺北市,1999/01/21,大同,5.0,3.45,-,-,66,-,184.8,137.64,47.16,3.98,1.76,2.22,18.74,-,-,58.0,-
75,臺北市,1999/01/21,萬華,2.0,0.79,20.2,-,28,-,32.35,6.82,25.53,-,-,-,18.84,-,-,28.0,-
76,臺北市,1999/01/21,陽明,1.0,0.2,43.2,-,12,-,2.25,0.02,2.23,-,-,-,10.87,-,99.0,39.0,-
77,臺北市,1999/01/21,士林,1.7,0.27,26.7,-,23,-,13.27,2.08,11.19,-,-,-,17.95,-,-,28.0,-
78,臺北市,1999/01/20,松山,3.9,0.55,14.0,-,39,-,52.71,17.85,34.86,-,-,-,17.46,-,-,39.0,-
79,臺北市,1999/01/20,古亭,1.5,0.77,18.5,-,29,26,44.65,13.43,31.22,2.16,0.25,1.91,16.44,-,-,29.0,-
80,臺北市,1999/01/20,中山,1.3,0.86,20.3,-,33,-,43.53,12.81,30.73,2.367,0.28,2.08,17.54,-,-,33.0,-
81,臺北市,1999/01/20,大同,5.0,4.06,-,-,64,-,218.05,167.62,50.44,4.332,2.01,2.33,18.76,-,-,62.0,-
82,臺北市,1999/01/20,萬華,1.9,0.9,17.5,-,35,-,35.68,6.58,29.1,-,-,-,18.41,-,-,35.0,-
83,臺北市,1999/01/20,陽明,0.2,0.27,44.9,-,12,-,1.05,0.01,1.04,-,-,-,10.58,-,100.0,40.0,-
84,臺北市,1999/01/20,士林,0.2,0.36,28.9,-,21,-,12.33,2.05,10.28,-,-,-,17.86,-,-,28.0,-
85,臺北市,1999/01/19,松山,3.3,0.79,14.1,-,60,-,56.85,21.58,35.27,-,-,-,19.27,-,-,55.0,-
86,臺北市,1999/01/19,古亭,4.7,1.11,13.2,-,60,40,62.85,26.85,36.0,2.54,0.61,1.93,18.36,-,-,55.0,-
87,臺北市,1999/01/19,中山,3.6,1.18,17.2,-,50,-,57.21,25.39,31.82,2.667,0.54,2.13,19.05,-,-,50.0,-
88,臺北市,1999/01/19,大同,5.5,3.02,-,-,87,-,158.42,108.23,50.2,4.277,1.59,2.69,20.1,-,-,68.0,-
89,臺北市,1999/01/19,萬華,4.7,1.13,13.5,-,58,-,51.04,16.24,34.79,-,-,-,20.1,-,-,54.0,-
90,臺北市,1999/01/19,陽明,0.5,0.18,39.7,-,12,-,-,-,-,-,-,-,13.12,-,91.0,37.0,-
91,臺北市,1999/01/19,士林,1.4,0.57,19.6,-,38,-,26.68,8.52,18.16,-,-,-,18.79,-,-,38.0,-
92,臺北市,1999/01/18,松山,5.0,1.2,17.5,-,72,-,83.09,30.59,52.5,-,-,-,20.34,-,-,61.0,-
93,臺北市,1999/01/18,古亭,6.1,1.6,11.9,-,69,42,98.8,51.05,47.75,2.976,0.88,2.09,19.16,-,-,59.0,-
94,臺北市,1999/01/18,中山,6.0,1.63,19.4,-,-,-,95.3,46.75,48.55,3.153,0.78,2.37,19.67,-,-,70.0,-
95,臺北市,1999/01/18,大同,5.7,2.72,-,-,83,-,154.43,97.61,56.81,4.655,1.64,3.01,20.21,-,-,67.0,-
96,臺北市,1999/01/18,萬華,5.2,1.31,12.4,-,65,-,67.83,26.34,41.49,-,-,-,20.74,-,-,57.0,-
97,臺北市,1999/01/18,陽明,2.5,0.3,48.3,-,22,-,-,-,-,-,-,-,15.52,-,88.0,71.0,-
98,臺北市,1999/01/18,士林,3.9,0.82,20.5,-,49,-,56.52,24.73,31.8,-,-,-,19.54,-,-,49.0,-
99,臺北市,1999/01/17,松山,2.9,0.42,14.4,-,25,-,39.48,10.19,29.29,-,-,-,17.23,-,-,25.0,-
100,臺北市,1999/01/17,古亭,1.8,0.64,17.3,-,24,23,39.88,13.45,26.44,2.123,0.21,1.91,16.37,-,-,28.0,-
101,臺北市,1999/01/17,中山,3.1,0.7,16.5,-,-,-,41.26,10.71,30.55,2.132,0.11,2.02,17.25,-,-,20.0,-
102,臺北市,1999/01/17,大同,6.3,2.84,-,-,49,-,194.71,143.85,50.86,3.83,1.42,2.41,18.23,-,-,49.0,-
103,臺北市,1999/01/17,萬華,1.8,0.77,16.4,-,28,-,35.55,8.51,27.04,-,-,-,18.22,-,-,28.0,-
104,臺北市,1999/01/17,陽明,1.9,0.13,41.5,-,12,-,2.56,0.01,2.55,-,-,-,10.87,-,99.0,38.0,-
105,臺北市,1999/01/17,士林,4.2,0.19,23.6,-,19,-,14.67,1.45,13.22,-,-,-,17.79,-,-,23.0,-
106,臺北市,1999/01/16,松山,4.1,0.66,16.0,-,47,-,53.84,18.45,35.39,-,-,-,13.66,-,-,47.0,-
107,臺北市,1999/01/16,古亭,2.6,0.85,18.8,-,43,34,47.16,17.04,30.12,2.396,0.29,2.11,12.51,-,-,43.0,-
108,臺北市,1999/01/16,中山,3.5,1.02,16.5,-,-,-,56.75,20.76,35.99,2.338,0.29,2.05,13.39,-,-,31.0,-
109,臺北市,1999/01/16,大同,8.4,4.36,-,-,104,-,279.59,219.61,59.98,4.79,2.34,2.45,14.44,-,-,77.0,-
110,臺北市,1999/01/16,萬華,3.0,0.98,17.1,-,50,-,38.99,7.88,31.11,-,-,-,14.17,-,-,50.0,-
111,臺北市,1999/01/16,陽明,1.3,0.31,46.9,-,17,-,1.29,0.06,1.24,-,-,-,6.95,-,98.0,41.0,-
112,臺北市,1999/01/16,士林,2.1,0.48,25.3,-,44,-,21.6,3.96,17.64,-,-,-,13.73,-,-,44.0,-
113,臺北市,1999/01/15,松山,3.8,0.44,28.0,-,55,-,26.12,3.97,22.15,-,-,-,11.81,-,-,53.0,-
114,臺北市,1999/01/15,古亭,3.7,0.96,17.8,-,50,33,44.98,13.36,31.62,2.201,0.32,1.88,10.59,-,-,50.0,-
115,臺北市,1999/01/15,中山,4.1,0.9,21.0,-,-,-,39.42,8.16,31.26,2.289,0.23,2.06,11.44,-,-,30.0,-
116,臺北市,1999/01/15,大同,6.3,2.53,-,-,81,-,170.51,118.06,52.44,3.773,1.27,2.5,11.96,-,-,65.0,-
117,臺北市,1999/01/15,萬華,3.6,1.07,18.2,-,59,-,36.31,5.14,31.17,-,-,-,11.92,-,-,54.0,-
118,臺北市,1999/01/15,陽明,3.4,0.43,45.6,-,30,-,2.51,0.06,2.45,-,-,-,3.84,-,99.0,47.0,-
119,臺北市,1999/01/15,士林,3.7,0.65,25.2,-,47,-,25.01,5.83,19.18,-,-,-,10.91,-,-,47.0,-
120,臺北市,1999/01/14,松山,4.5,1.09,10.5,-,44,-,84.09,40.59,43.5,-,-,-,18.1,-,-,44.0,-
121,臺北市,1999/01/14,古亭,4.1,1.43,8.6,-,44,30,95.47,54.14,41.33,2.95,0.88,2.07,16.99,-,-,44.0,-
122,臺北市,1999/01/14,中山,1.4,1.5,-,-,35,-,97.89,57.24,40.65,3.255,0.78,2.48,17.81,-,-,35.0,-
123,臺北市,1999/01/14,大同,5.2,2.51,-,-,74,-,152.22,102.24,49.99,4.454,1.51,2.95,18.25,-,-,62.0,-
124,臺北市,1999/01/14,萬華,6.1,1.21,10.9,-,37,-,63.8,28.21,35.58,-,-,-,18.66,-,-,37.0,-
125,臺北市,1999/01/14,陽明,0.6,0.23,37.0,-,13,-,3.37,0.66,2.71,-,-,-,13.15,-,97.0,35.0,-
126,臺北市,1999/01/14,士林,3.4,0.71,13.9,-,29,-,47.23,20.1,27.14,-,-,-,17.95,-,-,29.0,-
127,臺北市,1999/01/13,松山,3.6,0.52,13.9,-,17,-,52.16,19.27,32.89,-,-,-,15.88,-,-,30.0,-
128,臺北市,1999/01/13,古亭,1.8,0.75,15.3,-,14,17,44.14,14.89,29.25,1.987,0.23,1.76,14.87,-,-,26.0,-
129,臺北市,1999/01/13,中山,1.2,0.77,17.6,-,18,-,44.99,15.19,29.79,2.25,0.27,1.98,15.97,-,-,30.0,-
130,臺北市,1999/01/13,大同,3.9,3.67,-,-,42,-,216.77,165.41,51.35,4.66,2.17,2.49,16.47,-,-,60.0,-
131,臺北市,1999/01/13,萬華,2.0,0.83,14.3,-,14,-,40.19,9.93,30.26,-,-,-,16.62,-,-,26.0,-
132,臺北市,1999/01/13,陽明,0.7,0.12,41.7,-,12,-,1.73,0.07,1.66,-,-,-,10.32,-,99.0,37.0,-
133,臺北市,1999/01/13,士林,1.0,0.31,26.3,-,12,-,14.14,2.05,12.09,-,-,-,16.77,-,-,30.0,-
134,臺北市,1999/01/12,松山,2.1,0.48,17.2,-,16,-,43.24,12.42,30.82,-,-,-,15.08,-,-,28.0,-
135,臺北市,1999/01/12,古亭,1.9,0.79,16.1,-,15,18,45.36,15.54,29.82,2.072,0.3,1.78,14.01,-,-,27.0,-
136,臺北市,1999/01/12,中山,2.3,0.91,16.1,-,18,-,52.32,18.3,34.03,2.299,0.35,1.95,15.33,-,-,27.0,-
137,臺北市,1999/01/12,大同,3.7,4.16,-,-,57,-,263.03,204.06,58.97,4.705,2.29,2.41,15.79,-,-,67.0,-
138,臺北市,1999/01/12,萬華,1.2,0.92,15.7,-,17,-,38.84,8.46,30.38,-,-,-,15.91,-,-,26.0,-
139,臺北市,1999/01/12,陽明,0.0,0.23,43.2,-,-,-,0.55,0.15,0.4,-,-,-,9.44,-,100.0,37.0,-
140,臺北市,1999/01/12,士林,0.3,0.42,21.7,-,14,-,23.55,4.98,18.57,-,-,-,15.69,-,-,27.0,-
141,臺北市,1999/01/11,松山,3.8,0.59,13.6,-,32,-,53.71,18.43,35.28,-,-,-,15.41,-,-,32.0,-
142,臺北市,1999/01/11,古亭,2.6,0.7,19.0,-,29,22,37.43,11.15,26.28,2.029,0.22,1.81,14.54,-,-,29.0,-
143,臺北市,1999/01/11,中山,0.8,0.92,16.2,-,35,-,53.54,19.37,34.17,2.307,0.33,1.98,15.52,-,-,35.0,-
144,臺北市,1999/01/11,大同,5.4,4.31,-,-,-,-,266.28,205.62,60.66,4.796,2.35,2.45,16.02,-,-,76.0,-
145,臺北市,1999/01/11,萬華,2.4,0.78,17.3,-,28,-,34.71,6.43,28.28,-,-,-,16.37,-,-,28.0,-
146,臺北市,1999/01/11,陽明,0.2,0.17,43.7,-,-,-,0.58,0.07,0.51,-,-,-,9.28,-,100.0,37.0,-
147,臺北市,1999/01/11,士林,0.2,0.31,27.2,-,19,-,16.22,1.95,14.26,-,-,-,16.01,-,-,30.0,-
148,臺北市,1999/01/10,松山,2.4,0.36,15.9,-,19,-,39.11,11.39,27.71,-,-,-,15.25,-,-,26.0,-
149,臺北市,1999/01/10,古亭,2.1,0.53,19.4,-,17,17,31.01,8.25,22.75,1.97,0.13,1.84,14.33,-,-,25.0,-
150,臺北市,1999/01/10,中山,1.7,0.7,16.8,-,19,-,42.94,13.71,29.23,2.152,0.16,1.99,15.31,-,-,26.0,-
151,臺北市,1999/01/10,大同,4.8,3.01,-,-,-,-,220.18,169.01,51.17,4.05,1.58,2.47,15.81,-,-,48.0,-
152,臺北市,1999/01/10,萬華,1.9,0.62,18.2,-,17,-,28.66,4.72,23.94,-,-,-,16.11,-,-,24.0,-
153,臺北市,1999/01/10,陽明,0.4,0.13,41.3,-,-,-,0.59,0.01,0.58,-,-,-,8.86,-,100.0,36.0,-
154,臺北市,1999/01/10,士林,0.3,0.28,25.9,-,15,-,14.72,1.89,12.83,-,-,-,15.67,-,-,28.0,-
155,臺北市,1999/01/09,松山,3.0,0.41,16.2,-,34,-,42.55,12.83,29.72,-,-,-,14.96,-,-,34.0,-
156,臺北市,1999/01/09,古亭,2.2,0.55,19.9,-,40,24,34.22,9.98,24.24,2.088,0.23,1.86,13.89,-,-,40.0,-
157,臺北市,1999/01/09,中山,2.0,0.66,19.4,-,38,-,41.3,11.93,29.37,2.179,0.2,1.97,14.84,-,-,38.0,-
158,臺北市,1999/01/09,大同,4.8,3.15,-,-,-,-,227.14,172.39,54.75,4.25,1.84,2.41,15.25,-,-,48.0,-
159,臺北市,1999/01/09,萬華,2.2,0.63,18.4,-,21,-,30.71,5.09,25.62,-,-,-,15.63,-,-,27.0,-
160,臺北市,1999/01/09,陽明,0.4,0.19,42.1,-,-,-,0.5,0.12,0.38,-,-,-,7.12,-,100.0,36.0,-
161,臺北市,1999/01/09,士林,0.7,0.27,29.6,-,25,-,13.72,2.32,11.4,-,-,-,14.89,-,-,31.0,-
162,臺北市,1999/01/08,松山,2.0,0.49,15.1,-,38,-,51.1,19.31,31.79,-,-,-,13.55,-,-,38.0,-
163,臺北市,1999/01/08,古亭,1.4,0.8,13.1,-,37,22,54.22,22.34,31.89,2.235,0.28,1.95,12.2,-,-,37.0,-
164,臺北市,1999/01/08,中山,1.3,0.74,18.3,-,40,-,46.89,15.73,31.16,2.228,0.22,2.01,13.46,-,-,40.0,-
165,臺北市,1999/01/08,大同,5.3,3.68,-,-,-,-,261.08,204.72,56.36,4.377,2.12,2.26,13.85,-,-,60.0,-
166,臺北市,1999/01/08,萬華,1.4,0.71,14.1,-,26,-,39.25,8.73,30.52,-,-,-,13.71,-,-,27.0,-
167,臺北市,1999/01/08,陽明,0.7,0.08,40.3,-,13,-,5.42,4.97,0.45,-,-,-,5.7,-,100.0,37.0,-
168,臺北市,1999/01/08,士林,1.1,0.3,30.0,-,21,-,14.09,2.54,11.55,-,-,-,13.45,-,-,32.0,-
169,臺北市,1999/01/07,松山,2.9,0.59,29.6,-,104,-,23.14,2.78,20.36,-,-,-,15.75,-,-,77.0,-
170,臺北市,1999/01/07,古亭,3.5,1.15,20.8,-,124,55,48.06,19.47,28.59,2.214,0.33,1.89,14.51,-,-,87.0,-
171,臺北市,1999/01/07,中山,4.3,1.15,26.0,-,128,-,43.66,15.45,28.21,-,-,-,15.49,-,-,89.0,-
172,臺北市,1999/01/07,大同,6.4,2.65,-,-,-,-,144.86,100.48,44.38,3.792,1.33,2.47,15.59,-,-,41.0,-
173,臺北市,1999/01/07,萬華,3.8,1.1,20.0,-,111,-,34.63,4.86,29.77,-,-,-,15.44,-,-,80.0,-
174,臺北市,1999/01/07,陽明,2.1,0.57,44.9,-,39,-,3.19,0.04,3.16,-,-,-,7.6,-,100.0,46.0,-
175,臺北市,1999/01/07,士林,2.8,0.74,26.7,-,81,-,25.28,5.33,19.95,-,-,-,15.14,-,-,65.0,-
176,臺北市,1999/01/06,松山,2.4,0.69,22.1,-,47,-,61.36,29.48,31.88,-,-,-,19.98,-,-,47.0,-
177,臺北市,1999/01/06,古亭,2.3,0.98,19.9,-,43,25,58.01,25.04,32.97,2.395,0.42,1.98,19.14,-,-,43.0,-
178,臺北市,1999/01/06,中山,3.0,1.18,21.0,-,51,-,72.64,32.7,39.94,-,-,-,20.02,-,-,51.0,-
179,臺北市,1999/01/06,大同,5.4,2.82,-,-,-,-,135.63,86.35,49.27,4.295,1.67,2.63,19.88,-,-,44.0,-
180,臺北市,1999/01/06,萬華,2.9,1.11,18.9,-,49,-,51.6,15.87,35.74,-,-,-,20.03,-,-,49.0,-
181,臺北市,1999/01/06,陽明,0.4,0.2,49.1,-,12,-,0.47,0.05,0.41,-,-,-,13.08,-,92.0,46.0,-
182,臺北市,1999/01/06,士林,2.2,0.72,24.1,-,37,-,52.49,25.44,27.05,-,-,-,19.78,-,-,37.0,-
183,臺北市,1999/01/05,松山,1.8,0.46,23.7,-,48,-,40.66,10.38,30.28,-,-,-,19.26,-,-,48.0,-
184,臺北市,1999/01/05,古亭,1.1,0.78,20.7,-,43,29,46.31,14.44,31.87,-,-,-,18.21,-,-,43.0,-
185,臺北市,1999/01/05,中山,1.3,0.66,27.9,-,37,-,35.79,7.92,27.87,-,-,-,19.22,-,-,37.0,-
186,臺北市,1999/01/05,大同,6.1,3.88,-,-,-,-,191.0,139.53,51.47,4.647,2.28,2.37,19.33,-,-,86.0,-
187,臺北市,1999/01/05,萬華,1.4,0.94,20.6,-,39,-,41.29,7.29,34.0,-,-,-,19.33,-,-,39.0,-
188,臺北市,1999/01/05,陽明,0.2,0.15,48.7,-,12,-,0.93,0.04,0.88,-,-,-,11.61,-,93.0,46.0,-
189,臺北市,1999/01/05,士林,0.9,0.3,31.6,-,31,-,16.51,1.68,14.82,-,-,-,19.1,-,-,31.0,-
190,臺北市,1999/01/04,松山,2.0,0.42,32.1,-,55,-,27.56,3.63,23.93,-,-,-,18.17,-,-,52.0,-
191,臺北市,1999/01/04,古亭,2.1,0.87,23.2,-,62,35,42.88,11.01,31.87,-,0.16,-,16.97,-,-,56.0,-
