序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
38,臺北市,1998/12/26,中山,3.2,0.71,19.4,-,42,-,41.93,11.38,30.55,1.982,0.21,1.78,18.88,-,-,42.0,-
39,臺北市,1998/12/26,大同,3.9,3.16,-,-,-,-,193.11,139.6,53.51,4.221,1.83,2.39,19.01,-,-,52.0,-
40,臺北市,1998/12/26,萬華,2.7,0.74,19.6,-,36,-,37.58,6.15,31.43,-,-,-,19.41,-,-,36.0,-
41,臺北市,1998/12/26,陽明,0.6,0.18,48.1,-,13,-,1.34,0.2,1.15,-,-,-,11.82,-,88.0,43.0,-
42,臺北市,1998/12/26,士林,3.4,0.2,30.0,-,27,-,19.4,2.35,17.04,-,-,-,19.18,-,-,31.0,-
43,臺北市,1998/12/25,松山,3.9,0.79,13.6,-,44,-,54.56,19.41,35.15,-,-,-,18.76,-,-,44.0,-
44,臺北市,1998/12/25,古亭,1.8,0.62,21.3,-,40,1,38.42,11.66,26.76,2.142,0.19,1.95,18.06,-,-,40.0,-
45,臺北市,1998/12/25,中山,2.0,0.68,19.5,-,42,-,42.03,12.45,29.58,2.056,0.15,1.9,18.74,-,-,42.0,-
46,臺北市,1998/12/25,大同,4.0,3.16,-,-,-,-,207.11,156.44,50.67,4.071,1.65,2.42,19.07,-,-,46.0,-
47,臺北市,1998/12/25,萬華,2.5,0.74,17.6,-,35,-,41.09,8.64,32.45,-,-,-,19.21,-,-,35.0,-
48,臺北市,1998/12/25,陽明,0.3,0.1,45.2,-,13,-,1.19,0.17,1.03,-,-,-,11.39,-,93.0,40.0,-
49,臺北市,1998/12/25,士林,1.0,0.26,27.9,-,25,-,20.55,3.51,17.03,-,-,-,18.61,-,-,32.0,-
50,臺北市,1998/12/24,松山,1.8,0.49,22.2,-,43,-,42.49,10.18,32.31,-,-,-,18.47,-,-,43.0,-
51,臺北市,1998/12/24,古亭,2.5,0.89,17.6,-,56,27,53.66,19.08,34.58,2.246,0.34,1.91,17.35,-,-,53.0,-
52,臺北市,1998/12/24,中山,1.1,0.52,26.3,-,48,-,31.35,4.52,26.83,2.001,0.22,1.78,18.24,-,-,48.0,-
53,臺北市,1998/12/24,大同,4.5,3.49,-,-,-,-,200.86,149.58,51.28,4.208,1.84,2.36,18.6,-,-,57.0,-
54,臺北市,1998/12/24,萬華,1.4,0.87,19.5,-,48,-,42.63,7.79,34.85,-,-,-,18.5,-,-,48.0,-
55,臺北市,1998/12/24,陽明,0.6,0.12,48.4,-,16,-,1.11,0.06,1.05,-,-,-,10.5,-,97.0,42.0,-
56,臺北市,1998/12/24,士林,1.0,0.24,35.1,-,31,-,14.25,1.83,12.43,-,-,-,18.23,-,-,35.0,-
57,臺北市,1998/12/23,松山,0.6,0.41,19.9,-,26,-,37.35,9.25,28.1,-,-,-,19.79,-,-,26.0,-
58,臺北市,1998/12/23,古亭,0.9,0.87,14.1,-,23,18,50.81,18.6,32.22,2.222,0.4,1.83,18.89,-,-,23.0,-
59,臺北市,1998/12/23,中山,1.4,1.16,10.2,-,29,-,56.58,20.8,35.78,2.288,0.38,1.91,19.92,-,-,29.0,-
60,臺北市,1998/12/23,大同,4.2,4.21,-,-,-,-,209.65,157.9,51.74,4.702,2.15,2.55,20.09,-,-,72.0,-
61,臺北市,1998/12/23,萬華,0.7,0.99,12.6,-,22,-,40.95,6.99,33.96,-,-,-,19.78,-,-,22.0,-
62,臺北市,1998/12/23,陽明,0.2,0.2,45.3,-,12,-,0.9,0.19,0.71,-,-,-,14.18,-,98.0,43.0,-
63,臺北市,1998/12/23,士林,0.8,0.43,21.2,-,17,-,24.48,4.36,20.12,-,-,-,19.83,-,-,32.0,-
64,臺北市,1998/12/22,松山,3.2,0.69,7.8,-,20,-,51.34,21.31,30.02,-,-,-,22.4,-,-,20.0,-
65,臺北市,1998/12/22,古亭,2.1,1.22,4.9,-,19,14,64.94,34.23,30.71,2.198,0.43,1.77,21.22,-,-,19.0,-
66,臺北市,1998/12/22,中山,3.8,1.53,4.5,-,25,-,75.08,41.75,33.33,2.605,0.6,2.01,22.45,-,-,25.0,-
67,臺北市,1998/12/22,大同,4.1,5.22,-,-,-,-,239.14,193.59,45.55,5.414,2.97,2.44,22.61,-,-,73.0,-
68,臺北市,1998/12/22,萬華,2.7,1.25,3.2,-,17,-,58.24,25.52,32.72,-,-,-,22.24,-,-,18.0,-
69,臺北市,1998/12/22,陽明,0.5,0.06,36.0,-,12,-,1.1,0.58,0.52,-,-,-,17.52,-,93.0,33.0,-
70,臺北市,1998/12/22,士林,1.7,0.89,5.4,-,24,-,54.2,28.0,26.2,-,-,-,22.08,-,-,24.0,-
71,臺北市,1998/12/21,松山,4.1,0.85,7.6,-,23,-,63.93,30.91,33.02,-,-,-,20.94,-,-,23.0,-
72,臺北市,1998/12/21,古亭,4.0,1.15,8.6,-,20,12,65.12,34.35,30.77,2.193,0.39,1.81,19.97,-,-,21.0,-
73,臺北市,1998/12/21,中山,4.4,1.3,6.4,-,19,-,74.4,41.06,33.34,2.369,0.49,1.88,20.86,-,-,20.0,-
74,臺北市,1998/12/21,大同,4.4,5.27,-,-,-,-,261.29,212.01,49.28,5.083,2.67,2.41,21.06,-,-,87.0,-
75,臺北市,1998/12/21,萬華,3.9,1.16,7.9,-,14,-,58.1,25.86,32.23,-,-,-,20.91,-,-,20.0,-
76,臺北市,1998/12/21,陽明,0.6,0.09,36.1,-,12,-,2.39,0.39,2.01,-,-,-,16.49,-,94.0,34.0,-
77,臺北市,1998/12/21,士林,2.2,1.05,11.0,-,23,-,65.91,38.82,27.09,-,-,-,20.4,-,-,23.0,-
78,臺北市,1998/12/20,松山,2.6,0.38,16.2,-,16,-,32.57,7.63,24.94,-,-,-,21.08,-,-,23.0,-
79,臺北市,1998/12/20,古亭,2.2,0.66,12.9,-,15,12,39.42,12.96,26.46,2.004,0.23,1.78,19.93,-,-,15.0,-
80,臺北市,1998/12/20,中山,2.3,0.79,13.9,-,16,-,38.97,12.22,26.74,1.911,0.12,1.8,20.89,-,-,24.0,-
81,臺北市,1998/12/20,大同,3.2,3.23,-,-,-,-,185.0,140.29,44.71,3.693,1.41,2.28,21.07,-,-,45.0,-
82,臺北市,1998/12/20,萬華,2.2,0.72,12.9,-,12,-,34.64,7.17,27.47,-,-,-,20.97,-,-,19.0,-
83,臺北市,1998/12/20,陽明,0.1,0.08,40.2,-,12,-,0.62,0.21,0.4,-,-,-,16.02,-,95.0,35.0,-
84,臺北市,1998/12/20,士林,1.1,0.44,13.0,-,16,-,28.32,5.91,22.41,-,-,-,20.69,-,-,20.0,-
85,臺北市,1998/12/19,松山,3.1,0.72,6.8,-,20,-,57.42,23.06,34.36,-,-,-,21.72,-,-,20.0,-
86,臺北市,1998/12/19,古亭,2.8,0.9,7.4,-,22,15,50.88,20.33,30.55,1.974,0.21,1.76,20.67,-,-,18.0,-
87,臺北市,1998/12/19,中山,2.8,1.13,7.2,-,20,-,61.47,28.8,32.67,2.25,0.34,1.91,21.71,-,-,20.0,-
88,臺北市,1998/12/19,大同,4.9,5.06,-,-,-,-,253.25,203.39,49.86,4.824,2.47,2.35,21.99,-,-,76.0,-
89,臺北市,1998/12/19,萬華,2.6,1.07,6.5,-,14,-,47.58,14.8,32.78,-,-,-,21.71,-,-,15.0,-
90,臺北市,1998/12/19,陽明,0.6,0.14,36.4,-,12,-,1.54,0.23,1.31,-,-,-,17.16,-,94.0,35.0,-
91,臺北市,1998/12/19,士林,1.3,0.6,9.8,-,19,-,40.82,16.34,24.48,-,-,-,21.67,-,-,19.0,-
92,臺北市,1998/12/18,松山,1.9,0.62,14.9,-,24,-,44.25,15.4,28.85,-,-,-,24.13,-,-,25.0,-
93,臺北市,1998/12/18,古亭,1.8,0.87,15.9,-,22,19,42.72,16.98,25.74,1.996,0.13,1.86,23.37,-,-,25.0,-
94,臺北市,1998/12/18,中山,1.6,0.77,19.3,-,21,-,35.17,11.36,23.81,2.057,0.21,1.84,24.18,-,-,29.0,-
95,臺北市,1998/12/18,大同,4.6,4.18,-,-,-,-,192.54,148.21,44.33,4.572,2.24,2.33,24.34,-,-,69.0,-
96,臺北市,1998/12/18,萬華,1.3,1.08,15.1,-,21,-,38.8,12.22,26.59,-,-,-,24.45,-,-,23.0,-
97,臺北市,1998/12/18,陽明,1.2,0.16,34.7,-,12,-,3.13,0.45,2.68,-,-,-,17.23,-,92.0,35.0,-
98,臺北市,1998/12/18,士林,0.6,0.21,24.9,-,16,-,14.08,2.9,11.18,-,-,-,24.38,-,-,29.0,-
99,臺北市,1998/12/17,松山,5.8,0.71,12.7,-,58,-,55.86,19.68,36.18,-,-,-,20.76,-,-,54.0,-
100,臺北市,1998/12/17,古亭,0.9,0.61,23.4,-,39,21,31.38,9.19,22.19,2.173,0.27,1.9,20.17,-,-,39.0,-
101,臺北市,1998/12/17,中山,3.0,0.72,22.2,-,51,-,38.39,10.5,27.9,2.086,0.28,1.8,20.98,-,-,51.0,-
102,臺北市,1998/12/17,大同,3.6,3.45,-,-,-,-,177.82,130.96,46.86,4.284,2.02,2.27,21.19,-,-,57.0,-
103,臺北市,1998/12/17,萬華,2.4,0.76,20.0,-,45,-,31.23,6.65,24.58,-,-,-,21.12,-,-,45.0,-
104,臺北市,1998/12/17,陽明,0.6,0.12,44.0,-,15,-,2.08,0.28,1.8,-,-,-,13.56,-,91.0,40.0,-
105,臺北市,1998/12/17,士林,4.5,0.14,29.3,-,37,-,16.67,2.71,13.95,-,-,-,20.98,-,-,37.0,-
106,臺北市,1998/12/16,松山,4.0,0.78,11.9,-,77,-,58.21,21.01,37.21,-,-,-,19.41,-,-,63.0,-
107,臺北市,1998/12/16,古亭,2.8,0.74,18.5,-,60,24,42.4,13.94,28.46,2.19,0.25,1.94,18.46,-,-,55.0,-
108,臺北市,1998/12/16,中山,2.4,0.81,16.7,-,71,-,47.0,14.63,32.37,2.138,0.32,1.82,19.19,-,-,60.0,-
109,臺北市,1998/12/16,大同,4.0,4.04,-,-,-,-,216.57,164.25,52.31,4.57,2.28,2.29,19.5,-,-,62.0,-
110,臺北市,1998/12/16,萬華,2.3,1.07,16.4,-,63,-,39.37,11.93,27.44,-,-,-,19.46,-,-,57.0,-
111,臺北市,1998/12/16,陽明,0.3,0.15,44.8,-,29,-,1.22,0.25,0.97,-,-,-,11.74,-,92.0,40.0,-
112,臺北市,1998/12/16,士林,0.6,0.15,31.2,-,57,-,14.83,2.07,12.77,-,-,-,19.45,-,-,54.0,-
113,臺北市,1998/12/15,松山,4.9,1.0,13.0,-,104,-,66.78,26.81,39.97,-,-,-,18.37,-,-,77.0,-
114,臺北市,1998/12/15,古亭,3.3,0.88,18.4,-,104,33,46.51,15.9,30.61,2.426,0.37,2.06,17.28,-,-,77.0,-
115,臺北市,1998/12/15,中山,3.9,1.18,13.9,-,113,-,62.71,23.5,39.21,2.405,0.44,1.96,18.18,-,-,81.0,-
116,臺北市,1998/12/15,大同,5.9,4.68,-,-,-,-,259.93,200.56,59.36,4.743,2.4,2.35,18.51,-,-,76.0,-
117,臺北市,1998/12/15,萬華,3.3,1.06,14.8,-,89,-,40.14,7.84,32.3,-,-,-,18.29,-,-,69.0,-
118,臺北市,1998/12/15,陽明,1.1,0.29,45.3,-,54,-,2.19,0.01,2.18,-,-,-,10.62,-,93.0,52.0,-
119,臺北市,1998/12/15,士林,2.0,0.33,33.2,-,89,-,19.79,3.65,16.13,-,-,-,18.25,-,-,70.0,-
120,臺北市,1998/12/14,松山,1.6,0.59,19.7,-,19,-,49.92,17.51,32.41,-,-,-,17.57,-,-,32.0,-
121,臺北市,1998/12/14,古亭,1.5,1.13,9.7,-,19,16,69.22,29.78,39.44,2.409,0.46,1.95,16.3,-,-,20.0,-
122,臺北市,1998/12/14,中山,1.9,1.24,8.7,-,26,-,66.32,26.47,39.85,-,-,-,17.26,-,-,26.0,-
123,臺北市,1998/12/14,大同,3.1,3.42,-,-,-,-,191.24,142.32,48.92,4.339,1.76,2.58,17.27,-,-,63.0,-
124,臺北市,1998/12/14,萬華,1.1,0.93,11.7,-,15,-,39.44,7.06,32.38,-,-,-,16.85,-,-,24.0,-
125,臺北市,1998/12/14,陽明,0.3,0.12,47.8,-,13,-,1.45,0.03,1.42,-,-,-,11.57,-,97.0,44.0,-
126,臺北市,1998/12/14,士林,0.9,0.44,17.8,-,14,-,38.64,11.46,27.17,-,-,-,16.75,-,-,30.0,-
127,臺北市,1998/12/13,松山,1.3,0.46,22.8,-,14,-,28.42,4.96,23.46,-,-,-,19.27,-,-,27.0,-
128,臺北市,1998/12/13,古亭,0.7,0.69,19.4,-,15,15,35.46,9.26,26.2,2.015,0.22,1.79,18.2,-,-,29.0,-
129,臺北市,1998/12/13,中山,1.6,0.82,19.7,-,19,-,42.35,14.01,28.34,-,-,-,19.52,-,-,29.0,-
130,臺北市,1998/12/13,大同,3.2,2.94,-,-,-,-,165.86,121.34,44.53,3.782,1.39,2.39,19.89,-,-,52.0,-
131,臺北市,1998/12/13,萬華,1.6,0.86,17.6,-,12,-,31.56,5.95,25.61,-,-,-,19.41,-,-,28.0,-
132,臺北市,1998/12/13,陽明,0.3,0.13,45.0,-,12,-,1.02,0.01,1.01,-,-,-,14.06,-,94.0,39.0,-
133,臺北市,1998/12/13,士林,0.2,0.29,26.2,-,15,-,17.93,1.91,16.02,-,-,-,20.25,-,-,31.0,-
134,臺北市,1998/12/12,松山,4.8,0.77,13.6,-,36,-,51.64,16.21,35.43,-,-,-,18.35,-,-,36.0,-
135,臺北市,1998/12/12,古亭,2.4,0.73,19.2,-,32,27,38.24,10.5,27.74,2.043,0.2,1.85,17.65,-,-,32.0,-
136,臺北市,1998/12/12,中山,3.4,0.91,15.4,-,36,-,48.76,15.14,33.63,-,-,-,18.52,-,-,36.0,-
137,臺北市,1998/12/12,大同,5.7,3.84,-,-,-,-,206.07,156.12,49.95,4.37,2.11,2.25,19.06,-,-,55.0,-
138,臺北市,1998/12/12,萬華,3.2,0.91,17.1,-,34,-,33.7,6.16,27.54,-,-,-,18.75,-,-,34.0,-
139,臺北市,1998/12/12,陽明,0.2,0.25,45.1,-,12,-,1.23,0.05,1.19,-,-,-,12.95,-,96.0,39.0,-
140,臺北市,1998/12/12,士林,0.3,0.29,30.8,-,18,-,16.09,1.99,14.1,-,-,-,19.48,-,-,34.0,-
141,臺北市,1998/12/11,松山,3.1,0.54,16.1,-,19,-,47.29,14.87,32.43,-,-,-,16.48,-,-,28.0,-
142,臺北市,1998/12/11,古亭,2.1,0.73,17.9,-,17,-,43.55,14.6,28.95,2.21,0.37,1.84,15.57,-,-,26.0,-
143,臺北市,1998/12/11,中山,1.9,0.84,19.0,-,23,-,43.05,13.52,29.53,-,-,-,16.91,-,-,26.0,-
144,臺北市,1998/12/11,大同,5.0,3.67,-,-,-,-,212.08,159.3,52.78,4.315,2.09,2.23,17.59,-,-,57.0,-
145,臺北市,1998/12/11,萬華,2.0,0.76,17.7,-,16,-,31.7,5.65,26.05,-,-,-,16.94,-,-,26.0,-
146,臺北市,1998/12/11,陽明,0.0,0.07,43.7,-,12,-,0.74,0.24,0.5,-,-,-,10.72,-,100.0,38.0,-
147,臺北市,1998/12/11,士林,0.3,0.14,30.9,-,15,-,14.84,2.15,12.7,-,-,-,17.64,-,-,32.0,-
148,臺北市,1998/12/10,松山,3.1,0.53,16.3,-,26,-,45.78,15.06,30.71,-,-,-,17.18,-,-,28.0,-
149,臺北市,1998/12/10,古亭,2.5,0.63,18.5,-,21,-,38.84,12.28,26.56,2.055,0.2,1.86,16.55,-,-,29.0,-
150,臺北市,1998/12/10,中山,1.4,1.02,18.2,-,25,-,41.73,12.77,28.95,2.183,0.23,1.95,17.42,-,-,27.0,-
151,臺北市,1998/12/10,大同,5.3,3.51,-,-,-,-,202.93,154.06,48.87,4.548,2.14,2.41,17.99,-,-,55.0,-
152,臺北市,1998/12/10,萬華,2.0,0.73,18.6,-,22,-,29.82,5.39,24.43,-,-,-,17.63,-,-,27.0,-
153,臺北市,1998/12/10,陽明,0.3,0.1,41.9,-,12,-,0.42,0.01,0.41,-,-,-,10.55,-,98.0,36.0,-
154,臺北市,1998/12/10,士林,0.2,0.12,31.6,-,17,-,12.78,1.67,11.11,-,-,-,17.97,-,-,33.0,-
155,臺北市,1998/12/09,松山,2.6,0.36,24.1,-,23,-,29.8,7.29,22.51,-,-,-,18.85,-,-,28.0,-
156,臺北市,1998/12/09,古亭,1.6,0.5,22.8,-,24,-,33.0,9.47,23.53,-,-,-,17.65,-,-,24.0,-
157,臺北市,1998/12/09,中山,1.7,0.52,24.4,-,21,-,28.95,6.16,22.79,2.058,0.09,1.97,18.6,-,-,31.0,-
158,臺北市,1998/12/09,大同,3.2,2.75,-,-,-,-,167.16,122.22,44.94,3.691,1.49,2.2,18.94,-,-,39.0,-
159,臺北市,1998/12/09,萬華,1.6,0.57,21.3,-,23,-,26.32,3.82,22.5,-,-,-,18.7,-,-,26.0,-
160,臺北市,1998/12/09,陽明,0.7,0.04,38.9,-,12,-,0.31,0.01,0.29,-,-,-,10.52,-,87.0,40.0,-
161,臺北市,1998/12/09,士林,0.4,0.03,35.1,-,17,-,10.7,1.85,8.85,-,-,-,18.36,-,-,35.0,-
162,臺北市,1998/12/08,松山,2.0,0.46,28.4,-,61,-,28.71,6.61,22.1,-,-,-,17.7,-,-,55.0,-
163,臺北市,1998/12/08,古亭,-,0.77,22.7,-,76,-,34.82,9.84,24.98,1.894,0.41,-,16.57,-,-,66.0,-
164,臺北市,1998/12/08,中山,1.4,0.64,27.1,-,65,-,29.19,5.89,23.3,2.065,0.11,1.95,17.31,-,-,58.0,-
165,臺北市,1998/12/08,大同,3.6,2.96,-,-,-,-,166.61,123.19,43.42,4.177,1.8,2.37,17.61,-,-,54.0,-
166,臺北市,1998/12/08,萬華,1.8,0.8,23.2,-,68,-,28.04,4.45,23.59,-,-,-,17.63,-,-,59.0,-
167,臺北市,1998/12/08,陽明,0.7,0.17,41.9,-,32,-,1.21,0.02,1.21,-,-,-,9.15,-,90.0,40.0,-
168,臺北市,1998/12/08,士林,1.7,0.18,37.5,-,54,-,13.03,2.31,10.72,-,-,-,17.07,-,-,52.0,-
169,臺北市,1998/12/07,松山,0.9,0.39,31.8,-,38,-,17.65,2.51,15.14,-,-,-,19.56,-,-,38.0,-
170,臺北市,1998/12/07,古亭,1.0,0.77,22.9,-,47,-,30.64,6.82,23.82,2.082,0.24,1.84,18.56,-,-,47.0,-
171,臺北市,1998/12/07,中山,1.0,0.69,25.3,-,42,-,26.9,4.45,22.45,2.11,0.17,1.94,19.41,-,-,42.0,-
172,臺北市,1998/12/07,大同,3.4,3.03,-,-,-,-,162.57,118.49,44.08,3.867,1.52,2.34,19.7,-,-,48.0,-
173,臺北市,1998/12/07,萬華,1.6,0.97,18.4,-,44,-,32.0,6.25,25.75,-,-,-,19.47,-,-,44.0,-
174,臺北市,1998/12/07,陽明,0.3,0.26,43.1,-,17,-,1.31,0.05,1.26,-,-,-,11.55,-,97.0,40.0,-
175,臺北市,1998/12/07,士林,1.2,0.31,28.8,-,-,-,16.94,2.37,14.58,-,-,-,19.05,-,-,38.0,-
176,臺北市,1998/12/06,松山,1.4,0.55,21.3,-,38,-,32.78,7.8,24.98,-,-,-,20.05,-,-,38.0,-
177,臺北市,1998/12/06,古亭,0.3,0.66,20.9,-,42,-,32.93,9.07,23.86,2.131,0.23,1.9,18.98,-,-,42.0,-
178,臺北市,1998/12/06,中山,2.3,0.76,19.4,-,39,-,35.97,8.57,27.4,2.142,0.13,2.01,20.19,-,-,39.0,-
179,臺北市,1998/12/06,大同,3.9,3.2,-,-,-,-,184.03,136.24,47.79,3.935,1.57,2.36,20.68,-,-,53.0,-
180,臺北市,1998/12/06,萬華,1.1,0.79,20.7,-,35,-,25.18,3.3,21.88,-,-,-,20.09,-,-,35.0,-
181,臺北市,1998/12/06,陽明,0.2,0.15,42.1,-,12,-,1.45,0.4,1.05,-,-,-,12.74,-,94.0,37.0,-
182,臺北市,1998/12/06,士林,1.2,0.32,27.5,-,-,-,21.84,5.82,16.02,-,-,-,20.18,-,-,33.0,-
183,臺北市,1998/12/05,松山,1.9,0.5,22.0,-,21,-,30.31,6.22,24.09,-,-,-,19.58,-,-,25.0,-
184,臺北市,1998/12/05,古亭,1.1,0.59,22.5,-,20,-,28.55,7.5,21.05,2.111,0.22,1.9,18.45,-,-,26.0,-
185,臺北市,1998/12/05,中山,1.3,0.71,20.3,-,23,-,31.99,6.71,25.27,2.102,0.14,1.96,19.72,-,-,24.0,-
186,臺北市,1998/12/05,大同,3.0,3.04,-,-,-,-,171.65,124.74,46.91,4.022,1.63,2.39,20.09,-,-,42.0,-
187,臺北市,1998/12/05,萬華,1.4,0.79,19.9,-,21,-,23.68,2.77,20.91,-,-,-,19.65,-,-,21.0,-
188,臺北市,1998/12/05,陽明,0.2,0.14,43.4,-,12,-,1.17,0.3,0.87,-,-,-,12.58,-,99.0,39.0,-
189,臺北市,1998/12/05,士林,0.7,0.2,27.9,-,17,-,14.98,1.37,13.61,-,-,-,19.66,-,-,31.0,-
190,臺北市,1998/12/04,松山,5.0,0.79,12.4,-,22,-,58.63,24.04,34.6,-,-,-,19.1,-,-,24.0,-
191,臺北市,1998/12/04,古亭,4.3,0.93,12.4,-,21,8,52.71,21.25,31.46,2.18,0.3,1.89,17.9,-,-,25.0,-
