序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1196,高雄市,2014/01/02,橋頭,4.9,0.68,-,31.9,92,59,34.25,7.02,27.23,1.7,20.65,68.63
1197,高雄市,2014/01/02,美濃,1.4,0.41,-,34.5,55,39,12.59,2.26,10.33,1.04,20.66,66.24
1198,高雄市,2014/01/01,左營,4.9,0.83,-,35.2,102,78,29.81,3.4,26.41,1.47,18.45,68.83
1199,高雄市,2014/01/01,楠梓,4.1,0.74,-,27.8,102,66,37.21,9.57,27.64,1.39,18.82,71.21
1200,高雄市,2014/01/01,前金,5.4,0.8,-,32.4,102,73,33.42,5.46,27.96,1.61,19.69,66.01
1201,高雄市,2014/01/01,前鎮,9.4,1.29,-,27.2,110,75,63.83,22.08,41.75,1.45,19.57,68.15
1202,高雄市,2014/01/01,復興,7.9,1.49,-,16.5,113,70,72.61,23.88,48.72,0.63,20.05,65.26
1203,高雄市,2014/01/01,小港,10.3,1.13,-,28.8,116,72,64.38,21.55,42.83,1.58,20.9,63.63
1204,高雄市,2014/01/01,鳳山,9.5,1.2,-,26.6,119,70,50.22,12.41,37.81,1.14,20.14,63.97
1205,高雄市,2014/01/01,林園,11.3,0.64,-,41.6,63,46,26.96,2.99,23.98,2.1,19.64,69.65
1206,高雄市,2014/01/01,大寮,11.6,0.79,-,30.4,100,76,35.6,4.64,30.96,1.22,19.54,67.32
1207,高雄市,2014/01/01,仁武,7.9,0.74,-,26.9,92,63,38.0,7.76,30.25,1.36,19.12,66.41
1208,高雄市,2014/01/01,橋頭,5.2,0.71,-,28.4,103,68,27.68,4.88,22.81,1.75,18.6,71.27
1209,高雄市,2014/01/01,美濃,2.1,0.47,-,32.9,63,47,16.14,4.88,11.26,0.95,19.47,69.48
1210,基隆市,2014/01/31,基隆,1.4,0.6,-,30.6,50,43,25.66,13.32,12.34,1.88,19.96,75.16
1211,基隆市,2014/01/30,基隆,4.0,0.82,-,16.1,55,50,41.42,13.11,28.31,0.72,16.92,84.67
1212,基隆市,2014/01/29,基隆,2.5,0.6,-,18.0,25,16,28.53,8.27,20.26,0.99,18.23,78.92
1213,基隆市,2014/01/28,基隆,1.0,0.54,-,21.8,22,12,24.3,7.33,16.96,1.27,17.38,74.57
1214,基隆市,2014/01/27,基隆,1.2,0.26,-,38.3,29,11,9.43,1.22,8.21,1.69,17.53,64.94
1215,基隆市,2014/01/26,基隆,2.2,0.4,-,47.0,71,47,9.64,1.07,8.57,1.63,16.53,71.28
1216,基隆市,2014/01/25,基隆,2.8,0.68,-,19.8,36,25,41.11,9.01,32.1,1.55,17.45,66.64
1217,基隆市,2014/01/24,基隆,2.2,0.62,-,19.5,26,17,36.38,11.41,24.97,1.11,16.06,67.72
1218,基隆市,2014/01/23,基隆,1.3,0.39,-,27.0,17,10,18.55,5.39,13.16,1.7,14.64,60.79
1219,基隆市,2014/01/22,基隆,1.7,0.25,-,39.2,30,14,7.24,1.12,6.12,1.59,12.92,52.4
1220,基隆市,2014/01/21,基隆,5.5,0.41,-,41.4,96,40,9.37,0.78,8.56,2.02,13.41,53.49
1221,基隆市,2014/01/20,基隆,3.9,0.45,-,33.0,53,35,18.1,3.16,14.95,1.54,16.08,74.09
1222,基隆市,2014/01/19,基隆,1.8,0.41,-,36.6,41,26,14.2,2.56,11.65,2.04,16.33,53.8
1223,基隆市,2014/01/18,基隆,5.2,0.43,-,58.4,73,52,9.18,1.07,8.11,1.75,15.23,52.96
1224,基隆市,2014/01/17,基隆,0.9,0.35,-,34.5,21,14,15.7,6.64,9.05,1.44,16.2,66.46
1225,基隆市,2014/01/16,基隆,1.2,0.25,-,36.8,26,16,7.94,0.92,7.02,1.8,16.08,60.13
1226,基隆市,2014/01/15,基隆,1.2,0.24,-,42.3,31,16,5.98,0.98,4.98,2.28,14.99,56.69
1227,基隆市,2014/01/14,基隆,1.7,0.27,-,43.1,26,16,5.06,1.06,4.0,1.94,14.56,82.87
1228,基隆市,2014/01/13,基隆,1.1,0.36,-,42.5,38,26,6.11,1.13,4.98,1.77,15.97,82.74
1229,基隆市,2014/01/12,基隆,3.3,0.41,-,24.2,29,18,18.59,3.87,14.72,1.6,17.12,84.98
1230,基隆市,2014/01/11,基隆,1.2,0.44,-,27.5,14,9,16.71,3.56,13.15,1.37,18.73,76.67
1231,基隆市,2014/01/10,基隆,1.2,0.33,-,34.2,24,15,11.4,1.49,9.89,1.46,14.81,81.26
1232,基隆市,2014/01/09,基隆,1.7,0.34,-,38.6,26,17,9.19,1.48,7.71,1.51,13.76,84.13
1233,基隆市,2014/01/08,基隆,4.0,0.61,-,23.2,40,29,29.97,5.37,24.59,1.28,17.35,80.84
1234,基隆市,2014/01/07,基隆,3.4,0.68,-,22.3,30,20,37.32,11.74,25.58,0.88,18.67,76.48
1235,基隆市,2014/01/06,基隆,1.2,0.48,-,30.4,26,16,20.47,3.77,16.7,1.42,17.3,67.23
1236,基隆市,2014/01/05,基隆,8.8,0.51,-,54.1,75,47,12.84,1.17,11.67,1.48,16.56,53.53
1237,基隆市,2014/01/04,基隆,9.5,0.69,-,50.9,111,74,19.1,1.13,17.97,1.35,18.19,58.55
1238,基隆市,2014/01/03,基隆,6.8,0.74,-,20.8,50,38,42.62,12.38,30.24,1.14,19.27,83.1
1239,基隆市,2014/01/02,基隆,4.9,0.94,-,15.0,40,30,45.59,16.16,29.43,0.69,18.65,86.22
1240,基隆市,2014/01/01,基隆,1.6,0.64,-,31.0,35,26,23.5,5.57,17.93,1.42,16.57,76.51
1241,新竹市,2014/01/31,新竹,3.2,0.69,-,32.4,85,80,28.08,4.93,23.15,1.29,17.49,79.52
1242,新竹市,2014/01/30,新竹,3.8,0.99,-,18.3,107,93,50.91,20.92,29.99,0.9,16.67,82.7
1243,新竹市,2014/01/29,新竹,2.3,0.54,-,19.4,55,38,29.31,5.84,23.47,1.14,17.06,82.2
1244,新竹市,2014/01/28,新竹,2.4,0.57,-,17.0,48,32,38.46,12.76,25.69,1.16,16.79,77.67
1245,新竹市,2014/01/27,新竹,2.2,0.38,-,27.8,46,21,23.7,4.85,18.86,2.77,16.74,68.08
1246,新竹市,2014/01/26,新竹,3.4,0.4,-,41.3,83,53,15.71,1.48,14.24,3.72,16.06,72.87
1247,新竹市,2014/01/25,新竹,1.5,0.61,-,21.8,40,28,40.87,13.08,27.79,1.36,17.53,58.52
1248,新竹市,2014/01/24,新竹,3.3,0.7,-,19.4,50,36,48.59,14.93,33.65,1.13,14.34,70.28
1249,新竹市,2014/01/23,新竹,3.4,0.43,-,26.1,33,22,28.06,6.63,21.43,1.72,15.09,59.21
1250,新竹市,2014/01/22,新竹,3.2,0.31,-,34.2,46,24,14.34,2.05,12.29,4.22,12.06,57.49
1251,新竹市,2014/01/21,新竹,7.7,0.47,-,39.5,127,60,13.35,1.52,11.81,4.82,12.84,57.79
1252,新竹市,2014/01/20,新竹,2.7,0.57,-,37.6,84,59,21.24,4.11,17.11,2.33,16.23,72.93
1253,新竹市,2014/01/19,新竹,4.4,0.5,-,40.2,68,47,19.0,2.11,16.89,2.55,16.57,56.79
1254,新竹市,2014/01/18,新竹,7.2,0.5,-,53.3,92,68,15.31,1.48,13.83,4.34,14.48,59.35
1255,新竹市,2014/01/17,新竹,4.1,0.38,-,26.5,37,27,23.93,4.32,19.61,2.38,16.29,66.98
1256,新竹市,2014/01/16,新竹,2.4,0.33,-,32.4,36,25,15.92,1.74,14.18,3.22,16.17,61.63
1257,新竹市,2014/01/15,新竹,4.1,0.29,-,37.0,42,24,12.83,1.93,10.91,4.91,14.43,62.95
1258,新竹市,2014/01/14,新竹,3.0,0.31,-,34.9,36,25,13.64,1.48,12.15,4.4,13.24,87.35
1259,新竹市,2014/01/13,新竹,3.7,0.44,-,34.4,57,42,14.3,1.4,12.9,4.29,14.67,85.32
1260,新竹市,2014/01/12,新竹,2.6,0.34,-,23.2,44,33,17.38,2.66,14.72,2.74,16.26,88.24
1261,新竹市,2014/01/11,新竹,2.6,0.7,-,16.8,47,32,40.25,15.93,24.32,1.03,16.94,81.86
1262,新竹市,2014/01/10,新竹,3.8,0.37,-,30.0,31,25,19.4,3.35,16.05,3.23,15.55,74.67
1263,新竹市,2014/01/09,新竹,3.3,0.39,-,34.4,43,31,13.06,1.37,11.69,4.36,13.1,78.75
1264,新竹市,2014/01/08,新竹,4.2,0.78,-,23.4,70,56,37.5,12.22,25.28,2.1,17.1,81.77
1265,新竹市,2014/01/07,新竹,4.6,0.93,-,15.5,75,57,57.84,23.93,33.91,1.03,17.76,78.4
1266,新竹市,2014/01/06,新竹,5.0,0.56,-,22.9,64,44,37.24,7.52,29.72,1.36,17.05,68.15
1267,新竹市,2014/01/05,新竹,10.9,0.6,-,48.3,115,81,20.31,1.59,18.72,3.2,16.3,58.02
1268,新竹市,2014/01/04,新竹,13.2,0.81,-,38.7,141,97,31.14,2.24,28.9,3.22,17.48,65.16
1269,新竹市,2014/01/03,新竹,7.6,0.76,-,13.4,92,73,50.92,15.17,35.74,1.13,19.26,83.19
1270,新竹市,2014/01/02,新竹,4.4,0.78,-,20.3,72,58,42.96,11.52,31.45,1.04,19.5,73.76
1271,新竹市,2014/01/01,新竹,4.2,0.55,-,29.0,57,47,26.95,3.58,23.37,1.49,17.46,72.12
1272,嘉義市,2014/01/31,嘉義,3.5,0.57,-,43.8,87,70,18.46,1.04,17.44,1.55,20.04,66.54
1273,嘉義市,2014/01/30,嘉義,3.3,0.71,-,39.9,98,72,24.86,2.75,22.11,1.37,19.52,65.41
1274,嘉義市,2014/01/29,嘉義,3.9,0.7,-,29.0,111,67,27.68,3.74,23.93,1.35,18.44,76.28
1275,嘉義市,2014/01/28,嘉義,4.1,0.8,-,20.9,98,59,37.21,11.08,26.13,1.51,17.91,74.68
1276,嘉義市,2014/01/27,嘉義,4.4,0.54,-,20.3,92,49,29.21,5.62,23.59,1.91,16.88,69.95
1277,嘉義市,2014/01/26,嘉義,4.0,0.57,-,23.9,89,56,26.95,3.55,23.4,2.4,17.09,62.97
1278,嘉義市,2014/01/25,嘉義,2.6,0.48,-,24.2,57,30,22.98,3.11,19.88,2.13,17.97,47.74
1279,嘉義市,2014/01/24,嘉義,3.4,0.57,-,32.5,84,48,30.01,4.12,25.89,1.73,15.96,54.69
1280,嘉義市,2014/01/23,嘉義,4.7,0.63,-,23.7,72,50,35.85,8.02,27.83,1.45,14.73,56.59
1281,嘉義市,2014/01/22,嘉義,4.9,0.43,-,23.5,85,39,26.16,3.86,22.31,2.8,12.7,56.18
1282,嘉義市,2014/01/21,嘉義,7.0,0.61,-,22.3,155,72,26.07,3.68,22.39,3.33,13.91,63.42
1283,嘉義市,2014/01/20,嘉義,3.9,0.58,-,30.2,111,67,20.8,2.62,18.18,2.28,15.57,74.19
1284,嘉義市,2014/01/19,嘉義,4.3,0.64,-,36.3,141,91,21.78,3.98,17.8,1.66,15.0,61.24
1285,嘉義市,2014/01/18,嘉義,6.1,0.55,-,34.3,128,75,26.09,3.73,22.36,3.3,15.11,61.25
1286,嘉義市,2014/01/17,嘉義,4.1,0.57,-,22.8,76,42,27.41,4.93,22.48,2.06,17.0,66.31
1287,嘉義市,2014/01/16,嘉義,4.4,0.57,-,20.4,91,44,36.24,9.99,26.25,1.63,16.68,63.19
1288,嘉義市,2014/01/15,嘉義,4.1,0.41,-,26.7,73,36,21.55,2.5,19.05,2.71,15.73,62.34
1289,嘉義市,2014/01/14,嘉義,3.5,0.46,-,18.3,78,40,21.7,1.67,20.04,3.54,15.15,76.97
1290,嘉義市,2014/01/13,嘉義,3.4,0.46,-,26.3,68,39,17.37,1.84,15.52,3.45,16.54,75.14
1291,嘉義市,2014/01/12,嘉義,2.7,0.43,-,26.4,91,55,16.77,1.52,15.26,2.96,17.79,80.35
1292,嘉義市,2014/01/11,嘉義,3.4,0.51,-,25.5,76,46,23.45,5.67,17.78,1.6,17.49,77.67
1293,嘉義市,2014/01/10,嘉義,5.2,0.52,-,18.3,60,39,28.38,5.39,22.99,2.12,16.57,71.95
1294,嘉義市,2014/01/09,嘉義,3.6,0.5,-,22.7,68,37,21.57,3.5,18.07,3.28,15.76,69.28
1295,嘉義市,2014/01/08,嘉義,3.2,0.71,-,30.1,94,62,26.06,4.64,21.41,2.59,20.27,68.2
1296,嘉義市,2014/01/07,嘉義,3.7,0.78,-,31.5,120,73,32.09,4.84,27.25,1.25,19.71,65.86
1297,嘉義市,2014/01/06,嘉義,5.2,0.79,-,16.7,123,73,37.63,7.45,30.18,1.79,17.64,66.41
1298,嘉義市,2014/01/05,嘉義,8.0,0.86,-,29.5,182,122,29.8,3.16,26.64,1.78,16.9,64.16
1299,嘉義市,2014/01/04,嘉義,8.4,0.81,-,24.2,162,106,36.64,3.4,33.24,2.53,19.2,68.12
1300,嘉義市,2014/01/03,嘉義,4.3,0.73,-,22.2,102,66,31.76,5.61,26.15,2.02,21.64,72.25
1301,嘉義市,2014/01/02,嘉義,4.3,0.96,-,21.6,108,77,40.63,11.13,29.5,1.35,19.96,68.64
1302,嘉義市,2014/01/01,嘉義,6.6,0.86,-,21.8,107,71,35.85,7.72,28.13,1.58,17.81,70.44
1303,宜蘭縣,2014/01/31,宜蘭,1.9,0.33,417.39,40.2,58,39,9.25,1.35,7.91,2.43,20.38,67.56
1304,宜蘭縣,2014/01/31,冬山,1.8,0.25,-,30.1,50,32,12.86,1.93,10.94,2.41,19.53,78.33
1305,宜蘭縣,2014/01/30,宜蘭,1.8,0.43,420.13,41.5,60,47,11.88,1.55,10.33,1.12,19.78,59.57
1306,宜蘭縣,2014/01/30,冬山,2.4,0.34,-,26.7,50,31,16.85,4.12,12.73,1.32,18.43,83.81
1307,宜蘭縣,2014/01/29,宜蘭,1.4,0.3,416.07,35.3,33,18,8.95,0.95,7.99,1.28,19.28,67.1
1308,宜蘭縣,2014/01/29,冬山,2.1,0.28,-,25.3,37,17,18.46,5.73,12.73,1.54,17.99,79.89
1309,宜蘭縣,2014/01/28,宜蘭,1.0,0.31,416.07,34.9,36,17,9.92,1.33,8.58,1.38,18.57,67.14
1310,宜蘭縣,2014/01/28,冬山,1.8,0.25,-,24.0,35,14,16.17,4.75,11.42,1.58,17.34,76.81
1311,宜蘭縣,2014/01/27,宜蘭,1.4,0.29,416.79,35.1,44,18,9.87,1.13,8.73,1.34,16.93,71.39
1312,宜蘭縣,2014/01/27,冬山,1.8,0.19,-,33.3,45,15,13.23,3.07,10.16,1.76,16.82,71.96
1313,宜蘭縣,2014/01/26,宜蘭,1.9,0.38,420.86,43.1,71,46,9.88,1.03,8.84,1.35,16.59,70.87
1314,宜蘭縣,2014/01/26,冬山,2.2,0.36,-,37.1,80,46,17.99,2.93,15.06,1.86,16.48,72.39
1315,宜蘭縣,2014/01/25,宜蘭,1.7,0.25,415.04,38.3,27,14,10.03,1.95,8.09,1.76,19.28,54.42
1316,宜蘭縣,2014/01/25,冬山,2.2,0.21,-,27.2,27,11,17.06,4.46,12.6,1.56,18.2,60.26
1317,宜蘭縣,2014/01/24,宜蘭,1.7,0.26,416.55,33.1,28,11,10.34,1.56,8.77,2.09,17.34,61.24
1318,宜蘭縣,2014/01/24,冬山,2.3,0.22,-,22.4,28,8,19.14,5.36,13.79,2.34,16.31,65.66
1319,宜蘭縣,2014/01/23,宜蘭,1.4,0.25,415.75,35.0,25,13,8.43,0.95,7.48,1.48,15.31,58.46
1320,宜蘭縣,2014/01/23,冬山,1.9,0.21,-,31.7,25,8,12.67,3.53,9.14,1.96,14.88,62.61
1321,宜蘭縣,2014/01/22,宜蘭,2.5,0.3,416.67,35.0,45,22,9.06,1.1,7.95,1.45,12.45,57.99
1322,宜蘭縣,2014/01/22,冬山,1.6,0.22,-,36.2,47,16,11.46,3.11,8.34,2.17,12.34,58.82
1323,宜蘭縣,2014/01/21,宜蘭,4.8,0.47,422.38,40.1,112,50,9.82,1.3,8.5,1.7,12.99,65.99
1324,宜蘭縣,2014/01/21,冬山,5.1,0.46,-,37.2,125,53,16.36,3.72,12.64,2.28,12.9,67.39
1325,宜蘭縣,2014/01/20,宜蘭,2.6,0.38,419.47,43.1,50,31,9.69,0.99,8.67,1.51,17.1,64.12
1326,宜蘭縣,2014/01/20,冬山,2.7,0.36,-,35.5,56,28,17.94,5.4,12.54,2.05,15.91,72.07
1327,宜蘭縣,2014/01/19,宜蘭,3.6,0.39,421.04,40.5,63,39,10.46,1.09,9.37,1.96,15.81,61.58
1328,宜蘭縣,2014/01/19,冬山,3.8,0.35,-,39.3,63,35,14.15,2.83,11.32,2.39,15.69,62.15
1329,宜蘭縣,2014/01/18,宜蘭,5.0,0.42,422.93,52.4,83,56,9.73,0.84,8.87,2.13,14.65,60.2
1330,宜蘭縣,2014/01/18,冬山,5.1,0.38,-,52.6,86,53,13.29,2.2,11.09,2.99,14.83,60.12
1331,宜蘭縣,2014/01/17,宜蘭,2.8,0.26,417.34,34.7,33,19,8.5,1.65,6.85,1.62,16.23,71.61
1332,宜蘭縣,2014/01/17,冬山,0.9,0.24,-,35.2,36,14,14.53,4.14,10.38,1.88,16.07,74.01
1333,宜蘭縣,2014/01/16,宜蘭,2.9,0.31,418.11,30.2,37,21,9.89,1.03,8.85,1.26,14.64,76.06
1334,宜蘭縣,2014/01/16,冬山,1.9,0.28,-,25.3,43,18,22.24,8.15,14.09,1.5,14.56,77.64
1335,宜蘭縣,2014/01/15,宜蘭,2.5,0.3,414.82,37.2,41,20,8.42,0.99,7.42,1.55,13.98,69.13
1336,宜蘭縣,2014/01/15,冬山,1.7,0.23,-,34.4,38,17,14.45,4.63,9.81,2.15,13.73,73.03
1337,宜蘭縣,2014/01/14,宜蘭,1.9,0.36,417.78,35.2,19,13,8.47,1.25,7.22,1.16,14.13,88.7
1338,宜蘭縣,2014/01/14,冬山,1.5,0.28,-,39.9,16,11,7.7,1.02,6.67,2.05,14.3,89.71
1339,宜蘭縣,2014/01/13,宜蘭,2.4,0.37,417.88,33.5,26,18,9.15,1.37,7.78,1.22,15.04,90.32
1340,宜蘭縣,2014/01/13,冬山,1.5,0.33,-,37.9,29,21,9.94,1.71,8.24,1.86,15.29,89.51
1341,宜蘭縣,2014/01/12,宜蘭,1.7,0.31,416.16,32.1,28,16,8.79,1.79,7.0,1.54,17.78,75.34
1342,宜蘭縣,2014/01/12,冬山,2.2,0.33,-,25.8,33,15,20.49,8.21,12.28,1.74,17.52,80.03
1343,宜蘭縣,2014/01/11,宜蘭,2.2,0.4,421.58,23.5,28,15,16.11,3.24,12.85,1.22,16.72,85.73
1344,宜蘭縣,2014/01/11,冬山,1.6,0.35,-,17.9,26,13,25.13,9.1,16.03,1.45,16.65,88.82
1345,宜蘭縣,2014/01/10,宜蘭,2.8,0.31,416.23,32.0,24,17,9.97,0.71,9.23,1.23,12.97,94.49
1346,宜蘭縣,2014/01/10,冬山,1.8,0.28,-,29.5,15,12,14.13,3.63,10.51,1.92,13.28,95.43
1347,宜蘭縣,2014/01/09,宜蘭,2.2,0.38,419.77,35.0,23,15,9.33,1.16,8.17,1.24,13.67,82.98
1348,宜蘭縣,2014/01/09,冬山,1.6,0.35,-,34.1,23,11,14.64,3.73,10.91,1.92,13.82,84.61
1349,宜蘭縣,2014/01/08,宜蘭,3.1,0.42,424.97,36.7,39,26,12.64,1.69,10.95,1.52,18.54,73.92
1350,宜蘭縣,2014/01/08,冬山,2.5,0.4,-,30.9,47,25,21.3,7.16,14.14,2.01,17.97,80.72
1351,宜蘭縣,2014/01/07,宜蘭,3.5,0.36,425.47,33.4,44,24,12.44,1.5,10.93,1.13,18.85,71.4
1352,宜蘭縣,2014/01/07,冬山,2.4,0.29,-,28.3,47,22,17.33,5.06,12.26,1.38,18.3,75.84
1353,宜蘭縣,2014/01/06,宜蘭,6.1,0.38,423.53,37.4,54,32,13.51,1.69,11.82,1.02,16.95,68.97
1354,宜蘭縣,2014/01/06,冬山,2.6,0.3,-,29.2,57,26,17.92,3.82,14.1,1.22,16.42,75.7
1355,宜蘭縣,2014/01/05,宜蘭,8.8,0.6,431.79,47.3,111,70,14.01,1.44,12.57,1.33,15.63,62.01
1356,宜蘭縣,2014/01/05,冬山,7.3,0.48,-,46.6,110,61,17.79,2.37,15.42,1.37,15.88,63.15
1357,宜蘭縣,2014/01/04,宜蘭,7.6,0.72,436.86,44.9,129,84,18.06,0.91,17.15,1.23,17.67,64.32
1358,宜蘭縣,2014/01/04,冬山,5.9,0.57,-,45.0,124,67,21.5,2.67,18.82,1.68,17.98,65.49
1359,宜蘭縣,2014/01/03,宜蘭,3.2,0.54,428.61,40.7,49,31,15.74,2.79,12.95,1.44,20.69,71.07
1360,宜蘭縣,2014/01/03,冬山,4.0,0.42,-,27.5,59,27,27.26,9.04,18.21,1.54,19.92,79.27
1361,宜蘭縣,2014/01/02,宜蘭,3.0,0.5,430.27,37.0,52,34,13.55,1.92,11.63,1.23,19.39,75.89
1362,宜蘭縣,2014/01/02,冬山,2.7,0.36,-,28.4,56,28,22.78,6.77,16.01,1.31,19.05,80.91
1363,宜蘭縣,2014/01/01,宜蘭,3.2,0.42,425.32,45.0,52,33,11.73,1.2,10.53,1.02,17.42,75.3
1364,宜蘭縣,2014/01/01,冬山,2.0,0.31,-,36.2,50,26,12.57,1.8,10.74,1.28,17.25,80.3
1365,桃園市,2014/01/31,桃園,3.6,0.48,-,35.3,69,50,18.65,1.72,16.92,1.93,20.72,69.22
1366,桃園市,2014/01/31,中壢,-,1.1,-,19.2,99,67,51.83,18.93,32.9,1.03,19.34,65.78
1367,桃園市,2014/01/31,大園,5.1,0.46,-,39.1,82,64,19.92,3.36,16.56,2.67,18.82,77.24
1368,桃園市,2014/01/31,龍潭,2.2,0.56,-,35.5,77,45,23.5,3.95,19.56,1.49,18.42,68.88
1369,桃園市,2014/01/31,平鎮,2.3,0.56,-,35.6,88,61,21.85,2.33,19.52,1.52,22.33,60.05
1370,桃園市,2014/01/31,觀音,3.8,0.48,-,39.6,87,58,19.24,2.39,16.85,3.5,18.21,75.64
1371,桃園市,2014/01/30,桃園,9.1,1.04,-,22.3,101,73,51.82,13.2,38.62,1.01,18.0,71.31
1372,桃園市,2014/01/30,中壢,-,1.57,-,18.2,134,95,75.96,34.39,41.57,0.82,18.22,60.28
1373,桃園市,2014/01/30,大園,5.2,0.55,-,26.0,86,65,33.28,6.92,26.36,1.66,15.63,89.92
1374,桃園市,2014/01/30,龍潭,4.2,0.81,-,38.5,106,71,32.85,7.61,25.24,1.37,18.47,58.24
1375,桃園市,2014/01/30,平鎮,4.2,0.9,-,27.7,126,86,44.45,12.75,31.7,1.18,-,-
1376,桃園市,2014/01/30,觀音,3.8,0.41,-,25.9,79,47,21.72,2.9,18.83,2.58,15.58,86.14
1377,桃園市,2014/01/29,桃園,5.3,0.52,-,27.0,46,20,28.31,5.08,23.23,1.68,18.99,73.07
1378,桃園市,2014/01/29,中壢,5.7,1.15,-,16.0,63,27,53.82,24.06,29.76,1.05,17.82,71.84
1379,桃園市,2014/01/29,大園,3.7,0.21,-,35.6,49,20,18.01,3.87,14.13,3.7,17.18,82.53
1380,桃園市,2014/01/29,龍潭,2.1,0.68,-,24.2,60,26,33.77,12.31,21.45,1.25,17.17,75.21
1381,桃園市,2014/01/29,平鎮,3.5,0.41,-,27.1,55,19,24.27,5.67,18.59,1.72,-,-
1382,桃園市,2014/01/29,觀音,6.0,0.21,-,36.5,55,20,9.9,1.09,8.79,4.29,17.21,80.28
1383,桃園市,2014/01/28,桃園,4.4,0.43,-,30.2,40,14,24.77,3.53,21.23,2.13,18.99,65.9
1384,桃園市,2014/01/28,中壢,6.8,1.43,-,12.8,63,24,68.12,32.72,35.39,1.25,18.14,62.69
1385,桃園市,2014/01/28,大園,5.5,0.29,-,29.1,43,20,26.53,4.93,21.6,3.18,17.87,65.96
1386,桃園市,2014/01/28,龍潭,3.1,0.54,-,25.4,55,21,29.48,6.74,22.73,1.32,16.93,69.25
1387,桃園市,2014/01/28,平鎮,4.6,0.48,-,25.4,50,17,26.67,4.47,22.21,2.11,-,-
1388,桃園市,2014/01/28,觀音,8.5,0.3,-,23.1,56,18,25.78,4.46,21.31,3.63,17.12,71.73
1389,桃園市,2014/01/27,桃園,3.8,0.35,-,32.4,43,16,18.86,2.53,16.32,2.45,16.81,66.2
1390,桃園市,2014/01/27,中壢,5.8,0.82,-,18.2,61,21,43.6,16.35,27.25,1.63,16.49,60.86
1391,桃園市,2014/01/27,大園,3.2,0.2,-,34.7,47,18,19.99,4.75,15.23,4.7,16.16,64.52
1392,桃園市,2014/01/27,龍潭,2.1,0.31,-,32.6,55,14,16.16,3.1,13.06,3.92,15.64,69.14
1393,桃園市,2014/01/27,平鎮,5.0,0.37,-,30.5,55,14,19.72,2.91,16.8,3.22,17.36,61.02
1394,桃園市,2014/01/27,觀音,6.0,0.16,-,36.6,57,17,9.84,0.73,9.06,6.95,16.51,63.74
1395,桃園市,2014/01/26,桃園,4.2,0.47,-,37.3,84,52,18.42,1.5,16.93,1.33,15.53,71.84
1396,桃園市,2014/01/26,中壢,-,0.81,-,20.9,110,58,45.76,13.4,32.36,1.67,15.41,67.31
1397,桃園市,2014/01/26,大園,5.4,0.45,-,43.1,99,63,24.79,9.14,15.65,7.82,15.26,72.33
1398,桃園市,2014/01/26,龍潭,3.6,0.51,-,35.7,103,52,22.27,3.21,19.06,3.92,14.65,74.04
1399,桃園市,2014/01/26,平鎮,4.9,0.51,-,32.8,98,49,23.69,3.03,20.67,3.48,16.03,68.98
1400,桃園市,2014/01/26,觀音,10.7,0.44,-,41.7,113,61,18.48,4.66,13.81,8.06,15.75,70.22
1401,桃園市,2014/01/25,桃園,16.2,0.87,-,17.7,57,39,53.78,18.2,35.58,1.03,16.63,63.26
1402,桃園市,2014/01/25,中壢,-,1.52,-,17.3,68,34,79.43,45.21,34.22,1.2,17.75,50.39
1403,桃園市,2014/01/25,大園,9.9,0.6,-,23.3,65,43,54.4,20.31,34.08,2.14,16.9,58.14
1404,桃園市,2014/01/25,龍潭,2.3,0.51,-,27.3,47,21,33.46,11.57,21.89,1.4,16.86,55.65
1405,桃園市,2014/01/25,平鎮,5.4,0.62,-,23.0,61,29,39.52,12.33,27.19,1.65,18.38,51.41
1406,桃園市,2014/01/25,觀音,10.8,0.45,-,26.1,74,36,35.81,9.88,25.93,2.58,17.36,59.71
1407,桃園市,2014/01/24,桃園,16.7,0.77,-,22.5,81,45,56.21,19.02,37.19,1.07,14.82,63.07
1408,桃園市,2014/01/24,中壢,3.7,1.35,-,15.1,70,35,78.91,37.39,41.52,1.2,15.01,51.54
1409,桃園市,2014/01/24,大園,8.0,0.5,-,23.1,65,-,38.64,7.27,31.35,2.39,14.43,61.73
1410,桃園市,2014/01/24,龍潭,2.0,0.51,-,33.7,55,22,31.56,8.66,22.89,1.69,14.34,56.36
1411,桃園市,2014/01/24,平鎮,5.5,0.54,-,26.8,59,28,36.2,6.75,29.44,1.67,15.74,53.15
1412,桃園市,2014/01/24,觀音,14.6,0.42,-,19.6,-,-,34.81,8.63,26.19,3.14,14.7,59.48
1413,桃園市,2014/01/23,桃園,4.9,0.4,-,25.9,28,14,23.41,4.13,19.27,2.34,14.67,57.9
1414,桃園市,2014/01/23,中壢,7.1,0.92,-,16.5,42,15,52.22,24.5,27.72,1.56,14.93,50.69
