序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
43,臺北市,2014/01/25,松山,3.1,0.9,448.94,15.3,42,29,65.71,25.28,40.42,1.15,17.69,54.07
44,臺北市,2014/01/25,古亭,2.9,0.81,-,15.3,46,23,54.42,19.15,35.26,1.49,17.88,57.66
45,臺北市,2014/01/25,中山,3.8,1.04,-,15.8,63,33,72.86,32.29,40.57,1.27,18.77,54.71
46,臺北市,2014/01/25,大同,5.4,1.88,-,-,65,35,113.98,67.75,46.24,-,-,-
47,臺北市,2014/01/25,萬華,-,0.95,-,15.3,37,26,60.5,20.04,40.46,0.88,18.46,53.59
48,臺北市,2014/01/25,陽明,1.4,0.15,402.39,48.6,16,11,4.29,1.31,2.97,-,12.59,69.28
49,臺北市,2014/01/25,士林,3.4,0.68,-,20.8,47,28,46.38,14.18,32.21,1.52,17.79,56.41
50,臺北市,2014/01/24,松山,3.9,0.75,440.42,18.3,48,28,63.2,22.69,40.51,1.67,15.88,55.33
51,臺北市,2014/01/24,古亭,4.2,0.88,-,15.8,54,26,64.87,24.19,40.68,1.61,16.39,58.33
52,臺北市,2014/01/24,中山,4.8,1.14,-,14.3,67,33,87.29,41.41,45.88,1.42,17.42,54.91
53,臺北市,2014/01/24,大同,6.1,1.77,-,-,64,33,112.43,64.21,48.23,-,-,-
54,臺北市,2014/01/24,萬華,6.5,1.04,-,14.5,47,28,71.78,27.09,44.69,1.0,17.06,54.22
55,臺北市,2014/01/24,陽明,2.7,0.19,405.94,51.4,18,13,6.92,0.9,6.0,-,11.27,76.16
56,臺北市,2014/01/24,士林,4.0,0.45,-,30.5,49,26,32.78,6.93,25.84,2.06,17.67,52.46
57,臺北市,2014/01/23,松山,2.1,0.47,424.05,20.7,21,14,40.03,15.32,24.71,2.06,14.64,51.97
58,臺北市,2014/01/23,古亭,1.2,0.33,-,26.9,26,13,22.68,5.84,16.85,2.84,15.75,50.05
59,臺北市,2014/01/23,中山,1.5,0.66,-,12.8,53,22,50.24,20.48,29.75,2.03,15.88,52.9
60,臺北市,2014/01/23,大同,3.1,1.04,-,-,44,19,88.71,53.12,35.59,-,-,-
61,臺北市,2014/01/23,萬華,2.9,0.48,-,17.7,25,13,44.03,14.48,29.55,2.6,15.97,48.58
62,臺北市,2014/01/23,陽明,2.0,0.12,404.36,42.2,9,6,2.03,0.92,1.08,-,8.12,84.49
63,臺北市,2014/01/23,士林,2.2,0.23,-,33.4,28,13,13.93,2.78,11.14,2.54,15.91,50.21
64,臺北市,2014/01/22,松山,1.9,0.35,421.68,30.2,46,23,20.42,3.27,17.15,2.13,12.13,48.88
65,臺北市,2014/01/22,古亭,2.1,0.35,-,27.8,51,21,21.9,5.38,16.52,2.55,12.48,52.44
66,臺北市,2014/01/22,中山,2.4,0.48,-,20.4,75,29,32.11,9.29,22.82,1.82,12.87,52.29
67,臺北市,2014/01/22,大同,3.2,1.06,-,-,60,26,75.72,45.85,29.87,-,-,-
68,臺北市,2014/01/22,萬華,3.3,0.43,-,23.8,48,22,31.19,7.52,23.67,2.15,13.01,48.05
69,臺北市,2014/01/22,陽明,1.8,0.17,412.16,41.0,22,11,3.09,0.71,2.35,-,4.58,87.16
