序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppm)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","風速 WIND_SPEED (m/sec)","小時風速值 WS_HR (m/sec)","溫度 AMB_TEMP (℃)","降雨強度 RAIN_INT (㎜)","酸雨 PH_RAIN (pH)","相對濕度 RH (percent)","導電度 RAIN_COND (μmho/cm)"
74,臺北市,2015/08/21,大同,1.8,0.85,-,-,36,11,47.47,34.21,13.27,1.964,0.264,1.7,-,-,-,-,-,-,-
75,臺北市,2015/08/21,萬華,1.8,0.31,-,9.0,24,9,22.22,10.7,11.52,-,-,-,3.79,3.39,30.97,-,-,70.47,-
76,臺北市,2015/08/21,陽明,3.5,0.05,401.11,15.0,10,6,3.3,1.46,1.83,-,-,-,-,-,22.41,1.33,4.34,98.52,20.88
77,臺北市,2015/08/21,士林,8.4,0.13,-,16.9,22,10,7.11,3.04,4.07,-,-,-,4.51,4.5,30.04,-,-,69.94,-
78,臺北市,2015/08/20,松山,1.5,0.25,404.07,7.2,23,6,15.59,7.74,7.85,1.78,0.101,1.679,2.16,1.54,30.52,-,-,64.37,-
79,臺北市,2015/08/20,古亭,1.4,0.22,-,8.4,29,6,12.55,6.46,6.09,1.875,0.105,1.77,3.28,3.13,30.93,-,-,67.43,-
80,臺北市,2015/08/20,中山,1.3,0.39,-,5.9,25,7,22.35,14.65,7.7,1.918,0.191,1.727,2.95,2.61,31.19,-,-,67.0,-
81,臺北市,2015/08/20,大同,1.9,0.76,-,-,37,9,42.16,32.68,9.48,1.932,0.247,1.686,-,-,-,-,-,-,-
82,臺北市,2015/08/20,萬華,1.7,0.29,-,6.3,25,10,22.34,12.41,9.93,-,-,-,3.27,2.85,31.69,-,-,65.23,-
83,臺北市,2015/08/20,陽明,2.5,0.05,399.29,11.1,12,6,2.95,1.4,1.54,-,-,-,-,-,22.78,0.0,0.0,95.26,0.0
84,臺北市,2015/08/20,士林,8.7,0.11,-,11.8,22,9,7.19,3.47,3.71,-,-,-,3.91,3.73,30.54,-,-,66.66,-
85,臺北市,2015/08/19,松山,5.3,0.38,416.87,19.7,31,13,20.55,5.04,15.51,1.943,0.187,1.757,1.96,1.51,29.23,-,-,74.15,-
86,臺北市,2015/08/19,古亭,3.7,0.43,-,17.0,38,10,22.16,6.45,15.71,2.007,0.113,1.895,2.46,2.13,29.63,-,-,78.37,-
87,臺北市,2015/08/19,中山,1.9,0.56,-,18.1,33,17,27.39,8.96,18.42,2.056,0.203,1.852,2.02,1.64,30.35,-,-,73.58,-
88,臺北市,2015/08/19,大同,2.8,1.0,-,-,41,17,50.3,26.75,23.55,2.155,0.326,1.829,-,-,-,-,-,-,-
89,臺北市,2015/08/19,萬華,2.5,0.43,-,19.1,28,13,25.9,6.85,19.05,-,-,-,2.47,2.17,30.59,-,-,73.35,-
90,臺北市,2015/08/19,陽明,2.0,0.13,400.57,36.0,17,14,3.03,1.34,1.7,-,-,-,-,-,23.03,0.0,0.0,91.71,0.0
91,臺北市,2015/08/19,士林,8.6,0.3,-,27.9,25,14,11.27,1.47,9.8,-,-,-,2.4,2.01,29.89,-,-,70.97,-
92,臺北市,2015/08/18,松山,2.8,0.52,432.03,15.5,27,11,31.14,8.16,22.98,-,-,-,1.27,0.78,27.95,-,-,78.9,-
93,臺北市,2015/08/18,古亭,2.5,0.55,-,15.9,34,8,28.23,8.84,19.39,2.077,0.173,1.904,1.73,1.28,27.63,-,-,87.05,-
94,臺北市,2015/08/18,中山,2.5,0.72,-,9.5,27,13,36.43,11.26,25.16,2.211,0.273,1.937,1.87,1.19,29.02,-,-,78.7,-
95,臺北市,2015/08/18,大同,3.7,2.05,-,-,43,14,83.89,53.07,30.82,2.637,0.678,1.96,-,-,-,-,-,-,-
96,臺北市,2015/08/18,萬華,1.6,0.59,-,16.6,26,10,31.13,7.67,23.47,-,-,-,1.57,1.1,29.2,-,-,78.75,-
97,臺北市,2015/08/18,陽明,2.0,0.16,408.69,34.9,16,12,5.01,1.4,3.61,-,-,-,-,-,22.33,14.5,2.68,96.15,19.37
98,臺北市,2015/08/18,士林,5.9,0.42,-,23.0,30,14,22.61,4.94,17.67,-,-,-,2.04,1.86,28.6,-,-,76.95,-
99,臺北市,2015/08/17,松山,1.7,0.65,431.45,12.3,32,11,40.65,18.45,22.2,-,-,-,1.81,1.36,29.73,-,-,67.5,-
100,臺北市,2015/08/17,古亭,2.0,0.54,-,14.7,38,9,25.9,8.8,17.1,2.047,0.183,1.865,1.73,1.47,29.28,-,-,75.46,-
101,臺北市,2015/08/17,中山,2.6,0.74,-,10.7,32,11,37.56,14.0,23.57,2.165,0.275,1.89,1.88,1.1,30.58,-,-,67.61,-
102,臺北市,2015/08/17,大同,3.3,1.72,-,-,41,9,60.56,37.96,22.6,2.532,0.545,1.986,-,-,-,-,-,-,-
103,臺北市,2015/08/17,萬華,2.4,0.63,-,9.7,30,13,28.47,9.85,18.62,-,-,-,1.64,1.24,30.73,-,-,68.29,-
104,臺北市,2015/08/17,陽明,1.0,0.13,403.59,28.2,14,10,4.53,1.21,3.32,-,-,-,-,-,22.59,0.0,0.0,94.06,0.0
105,臺北市,2015/08/17,士林,2.5,0.4,-,18.0,27,12,20.78,5.07,15.72,-,-,-,2.09,1.82,29.75,-,-,69.63,-
106,臺北市,2015/08/16,松山,2.1,0.6,426.87,10.3,21,10,37.12,17.86,19.26,-,-,-,1.86,1.5,29.38,-,-,64.94,-
107,臺北市,2015/08/16,古亭,1.7,0.5,-,11.2,33,4,24.13,9.25,14.88,2.072,0.166,1.907,1.99,1.64,28.67,-,-,74.82,-
108,臺北市,2015/08/16,中山,2.1,0.74,-,8.6,19,7,40.46,19.69,20.77,2.154,0.261,1.893,1.83,1.25,30.24,-,-,65.24,-
109,臺北市,2015/08/16,大同,3.0,1.54,-,-,35,6,61.55,41.55,20.0,2.391,0.441,1.95,-,-,-,-,-,-,-
110,臺北市,2015/08/16,萬華,1.7,0.53,-,11.5,21,7,26.21,9.7,16.51,-,-,-,1.9,1.44,30.22,-,-,66.54,-
111,臺北市,2015/08/16,陽明,0.8,0.1,404.63,24.7,8,5,4.21,1.36,2.86,-,-,-,-,-,22.58,1.33,3.99,84.96,8.84
112,臺北市,2015/08/16,士林,1.5,0.33,-,15.5,24,9,17.91,4.81,13.1,-,-,-,2.19,1.92,29.58,-,-,65.58,-
113,臺北市,2015/08/15,松山,1.7,0.52,421.14,14.3,23,8,32.18,13.56,18.62,1.956,0.192,1.764,1.91,1.59,30.38,-,-,61.46,-
114,臺北市,2015/08/15,古亭,1.9,0.47,-,13.1,36,4,23.69,8.76,14.93,2.052,0.192,1.859,1.99,1.67,29.75,-,-,71.98,-
115,臺北市,2015/08/15,中山,2.8,0.6,-,11.5,24,8,32.87,11.48,21.39,2.243,0.388,1.855,1.75,1.39,30.88,-,-,64.55,-
116,臺北市,2015/08/15,大同,2.6,1.8,-,-,40,7,71.59,46.85,24.74,2.448,0.527,1.92,-,-,-,-,-,-,-
117,臺北市,2015/08/15,萬華,1.8,0.53,-,13.6,24,9,24.13,7.65,16.48,-,-,-,1.66,1.31,31.14,-,-,64.61,-
118,臺北市,2015/08/15,陽明,1.8,0.16,412.31,28.3,9,7,5.81,1.29,4.51,-,-,-,-,-,23.03,0.0,0.0,87.01,0.0
119,臺北市,2015/08/15,士林,2.5,0.41,-,16.7,31,10,22.33,6.19,16.14,-,-,-,2.08,1.82,30.25,-,-,65.95,-
120,臺北市,2015/08/14,松山,3.6,0.52,429.69,13.2,24,9,30.13,12.24,17.89,2.03,0.216,1.814,1.22,0.78,28.2,-,-,76.84,-
121,臺北市,2015/08/14,古亭,2.4,0.5,-,15.2,35,7,26.54,9.2,17.34,2.015,0.162,1.853,1.68,1.29,28.25,-,-,82.04,-
122,臺北市,2015/08/14,中山,2.9,0.77,-,13.2,24,10,44.0,22.4,21.6,2.145,0.292,1.853,1.62,1.05,28.83,-,-,78.86,-
123,臺北市,2015/08/14,大同,3.5,1.49,-,-,41,9,83.85,57.55,26.3,2.397,0.499,1.899,-,-,-,-,-,-,-
124,臺北市,2015/08/14,萬華,2.7,0.65,-,14.8,26,12,36.27,15.28,21.0,-,-,-,1.39,1.09,29.39,-,-,76.17,-
125,臺北市,2015/08/14,陽明,2.1,0.14,408.46,28.2,13,9,5.65,1.15,4.5,-,-,-,-,-,23.17,7.5,3.6,91.82,5.57
126,臺北市,2015/08/14,士林,2.2,0.42,-,16.5,26,13,21.59,6.29,15.3,-,-,-,1.56,1.27,28.32,-,-,76.61,-
127,臺北市,2015/08/13,松山,3.0,0.49,428.37,16.5,25,12,31.21,11.51,19.7,1.992,0.202,1.79,1.25,0.81,28.22,-,-,78.9,-
128,臺北市,2015/08/13,古亭,2.5,0.5,-,15.0,38,10,27.22,9.51,17.72,2.026,0.168,1.859,1.63,1.07,28.16,-,-,87.33,-
129,臺北市,2015/08/13,中山,3.2,0.79,-,13.8,29,14,44.64,20.04,24.61,2.216,0.325,1.891,1.58,0.89,29.07,-,-,79.76,-
130,臺北市,2015/08/13,大同,3.7,1.77,-,-,44,12,81.9,52.95,28.96,2.515,0.586,1.928,-,-,-,-,-,-,-
131,臺北市,2015/08/13,萬華,2.2,0.6,-,16.2,25,14,31.63,10.17,21.46,-,-,-,1.27,0.75,29.56,-,-,79.2,-
132,臺北市,2015/08/13,陽明,1.4,0.13,406.07,29.4,11,8,5.67,1.23,4.44,-,-,-,-,-,23.66,1.0,5.64,93.1,44.31
133,臺北市,2015/08/13,士林,2.8,0.35,-,21.9,25,10,18.78,3.89,14.91,-,-,-,2.15,1.46,28.89,-,-,74.39,-
134,臺北市,2015/08/12,松山,4.3,0.52,430.06,30.1,39,18,26.92,7.59,19.33,1.994,0.199,1.795,1.34,1.0,29.69,-,-,71.86,-
135,臺北市,2015/08/12,古亭,4.4,0.53,-,25.5,48,13,26.29,7.7,18.59,2.015,0.164,1.851,1.88,1.35,29.68,-,-,78.29,-
136,臺北市,2015/08/12,中山,3.2,0.75,-,18.6,44,21,38.67,11.79,26.89,2.15,0.312,1.838,1.69,0.89,30.21,-,-,75.04,-
137,臺北市,2015/08/12,大同,3.9,1.57,-,-,58,18,79.48,45.61,33.87,2.414,0.508,1.907,-,-,-,-,-,-,-
138,臺北市,2015/08/12,萬華,2.7,0.61,-,21.8,41,21,32.69,8.17,24.52,-,-,-,1.5,1.17,30.6,-,-,73.73,-
139,臺北市,2015/08/12,陽明,1.3,0.16,414.03,26.6,-,14,-,-,-,-,-,-,-,-,24.11,0.0,0.0,92.15,0.0
140,臺北市,2015/08/12,士林,2.9,0.5,-,24.1,-,20,21.53,2.42,19.12,-,-,-,1.68,1.37,29.73,-,-,72.97,-
141,臺北市,2015/08/11,松山,4.8,0.56,438.78,26.7,36,21,30.46,5.75,24.71,2.078,0.233,1.845,1.33,0.81,29.1,-,-,72.96,-
142,臺北市,2015/08/11,古亭,2.8,0.64,-,25.5,54,18,30.86,7.33,23.53,2.101,0.204,1.896,1.64,1.13,29.04,-,-,80.63,-
143,臺北市,2015/08/11,中山,3.8,0.69,-,27.8,46,23,34.75,6.34,28.41,2.222,0.35,1.872,1.77,1.1,30.34,-,-,72.0,-
144,臺北市,2015/08/11,大同,4.4,2.15,-,-,60,20,84.75,46.55,38.2,2.64,0.683,1.957,-,-,-,-,-,-,-
145,臺北市,2015/08/11,萬華,2.5,0.72,-,27.2,42,23,32.61,5.78,26.83,-,-,-,1.43,1.1,30.5,-,-,72.88,-
146,臺北市,2015/08/11,士林,4.8,0.44,-,34.1,-,23,21.76,1.69,20.08,-,-,-,1.82,1.36,29.7,-,-,71.02,-
147,臺北市,2015/08/10,松山,2.5,0.65,438.96,27.3,43,22,33.27,7.91,25.35,2.184,0.256,1.928,1.13,0.87,29.0,-,-,73.84,-
148,臺北市,2015/08/10,古亭,2.9,0.64,-,27.3,51,17,27.11,6.82,20.29,2.122,0.203,1.919,1.65,1.28,29.19,-,-,79.63,-
149,臺北市,2015/08/10,中山,3.8,0.88,-,22.6,47,20,42.89,13.06,29.83,2.554,0.568,1.986,1.54,0.84,30.2,-,-,72.92,-
150,臺北市,2015/08/10,大同,4.1,1.44,-,-,55,18,59.87,28.46,31.42,2.648,0.472,2.175,-,-,-,-,-,-,-
151,臺北市,2015/08/10,萬華,1.8,0.74,-,24.6,39,20,32.91,6.64,26.27,-,-,-,1.27,0.81,30.59,-,-,72.41,-
152,臺北市,2015/08/10,士林,4.6,0.47,-,27.4,-,19,21.38,3.75,17.63,-,-,-,1.59,1.3,29.27,-,-,74.06,-
153,臺北市,2015/08/09,松山,2.2,0.36,410.52,27.3,24,14,18.35,3.84,14.5,1.858,0.111,1.747,1.55,0.89,28.56,-,-,74.71,-
154,臺北市,2015/08/09,古亭,1.5,0.44,-,23.7,34,10,20.37,4.25,16.12,1.993,0.121,1.872,1.7,1.36,28.67,-,-,81.69,-
155,臺北市,2015/08/09,中山,1.9,0.58,-,21.0,27,13,29.39,8.42,20.96,2.023,0.194,1.83,1.82,1.37,29.27,-,-,76.69,-
156,臺北市,2015/08/09,大同,2.8,0.93,-,-,39,11,50.6,28.67,21.93,2.179,0.285,1.894,-,-,-,-,-,-,-
157,臺北市,2015/08/09,萬華,2.2,0.57,-,20.9,28,12,30.78,7.92,22.86,-,-,-,1.54,1.09,29.75,-,-,75.68,-
158,臺北市,2015/08/09,士林,1.8,0.32,-,30.2,-,16,14.84,2.32,12.52,-,-,-,2.13,2.06,28.47,-,-,75.85,-
159,臺北市,2015/08/08,松山,1.5,0.11,398.23,28.3,20,9,11.41,7.17,4.25,1.665,0.005,1.662,6.63,4.93,27.47,-,-,81.0,-
160,臺北市,2015/08/08,古亭,1.1,0.13,-,26.1,27,-,3.6,1.22,2.39,1.779,0.008,1.773,8.29,7.5,27.43,-,-,86.54,-
161,臺北市,2015/08/08,中山,1.7,0.16,-,26.6,20,11,4.81,1.91,2.89,1.763,0.024,1.739,6.74,5.7,28.26,-,-,80.22,-
162,臺北市,2015/08/08,大同,1.2,0.23,-,-,33,7,11.02,6.67,4.34,1.791,0.041,1.754,-,-,-,-,-,-,-
163,臺北市,2015/08/08,萬華,1.4,0.12,-,27.6,20,9,4.37,1.53,2.84,-,-,-,6.56,5.87,28.66,-,-,79.11,-
164,臺北市,2015/08/08,士林,0.9,0.12,-,30.2,-,8,5.66,2.09,3.59,-,-,-,9.07,8.12,27.65,-,-,78.64,-
165,臺北市,2015/08/07,松山,2.9,0.12,397.03,10.3,34,10,8.26,4.24,4.02,1.68,0.035,1.646,4.7,3.79,28.78,-,-,78.02,-
166,臺北市,2015/08/07,古亭,2.5,0.17,-,8.1,42,5,12.08,6.16,5.92,1.796,0.032,1.765,4.05,2.78,28.97,-,-,84.16,-
167,臺北市,2015/08/07,中山,1.5,0.22,-,8.4,39,8,12.5,7.58,4.92,1.76,0.059,1.702,3.25,1.46,29.85,-,-,76.55,-
168,臺北市,2015/08/07,大同,2.2,0.45,-,-,45,6,26.66,20.69,5.97,1.846,0.107,1.74,-,-,-,-,-,-,-
169,臺北市,2015/08/07,萬華,2.1,0.18,-,8.4,34,8,12.87,6.82,6.05,-,-,-,3.96,3.4,30.27,-,-,75.63,-
170,臺北市,2015/08/07,陽明,1.1,0.05,404.22,12.7,8,2,1.24,1.23,0.18,-,-,-,-,-,22.79,2.42,5.17,99.36,34.12
